SystemMeasureIndex,SystemRowIndex,Left,Top,Height,Width,Image
14,4,400,456,65,164,Wagner_WWV086B_145.png
15,5,44,586,67,190,Wagner_WWV086B_145.png
16,5,235,586,67,163,Wagner_WWV086B_145.png
17,5,399,586,67,165,Wagner_WWV086B_145.png
18,6,43,695,67,190,Wagner_WWV086B_145.png
19,6,234,695,67,163,Wagner_WWV086B_145.png
20,6,397,695,67,165,Wagner_WWV086B_145.png
1,1,55,85,66,190,Wagner_WWV086B_146.png
2,1,246,85,66,170,Wagner_WWV086B_146.png
3,1,417,85,66,159,Wagner_WWV086B_146.png
4,2,55,211,57,183,Wagner_WWV086B_146.png
5,2,239,211,57,177,Wagner_WWV086B_146.png
6,2,418,211,57,157,Wagner_WWV086B_146.png
7,3,56,343,61,190,Wagner_WWV086B_146.png
8,3,246,346,59,164,Wagner_WWV086B_146.png
9,3,410,346,59,164,Wagner_WWV086B_146.png
10,4,54,471,59,181,Wagner_WWV086B_146.png
11,4,236,471,59,181,Wagner_WWV086B_146.png
12,4,418,471,59,156,Wagner_WWV086B_146.png
13,5,54,589,59,198,Wagner_WWV086B_146.png
14,5,253,589,59,160,Wagner_WWV086B_146.png
15,5,414,589,59,160,Wagner_WWV086B_146.png
16,6,51,697,59,203,Wagner_WWV086B_146.png
17,6,254,697,59,162,Wagner_WWV086B_146.png
18,6,418,697,59,155,Wagner_WWV086B_146.png
1,1,35,89,58,198,Wagner_WWV086B_147.png
2,1,235,89,58,161,Wagner_WWV086B_147.png
3,1,397,89,58,160,Wagner_WWV086B_147.png
4,2,33,210,58,203,Wagner_WWV086B_147.png
5,2,237,210,58,160,Wagner_WWV086B_147.png
6,2,397,210,58,158,Wagner_WWV086B_147.png
7,3,35,339,58,198,Wagner_WWV086B_147.png
8,3,234,339,58,160,Wagner_WWV086B_147.png
9,3,395,339,58,160,Wagner_WWV086B_147.png
10,4,35,463,60,205,Wagner_WWV086B_147.png
11,4,241,463,60,155,Wagner_WWV086B_147.png
12,4,397,463,60,157,Wagner_WWV086B_147.png
13,5,34,582,58,168,Wagner_WWV086B_147.png
14,5,205,582,58,178,Wagner_WWV086B_147.png
15,5,384,582,58,170,Wagner_WWV086B_147.png
16,6,35,691,62,176,Wagner_WWV086B_147.png
17,6,211,691,62,150,Wagner_WWV086B_147.png
18,6,363,691,62,192,Wagner_WWV086B_147.png
1,1,53,72,67,160,Wagner_WWV086B_148.png
2,1,213,72,67,119,Wagner_WWV086B_148.png
3,1,334,72,67,119,Wagner_WWV086B_148.png
4,1,454,72,67,116,Wagner_WWV086B_148.png
5,2,53,203,67,170,Wagner_WWV086B_148.png
6,2,224,203,67,171,Wagner_WWV086B_148.png
7,2,396,203,67,173,Wagner_WWV086B_148.png
8,3,54,319,61,189,Wagner_WWV086B_148.png
9,3,245,319,61,163,Wagner_WWV086B_148.png
10,3,409,319,61,163,Wagner_WWV086B_148.png
11,4,55,439,63,171,Wagner_WWV086B_148.png
12,4,227,439,63,171,Wagner_WWV086B_148.png
13,4,399,439,63,174,Wagner_WWV086B_148.png
14,5,55,565,66,203,Wagner_WWV086B_148.png
15,5,259,565,66,141,Wagner_WWV086B_148.png
16,5,401,565,66,173,Wagner_WWV086B_148.png
17,6,57,686,60,166,Wagner_WWV086B_148.png
18,6,224,686,60,115,Wagner_WWV086B_148.png
19,6,340,686,60,115,Wagner_WWV086B_148.png
20,6,457,686,60,118,Wagner_WWV086B_148.png
1,1,34,72,61,179,Wagner_WWV086B_149.png
2,1,215,72,61,167,Wagner_WWV086B_149.png
3,1,385,72,61,168,Wagner_WWV086B_149.png
4,2,32,197,62,158,Wagner_WWV086B_149.png
5,2,191,197,62,128,Wagner_WWV086B_149.png
6,2,320,197,62,112,Wagner_WWV086B_149.png
7,2,433,197,62,119,Wagner_WWV086B_149.png
8,3,34,326,67,204,Wagner_WWV086B_149.png
9,3,239,326,67,152,Wagner_WWV086B_149.png
10,3,393,326,67,160,Wagner_WWV086B_149.png
11,4,35,442,61,183,Wagner_WWV086B_149.png
12,4,219,442,61,161,Wagner_WWV086B_149.png
13,4,380,442,61,172,Wagner_WWV086B_149.png
14,5,35,572,56,193,Wagner_WWV086B_149.png
15,5,229,572,56,163,Wagner_WWV086B_149.png
16,5,393,572,56,160,Wagner_WWV086B_149.png
17,6,36,678,64,204,Wagner_WWV086B_149.png
18,6,241,678,64,158,Wagner_WWV086B_149.png
19,6,400,678,64,153,Wagner_WWV086B_149.png
1,1,51,63,68,138,Wagner_WWV086B_150.png
2,1,190,63,68,125,Wagner_WWV086B_150.png
3,1,316,63,68,117,Wagner_WWV086B_150.png
4,1,434,63,68,136,Wagner_WWV086B_150.png
5,2,51,192,64,155,Wagner_WWV086B_150.png
6,2,208,192,64,126,Wagner_WWV086B_150.png
7,2,335,192,64,112,Wagner_WWV086B_150.png
8,2,448,192,64,123,Wagner_WWV086B_150.png
9,3,50,307,64,140,Wagner_WWV086B_150.png
10,3,191,307,64,135,Wagner_WWV086B_150.png
11,3,327,307,64,113,Wagner_WWV086B_150.png
12,3,441,307,64,129,Wagner_WWV086B_150.png
13,4,51,427,65,152,Wagner_WWV086B_150.png
14,4,204,427,65,119,Wagner_WWV086B_150.png
15,4,324,427,65,116,Wagner_WWV086B_150.png
16,4,441,427,65,129,Wagner_WWV086B_150.png
17,5,47,548,63,155,Wagner_WWV086B_150.png
18,5,204,548,63,119,Wagner_WWV086B_150.png
19,5,324,548,63,129,Wagner_WWV086B_150.png
20,5,455,548,63,114,Wagner_WWV086B_150.png
21,6,50,678,66,186,Wagner_WWV086B_150.png
22,6,237,678,66,167,Wagner_WWV086B_150.png
23,6,405,678,66,164,Wagner_WWV086B_150.png
1,1,40,58,56,189,Wagner_WWV086B_151.png
2,1,230,58,56,162,Wagner_WWV086B_151.png
3,1,393,58,56,166,Wagner_WWV086B_151.png
4,2,40,181,60,178,Wagner_WWV086B_151.png
5,2,219,181,60,151,Wagner_WWV086B_151.png
6,2,371,181,60,188,Wagner_WWV086B_151.png
7,3,40,298,60,195,Wagner_WWV086B_151.png
8,3,236,298,60,140,Wagner_WWV086B_151.png
9,3,377,298,60,89,Wagner_WWV086B_151.png
10,3,466,298,60,93,Wagner_WWV086B_151.png
11,4,40,425,62,103,Wagner_WWV086B_151.png
12,4,144,425,62,82,Wagner_WWV086B_151.png
13,4,226,425,62,74,Wagner_WWV086B_151.png
14,4,302,425,62,81,Wagner_WWV086B_151.png
15,4,384,425,62,81,Wagner_WWV086B_151.png
16,4,466,425,62,94,Wagner_WWV086B_151.png
17,5,38,550,61,110,Wagner_WWV086B_151.png
18,5,150,550,61,81,Wagner_WWV086B_151.png
19,5,232,550,61,88,Wagner_WWV086B_151.png
20,5,321,550,61,80,Wagner_WWV086B_151.png
21,5,402,550,61,72,Wagner_WWV086B_151.png
22,5,475,550,61,84,Wagner_WWV086B_151.png
23,6,38,676,64,109,Wagner_WWV086B_151.png
24,6,149,676,64,88,Wagner_WWV086B_151.png
25,6,238,676,64,77,Wagner_WWV086B_151.png
26,6,317,676,64,97,Wagner_WWV086B_151.png
27,6,415,676,64,72,Wagner_WWV086B_151.png
28,6,488,676,64,71,Wagner_WWV086B_151.png
1,1,50,77,64,125,Wagner_WWV086B_152.png
2,1,175,77,64,103,Wagner_WWV086B_152.png
3,1,279,77,64,73,Wagner_WWV086B_152.png
4,1,354,77,64,63,Wagner_WWV086B_152.png
5,1,418,77,64,73,Wagner_WWV086B_152.png
6,1,492,77,64,81,Wagner_WWV086B_152.png
7,2,50,199,60,113,Wagner_WWV086B_152.png
8,2,164,199,60,84,Wagner_WWV086B_152.png
9,2,250,199,60,84,Wagner_WWV086B_152.png
10,2,335,199,60,72,Wagner_WWV086B_152.png
11,2,408,199,60,73,Wagner_WWV086B_152.png
12,2,482,199,60,91,Wagner_WWV086B_152.png
13,3,48,334,66,96,Wagner_WWV086B_152.png
14,3,146,334,66,88,Wagner_WWV086B_152.png
15,3,235,334,66,96,Wagner_WWV086B_152.png
16,3,334,334,66,116,Wagner_WWV086B_152.png
17,3,451,334,66,121,Wagner_WWV086B_152.png
18,4,49,470,66,161,Wagner_WWV086B_152.png
19,4,210,470,66,177,Wagner_WWV086B_152.png
20,4,389,470,66,181,Wagner_WWV086B_152.png
21,5,47,584,59,182,Wagner_WWV086B_152.png
22,5,231,584,59,160,Wagner_WWV086B_152.png
23,5,392,584,59,177,Wagner_WWV086B_152.png
24,6,47,696,63,165,Wagner_WWV086B_152.png
25,6,213,696,63,174,Wagner_WWV086B_152.png
26,6,388,696,63,182,Wagner_WWV086B_152.png
1,1,43,75,61,190,Wagner_WWV086B_153.png
2,1,234,75,61,168,Wagner_WWV086B_153.png
3,1,403,75,61,159,Wagner_WWV086B_153.png
4,2,42,207,62,176,Wagner_WWV086B_153.png
5,2,219,207,62,190,Wagner_WWV086B_153.png
6,2,410,207,62,152,Wagner_WWV086B_153.png
7,3,41,324,62,183,Wagner_WWV086B_153.png
8,3,226,324,62,81,Wagner_WWV086B_153.png
9,3,308,324,62,151,Wagner_WWV086B_153.png
10,3,460,324,62,102,Wagner_WWV086B_153.png
11,4,41,449,62,198,Wagner_WWV086B_153.png
12,4,239,449,62,164,Wagner_WWV086B_153.png
13,4,405,449,62,156,Wagner_WWV086B_153.png
14,5,41,569,63,162,Wagner_WWV086B_153.png
15,5,204,569,63,138,Wagner_WWV086B_153.png
16,5,343,569,63,94,Wagner_WWV086B_153.png
17,5,438,569,63,122,Wagner_WWV086B_153.png
18,6,38,686,73,152,Wagner_WWV086B_153.png
19,6,192,686,73,129,Wagner_WWV086B_153.png
20,6,322,686,73,115,Wagner_WWV086B_153.png
21,6,438,686,73,122,Wagner_WWV086B_153.png
1,1,44,71,66,125,Wagner_WWV086B_154.png
2,1,170,71,66,111,Wagner_WWV086B_154.png
3,1,282,71,66,135,Wagner_WWV086B_154.png
4,1,418,71,66,148,Wagner_WWV086B_154.png
5,2,45,189,73,188,Wagner_WWV086B_154.png
6,2,234,189,73,164,Wagner_WWV086B_154.png
7,2,399,189,73,167,Wagner_WWV086B_154.png
8,3,45,310,70,195,Wagner_WWV086B_154.png
9,3,242,310,70,160,Wagner_WWV086B_154.png
10,3,403,310,70,163,Wagner_WWV086B_154.png
11,4,47,428,68,179,Wagner_WWV086B_154.png
12,4,226,428,68,176,Wagner_WWV086B_154.png
13,4,404,428,68,163,Wagner_WWV086B_154.png
14,5,48,548,68,202,Wagner_WWV086B_154.png
15,5,251,548,68,153,Wagner_WWV086B_154.png
16,5,405,548,68,163,Wagner_WWV086B_154.png
17,6,49,676,65,179,Wagner_WWV086B_154.png
18,6,229,676,65,117,Wagner_WWV086B_154.png
19,6,347,676,65,114,Wagner_WWV086B_154.png
20,6,462,676,65,107,Wagner_WWV086B_154.png
1,1,35,71,65,167,Wagner_WWV086B_155.png
2,1,204,71,65,117,Wagner_WWV086B_155.png
3,1,322,71,65,121,Wagner_WWV086B_155.png
4,1,444,71,65,114,Wagner_WWV086B_155.png
5,2,36,202,67,138,Wagner_WWV086B_155.png
6,2,175,202,67,140,Wagner_WWV086B_155.png
7,2,316,202,67,122,Wagner_WWV086B_155.png
8,2,439,202,67,117,Wagner_WWV086B_155.png
9,3,35,327,69,180,Wagner_WWV086B_155.png
10,3,216,327,69,166,Wagner_WWV086B_155.png
11,3,383,327,69,172,Wagner_WWV086B_155.png
12,4,34,442,80,181,Wagner_WWV086B_155.png
13,4,216,442,80,174,Wagner_WWV086B_155.png
14,4,391,442,80,164,Wagner_WWV086B_155.png
15,5,34,568,69,202,Wagner_WWV086B_155.png
16,5,237,568,69,91,Wagner_WWV086B_155.png
17,5,329,568,69,105,Wagner_WWV086B_155.png
18,5,436,568,69,118,Wagner_WWV086B_155.png
19,6,33,681,68,152,Wagner_WWV086B_155.png
20,6,186,681,68,94,Wagner_WWV086B_155.png
21,6,281,681,68,110,Wagner_WWV086B_155.png
22,6,392,681,68,162,Wagner_WWV086B_155.png
1,1,49,68,69,190,Wagner_WWV086B_156.png
2,1,239,68,69,166,Wagner_WWV086B_156.png
3,1,407,68,69,164,Wagner_WWV086B_156.png
4,2,49,185,69,107,Wagner_WWV086B_156.png
5,2,157,185,69,133,Wagner_WWV086B_156.png
6,2,291,185,69,139,Wagner_WWV086B_156.png
7,2,431,185,69,141,Wagner_WWV086B_156.png
8,3,50,307,69,183,Wagner_WWV086B_156.png
9,3,234,307,69,165,Wagner_WWV086B_156.png
10,3,400,307,69,172,Wagner_WWV086B_156.png
11,4,49,429,72,187,Wagner_WWV086B_156.png
12,4,237,429,72,164,Wagner_WWV086B_156.png
13,4,402,429,72,170,Wagner_WWV086B_156.png
14,5,49,551,64,135,Wagner_WWV086B_156.png
15,5,185,551,64,101,Wagner_WWV086B_156.png
16,5,287,551,64,141,Wagner_WWV086B_156.png
17,5,429,551,64,143,Wagner_WWV086B_156.png
18,6,48,676,67,187,Wagner_WWV086B_156.png
19,6,236,676,67,168,Wagner_WWV086B_156.png
20,6,406,676,67,166,Wagner_WWV086B_156.png
1,1,36,72,68,183,Wagner_WWV086B_157.png
2,1,221,72,68,167,Wagner_WWV086B_157.png
3,1,389,72,68,166,Wagner_WWV086B_157.png
4,2,35,196,71,187,Wagner_WWV086B_157.png
5,2,223,196,71,166,Wagner_WWV086B_157.png
6,2,390,196,71,165,Wagner_WWV086B_157.png
7,3,35,318,66,203,Wagner_WWV086B_157.png
8,3,239,318,66,167,Wagner_WWV086B_157.png
9,3,407,318,66,148,Wagner_WWV086B_157.png
10,4,34,434,69,198,Wagner_WWV086B_157.png
11,4,234,434,69,158,Wagner_WWV086B_157.png
12,4,393,434,69,161,Wagner_WWV086B_157.png
13,5,34,554,64,88,Wagner_WWV086B_157.png
14,5,123,554,64,96,Wagner_WWV086B_157.png
15,5,220,554,64,101,Wagner_WWV086B_157.png
16,5,322,554,64,107,Wagner_WWV086B_157.png
17,5,430,554,64,124,Wagner_WWV086B_157.png
18,6,32,680,66,131,Wagner_WWV086B_157.png
19,6,164,680,66,152,Wagner_WWV086B_157.png
20,6,317,680,66,112,Wagner_WWV086B_157.png
21,6,430,680,66,123,Wagner_WWV086B_157.png
1,1,49,75,70,130,Wagner_WWV086B_158.png
2,1,180,75,70,127,Wagner_WWV086B_158.png
3,1,308,75,70,116,Wagner_WWV086B_158.png
4,1,425,75,70,146,Wagner_WWV086B_158.png
5,2,49,194,65,147,Wagner_WWV086B_158.png
6,2,197,194,65,121,Wagner_WWV086B_158.png
7,2,319,194,65,123,Wagner_WWV086B_158.png
8,2,443,194,65,128,Wagner_WWV086B_158.png
9,3,49,307,64,119,Wagner_WWV086B_158.png
10,3,168,307,64,117,Wagner_WWV086B_158.png
11,3,287,307,64,163,Wagner_WWV086B_158.png
12,3,451,307,64,119,Wagner_WWV086B_158.png
13,4,50,442,66,164,Wagner_WWV086B_158.png
14,4,215,442,66,105,Wagner_WWV086B_158.png
15,4,322,442,66,82,Wagner_WWV086B_158.png
16,4,405,442,66,79,Wagner_WWV086B_158.png
17,4,485,442,66,86,Wagner_WWV086B_158.png
18,5,50,565,67,107,Wagner_WWV086B_158.png
19,5,158,565,67,62,Wagner_WWV086B_158.png
20,5,221,565,67,67,Wagner_WWV086B_158.png
21,5,289,565,67,80,Wagner_WWV086B_158.png
22,5,370,565,67,64,Wagner_WWV086B_158.png
23,5,435,565,67,136,Wagner_WWV086B_158.png
24,6,50,687,64,109,Wagner_WWV086B_158.png
25,6,160,687,64,137,Wagner_WWV086B_158.png
26,6,298,687,64,88,Wagner_WWV086B_158.png
27,6,387,687,64,95,Wagner_WWV086B_158.png
28,6,483,687,64,89,Wagner_WWV086B_158.png
1,1,42,80,70,150,Wagner_WWV086B_159.png
2,1,193,80,70,42,Wagner_WWV086B_159.png
3,1,236,80,70,163,Wagner_WWV086B_159.png
4,1,400,80,70,161,Wagner_WWV086B_159.png
5,2,41,200,68,170,Wagner_WWV086B_159.png
6,2,211,200,68,123,Wagner_WWV086B_159.png
7,2,336,200,68,110,Wagner_WWV086B_159.png
8,2,447,200,68,114,Wagner_WWV086B_159.png
9,3,40,316,68,124,Wagner_WWV086B_159.png
10,3,165,316,68,105,Wagner_WWV086B_159.png
11,3,271,316,68,85,Wagner_WWV086B_159.png
12,3,357,316,68,81,Wagner_WWV086B_159.png
13,3,439,316,68,122,Wagner_WWV086B_159.png
14,4,38,441,68,109,Wagner_WWV086B_159.png
15,4,149,441,68,113,Wagner_WWV086B_159.png
16,4,263,441,68,140,Wagner_WWV086B_159.png
17,4,404,441,68,155,Wagner_WWV086B_159.png
18,5,38,555,66,144,Wagner_WWV086B_159.png
19,5,183,555,66,135,Wagner_WWV086B_159.png
20,5,320,555,66,128,Wagner_WWV086B_159.png
21,5,449,555,66,91,Wagner_WWV086B_159.png
22,6,37,689,61,197,Wagner_WWV086B_159.png
23,6,235,689,61,161,Wagner_WWV086B_159.png
24,6,397,689,61,161,Wagner_WWV086B_159.png
1,1,49,69,66,192,Wagner_WWV086B_160.png
2,1,242,69,66,157,Wagner_WWV086B_160.png
3,1,400,69,66,171,Wagner_WWV086B_160.png
4,2,49,198,65,178,Wagner_WWV086B_160.png
5,2,229,198,65,159,Wagner_WWV086B_160.png
6,2,389,198,65,182,Wagner_WWV086B_160.png
7,3,50,317,62,178,Wagner_WWV086B_160.png
8,3,229,317,62,163,Wagner_WWV086B_160.png
9,3,393,317,62,177,Wagner_WWV086B_160.png
10,4,50,431,66,188,Wagner_WWV086B_160.png
11,4,239,431,66,167,Wagner_WWV086B_160.png
12,4,407,431,66,162,Wagner_WWV086B_160.png
13,5,50,553,74,158,Wagner_WWV086B_160.png
14,5,209,553,74,118,Wagner_WWV086B_160.png
15,5,328,553,74,108,Wagner_WWV086B_160.png
16,5,436,553,74,132,Wagner_WWV086B_160.png
17,6,50,674,74,197,Wagner_WWV086B_160.png
18,6,248,674,74,149,Wagner_WWV086B_160.png
19,6,397,674,74,171,Wagner_WWV086B_160.png
1,1,38,73,65,197,Wagner_WWV086B_161.png
2,1,237,73,65,179,Wagner_WWV086B_161.png
3,1,417,73,65,143,Wagner_WWV086B_161.png
4,2,38,194,66,179,Wagner_WWV086B_161.png
5,2,219,194,66,95,Wagner_WWV086B_161.png
6,2,315,194,66,122,Wagner_WWV086B_161.png
7,2,438,194,66,121,Wagner_WWV086B_161.png
8,3,39,303,70,184,Wagner_WWV086B_161.png
9,3,224,303,70,165,Wagner_WWV086B_161.png
10,3,389,303,70,171,Wagner_WWV086B_161.png
11,4,39,422,72,185,Wagner_WWV086B_161.png
12,4,225,422,72,163,Wagner_WWV086B_161.png
13,4,389,422,72,169,Wagner_WWV086B_161.png
14,5,38,550,71,168,Wagner_WWV086B_161.png
15,5,209,550,71,173,Wagner_WWV086B_161.png
16,5,383,550,71,174,Wagner_WWV086B_161.png
17,6,38,667,73,186,Wagner_WWV086B_161.png
18,6,226,667,73,164,Wagner_WWV086B_161.png
19,6,391,667,73,167,Wagner_WWV086B_161.png
1,1,41,66,68,149,Wagner_WWV086B_162.png
2,1,191,66,68,79,Wagner_WWV086B_162.png
3,1,271,66,68,117,Wagner_WWV086B_162.png
4,1,389,66,68,81,Wagner_WWV086B_162.png
5,1,471,66,68,90,Wagner_WWV086B_162.png
6,2,41,196,69,180,Wagner_WWV086B_162.png
7,2,222,196,69,167,Wagner_WWV086B_162.png
8,2,390,196,69,171,Wagner_WWV086B_162.png
9,3,41,320,69,181,Wagner_WWV086B_162.png
10,3,223,320,69,158,Wagner_WWV086B_162.png
11,3,382,320,69,179,Wagner_WWV086B_162.png
12,4,41,455,63,184,Wagner_WWV086B_162.png
13,4,226,455,63,164,Wagner_WWV086B_162.png
14,4,391,455,63,168,Wagner_WWV086B_162.png
15,5,41,569,63,184,Wagner_WWV086B_162.png
16,5,226,569,63,168,Wagner_WWV086B_162.png
17,5,395,569,63,164,Wagner_WWV086B_162.png
18,6,39,685,62,188,Wagner_WWV086B_162.png
19,6,228,685,62,90,Wagner_WWV086B_162.png
20,6,319,685,62,81,Wagner_WWV086B_162.png
21,6,401,685,62,75,Wagner_WWV086B_162.png
22,6,478,685,62,81,Wagner_WWV086B_162.png
1,1,43,72,65,95,Wagner_WWV086B_163.png
2,1,139,72,65,82,Wagner_WWV086B_163.png
3,1,222,72,65,70,Wagner_WWV086B_163.png
4,1,293,72,65,87,Wagner_WWV086B_163.png
5,1,380,72,65,94,Wagner_WWV086B_163.png
6,1,476,72,65,86,Wagner_WWV086B_163.png
7,2,44,198,65,117,Wagner_WWV086B_163.png
8,2,162,198,65,95,Wagner_WWV086B_163.png
9,2,258,198,65,100,Wagner_WWV086B_163.png
10,2,359,198,65,96,Wagner_WWV086B_163.png
11,2,456,198,65,105,Wagner_WWV086B_163.png
12,3,44,321,64,98,Wagner_WWV086B_163.png
13,3,143,321,64,88,Wagner_WWV086B_163.png
14,3,232,321,64,66,Wagner_WWV086B_163.png
15,3,299,321,64,82,Wagner_WWV086B_163.png
16,3,382,321,64,84,Wagner_WWV086B_163.png
17,3,466,321,64,95,Wagner_WWV086B_163.png
18,4,44,440,63,110,Wagner_WWV086B_163.png
19,4,155,440,63,77,Wagner_WWV086B_163.png
20,4,233,440,63,82,Wagner_WWV086B_163.png
21,4,316,440,63,80,Wagner_WWV086B_163.png
22,4,397,440,63,81,Wagner_WWV086B_163.png
23,4,479,440,63,83,Wagner_WWV086B_163.png
24,5,44,566,62,115,Wagner_WWV086B_163.png
25,5,160,566,62,77,Wagner_WWV086B_163.png
26,5,238,566,62,82,Wagner_WWV086B_163.png
27,5,321,566,62,77,Wagner_WWV086B_163.png
28,5,400,566,62,81,Wagner_WWV086B_163.png
29,5,482,566,62,80,Wagner_WWV086B_163.png
30,6,44,678,66,115,Wagner_WWV086B_163.png
31,6,160,678,66,66,Wagner_WWV086B_163.png
32,6,226,678,66,77,Wagner_WWV086B_163.png
33,6,306,678,66,81,Wagner_WWV086B_163.png
34,6,388,678,66,81,Wagner_WWV086B_163.png
35,6,470,678,66,91,Wagner_WWV086B_163.png
1,1,48,59,66,104,Wagner_WWV086B_164.png
