start;end;person;text
322.57;339.6845136507;"Helmwige und Ortlinde";"Hojotoho! Hojotoho! Hojotoho! Hojotoho! Heaha!"
323.78545;339.6845136507;"Gerhilde, Waltraute, Siegrune und Schwertleite";"Heiaha! Heiaha! Heiaha! Heiaha! Heiaha! Heiaha!"
352.51608;356.66494;"Gerhilde";"In Wald mit den Rossen zu Rast und Weid’!"
361.27;365.30703;"Ortlinde";"Führet die Mähren fern von einander,"
366.44606;369.63802;"Ortlinde";"bis unsrer Helden Haß sich gelegt!"
369.64;374.07309;"Waltraute und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
374.31618;379.84504;"Helmwige";"Der Helden Grimm büßte schon die Graue!"
380.05;382.3711971428;"Waltraute und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
382.14;384.4456499992;"Helmwige und Gerhilde";"Ha ha ha ha ha ha ha ha ha ha!"
384.222857142;386.45866;"Waltraute und Schwertleite";"Ha ha ha ha ha ha ha ha ha ha!"
386.23;388.51977;"Helmwige und Gerhilde";"Ha ha ha ha ha ha ha ha ha ha!"
388.29;390.59643;"Ortlinde und Siegrune";"Ha ha ha ha ha ha ha ha ha ha!"
391.06929;394.79769;"Grimgerde und Rossweisse";"Hojotoho! Hojotoho!"
394.54128;398.66271;"Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Willkommen! Willkommen!"
398.91024;401.6318;"Rossweisse, Grimgerde, Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune und Schwertleite";"Willkommen!"
405.96796;407.60064;"Schwertleite";"Wart ihr Kühnen zu zwei?"
408.3066;411.93929;"Grimgerde";"Getrennt ritten wir, und trafen uns heut."
412.17572;415.86066;"Rossweisse";"Sind wir alle versammelt, so säumt nicht lange:"
417.21264;420.30597;"Rossweisse";"nach Walhall brechen wir auf,"
421.7;424.38262;"Rossweisse";"Wotan zu bringen die Wal."
425.81;429.22516;"Helmwige";"Acht sind wir erst: eine noch fehlt!"
429.47602;431.80817;"Gerhilde";"Bei dem braunen Wälsung"
431.81;435.16885;"Gerhilde";"weilt wohl noch Brünnhild’."
435.16885;437.9548;"Waltraute";"Auf sie noch harren müssen wir hier:"
438.19;441.53435;"Waltraute";"Walvater gäb’ uns grimmigen Gruß,"
441.77522;445.239992;"Waltraute";"säh’ ohne sie er uns nahn."
444.566;448.27609;"Siegrune";"Hojotoho! Hojotoho!"
449.20178;452.13528;"Siegrune";"Hieher! Hieher!"
452.59704;454.23526;"Siegrune";"In brünstigem Ritt"
454.23526;457.11782;"Siegrune";"jagt Brünnhilde her!"
457.12;461.20032;"Gerhilde und Ortlinde";"Hojotoho! Hojotoho!"
457.84594;461.20032;"Waltraute und Rossweisse";"Hojotoho!"
458.57188;460.25016;"Grimgerde und Schwertleite";"Hojotoho!"
460.72524;465.71544;"Helmwige und Siegrune";"Hojotoho! Hojotoho! Heiaha!"
461.44;465.20728;"Gerhilde, Ortlinde, Waltraute,Rossweisse, Grimgerde und Schwertleite";"Brünnhilde, hei!"
477.16566;480.99284;"Waltraute";"Nach dem Tann lenkt sie das taumelnde Roß."
481.73284;485.41951;"Grimgerde";"Wie schnaubt Grane vom schnellen Ritt!"
486.67141;490.14;"Rossweisse";"So jach sah ich nie Walküren jagen!"
491.11884;493.01289;"Ortlinde";"Wen hält sie im Sattel?"
493.235;494.3329;"Helmwige";"Das ist kein Held!"
500.22957;502.53109;"Siegrune";"Eine Frau führt sie!"
503.73908;506.16951;"Gerhilde";"Wie fand sie die Frau?"
506.415;509.325;"Schwertleite";"Mit keinem Gruß grüßt sie die Schwestern!"
509.84781;514.86955;"Waltraute";"Heiaha! Brünnhilde, hörst du uns nicht?"
516.3028;518.145;"Ortlinde";"Helft der Schwester"
518.145;519.43615;"Ortlinde";"vom Roß sich schwingen!"
520.47;524.01393;"Helmwige und Gerhilde";"Hojotoho! Hojotoho!"
521.10936;524.66759;"Siegrune und Rossweisse";"Hojotoho! Hojotoho!"
522.17496;525.79313;"Waltraute, Grimgerde und Schwertleite";"Heiaho! Heiaha!"
524.24592;525.79313;"Ortlinde";"Heiaha!"
528.2525;533.1;"Waltraute";"Zu Grunde stürzt Grane, der starke!"
536.15868;539.22194;"Grimgerde";"Aus dem Sattel hebt sie hastig das Weib!"
539.92;542.819;"Ortlinde, Waltraute und Schwertleite";"Schwester! Schwester!"
540.5527;542.819;"Grimgerde";"Schwester!"
543.0188;545.09441;"Ortlinde, Waltraute, Schwertleite und Grimgerde";"Was ist geschehn?"
552.6675;558.52;"Brünnhilde";"Schützt mich, und helft in höchster Not!"
557.93884;560.5555;"Grimgerde";"Wo rittest du her in rasender Hast?"
558.37384;559.6805;"Siegrune";"Woher in rasender Hast?"
559.6805;561.6;"Gerhilde";"Wo rittest du her in rasender Hast?"
560.118;561.6;"Helmwige";"Woher in rasender Hast?"
558.955;561.83;"Ortlinde, Waltraute und Schwertleite";"So flieht nur, wer auf der Flucht!"
559.1725;561.83;"Rossweisse";"So flieht nur, wer auf der Flucht!"
560.265;561.6;"Siegrune";"bist du in Flucht?"
561.83;565.485;"Brünnhilde";"Zum erstenmal flieh’ ich und bin verfolgt:"
566.35;569.2;"Brünnhilde";"Heervater hetzt mir nach!"
569.2;572.58778;"Helmwige, Gerhilde, Siegrune und Grimgerde";"Bist du von Sinnen? Sage uns! Wie?"
569.2;570.36844;"Ortlinde, Waltraute, Rossweisse und Schwertleite";"Ha! Sprich!"
571.2025;573.44;"Ortlinde, Waltraute, Rossweisse und Schwertleite";"Verfolgt dich Heervater?"
573.865;574.9575;"Ortlinde, Waltraute, Rossweisse und Schwertleite";"O sag!"
573.44;574.9575;"Acht Walküren";"Fliehst du vor ihm?"
581.88;585.4225;"Brünnhilde";"O Schwestern, späht von des Felsens Spitze:"
585.66;588.7875;"Brünnhilde";"schaut nach Norden, ob Walvater naht!"
594.0875;596.8925;"Brünnhilde";"Schnell! Seht ihr ihn schon?"
598.81375;601.39;"Ortlinde";"Gewittersturm weht von Norden."
601.62;604.695;"Waltraute";"Starkes Gewölk staut sich dort auf!"
607.73;611.06125;"Helmwige, Gerhilde, Siegrune, Rossweisse, Grimgerde und Schwertleite";"Heervater reitet sein heiliges Roß!"
611.99875;615.225;"Brünnhilde";"Der wilde Jäger, der wütend mich jagt,"
615.4475;618.17;"Brünnhilde";"er naht, er naht von Norden!"
618.4;623.29;"Brünnhilde";"Schützt mich, Schwestern! Wahret dies Weib!"
623.07;625.315;"Siegrune und Rossweisse";"Was ist mit dem Weibe?"
623.51;625.315;"Helmwige,Gerhilde, Grimgerde und Schwertleite";"Was ist mit dem Weibe?"
625.55;626.955;"Brünnhilde";"Hört mich in Eile:"
627.42;631.8;"Brünnhilde";"Sieglinde ist es, Siegmunds Schwester und Braut:"
632.705;634.00826;"Brünnhilde";"gegen die Wälsungen"
634.01;636.2975;"Brünnhilde";"wütet Wotan in Grimm;"
636.54625;639.4175;"Brünnhilde";"dem Bruder sollte Brünnhilde heut"
639.4175;641.3675;"Brünnhilde";"entziehen den Sieg;"
641.65375;646.10793;"Brünnhilde";"doch Siegmund schützt’ ich mit meinem Schild,"
646.11;647.7375;"Brünnhilde";"trotzend dem Gott:"
648.00875;651.3925;"Brünnhilde";"der traf ihn da selbst mit dem Speer:"
651.7;653.4525;"Brünnhilde";"Siegmund fiel;"
653.71375;657.3833333333;"Brünnhilde";"doch ich floh fern mit der Frau:"
657.55376;660.6782433333;"Brünnhilde";"sie zu retten eilt’ ich zu euch,"
661.205;664.88;"Brünnhilde";"ob mich Bange auch"
664.88;668.535;"Brünnhilde";"ihr berget vor dem strafenden Streich!"
669.74875;674.755;"Helmwige, Gerhilde, Siegrune, Rossweisse, Grimgerde und Schwertleite";"Betörte Schwester, was tatest du?"
675.22;680.4925;"Helmwige, Siegrune und Grimgerde";"Wehe! Brünnhilde, wehe!"
675.22;682.6144999998;"Schwertleite";"Wehe! Wehe! Brünnhilde, wehe!"
676.08;682.6144999998;"Rossweisse";"Wehe! Brünnhilde, wehe!"
676.94;682.6144999998;"Grimgerde";"Wehe! Brünnhilde, wehe!"
681.5048333333;684.9981693333;"Helmwige, Siegrune und Grimgerde";"Brach ungehorsam"
683.6269999998;684.9981693333;"Gerhilde, Rossweisse und Schwertleite";"Brachst du"
685;689.935;"Helmwige, Siegrune und Grimgerde";"Brünnhilde Heervaters heilig Gebot?"
685;689.935;"Gerhilde, Rossweisse und Schwertleite";"Heervaters heilig Gebot?"
690.8775;694.335;"Waltraute";"Nächtig zieht es von Norden heran."
694.335;698.515;"Ortlinde";"Wütend steuert hieher der Sturm!"
699.51;703.05833;"Rossweisse, Grimgerde und Schwertleite";"Wild wiehert Walvaters Roß!"
703.06;705.945;"Helmwige, Gerhilde und Siegrune";"Schrecklich schnaubt es daher!"
710.53;713.7925;"Brünnhilde";"Wehe der Armen, wenn Wotan sie trifft:"
713.99625;717.68875;"Brünnhilde";"den Wälsungen allen droht er Verderben!"
718.3875;723.3575;"Brünnhilde";"Wer leiht mir von euch das leichteste Roß,"
723.59375;726.4025;"Brünnhilde";"das flink die Frau ihm entführ’?"
727.14125;730.2425;"Siegrune";"Auch uns rätst du rasenden Trotz?"
731.66;733.80785;"Brünnhilde";"Rossweisse, Schwester,"
733.81;735.415;"Brünnhilde";"leih mir deinen Renner!"
735.6825;739.435;"Rossweisse";"Vor Walvater floh der Fliegende nie."
739.94;741.47;"Brünnhilde";"Helmwige, höre!"
741.725;743.3225;"Helmwige";"Dem Vater gehorch’ ich."
743.77;747.6475;"Brünnhilde";"Grimgerde! Gerhilde! Gönnt mir eu’r Roß!"
748.2;752.87751;"Brünnhilde";"Schwertleite! Siegrune! Seht meine Angst!"
753.585;759.025;"Brünnhilde";"O seid mir treu, wie traut ich euch war:"
759.61;765.095;"Brünnhilde";"rettet dies traurige Weib!"
772.6043421053;779.8368798185;"Sieglinde";"Nicht sehre dich Sorge um mich:"
781.305759637;790.033;"Sieglinde";"einzig taugt mir der Tod!"
790.8515;792.97125;"Sieglinde";"Wer hieß dich Maid,"
792.97125;795.86;"Sieglinde";"dem Harst mich entführen?"
797.66;801.73;"Sieglinde";"Im Sturm dort hätt’ ich den Streich empfahn"
801.96904;807.5025;"Sieglinde";"von derselben Waffe, der Siegmund fiel;"
807.83875;810.5436734693;"Sieglinde";"das Ende fand ich"
810.7156506121;814.7674797959;"Sieglinde";"vereint mit ihm!"
815.415;823.015;"Sieglinde";"Fern von Siegmund – Siegmund, von dir! –"
823.92625;827.855;"Sieglinde";"O deckte mich Tod, daß ich’s denke!"
828.92;830.2825;"Sieglinde";"Soll um die Flucht"
830.2825;833.85;"Sieglinde";"dir Maid ich nicht fluchen,"
834.655;839.8671222428;"Sieglinde";"so erhöre heilig mein Flehen: –"
841.9406833642;847.81;"Sieglinde";"stoße dein Schwert mir ins Herz!"
847.81;855.03;"Brünnhilde";"Lebe, o Weib, um der Liebe willen!"
855.33;859.72;"Brünnhilde";"Rette das Pfand, das von ihm du empfingst:"
860.3;864.835;"Brünnhilde";"ein Wälsung wächst dir im Schoß!"
871.8;879.2175;"Sieglinde";"Rette mich, Kühne! Rette mein Kind!"
879.67;884.62;"Sieglinde";"Schirmt mich, ihr Mädchen, mit mächtigstem Schutz!"
885.84375;888.715;"Waltraute";"Der Sturm kommt heran."
890.1875;892.71;"Ortlinde";"Flieh, wer ihn fürchtet!"
893.68;897.195;"Gerhilde, Rossweisse und Grimgerde";"Fort mit dem Weibe, droht ihm Gefahr!"
894.635;898.72;"Helmwige, Siegrune und Schwertleite";"Fort mit dem Weibe, droht ihm Gefahr!"
897.4625;901.1275;"Gerhilde, Rossweisse und Grimgerde";"Der Walküren keine wag’ ihren Schutz!"
898.72;901.1275;"Helmwige, Siegrune und Schwertleite";"Keine wag' ihren Schutz!"
901.6;909.485;"Sieglinde";"Rette mich, Maid! Rette die Mutter!"
915.75125;920.28;"Brünnhilde";"So fliehe denn eilig, und fliehe allein!"
920.83;926.9529931972;"Brünnhilde";"Ich bleibe zurück, biete mich Wotans Rache:"
927.8124829931;931.395;"Brünnhilde";"an mir zögr’ ich den Zürnenden hier,"
931.395;935.5825;"Brünnhilde";"während du seinem Rasen entrinnst."
937.03;939.4125;"Sieglinde";"Wohin soll ich mich wenden?"
939.905;943.4575;"Brünnhilde";"Wer von euch Schwestern schweifte nach Osten?"
943.73625;948.0975;"Siegrune";"Nach Osten weithin dehnt sich ein Wald:"
948.40625;954.3025;"Siegrune";"der Niblungen Hort entführte Fafner dorthin."
954.95;960.04;"Schwertleite";"Wurmesgestalt schuf sich der Wilde,"
960.725;966.955;"Schwertleite";"in einer Höhle hütet er Alberichs Reif."
966.955;971.8325;"Grimgerde";"Nicht geheu’r ist’s dort für ein hülflos Weib."
972.14875;978.8625;"Brünnhilde";"Und doch, vor Wotans Wut schützt sie sicher der Wald;"
979.13375;983.2075;"Brünnhilde";"ihn scheut der Mächt’ge und meidet den Ort."
983.2075;985.1475;"Waltraute";"Furchtbar fährt"
985.1475;987.14;"Waltraute";"dort Wotan zum Fels!"
987.14;992.94795;"Gerhilde, Helmwige, Rossweisse, Siegrune, Grimgerde und Schwertleite";"Brünnhilde! Hör seines Nahens Gebraus’!"
995.03;999.44619;"Brünnhilde";"Fort denn eile, nach Osten gewandt!"
1000.4;1005.02236;"Brünnhilde";"Mutigen Trotzes ertrag alle Müh’n;"
1005.51;1009.7225;"Brünnhilde";"Hunger und Durst, Dorn und Gestein;"
1010.395;1016.651437778;"Brünnhilde";"lache, ob Not, ob Leiden dich nagt!"
1017.580124716;1023.302785;"Brünnhilde";"denn eines wiss’ und wahr es immer:"
1025.235;1030.87852;"Brünnhilde";"den hehrsten Helden der Welt"
1030.88;1036.93851;"Brünnhilde";"hegst du, o Weib, im schirmenden Schoß."
1046.3595;1052.06;"Brünnhilde";"Verwahr ihm die starken Schwertesstücken;"
1052.3256;1058.255;"Brünnhilde";"seines Vaters Walstatt entführt’ ich sie glücklich: –"
1059.485;1065.40885;"Brünnhilde";"der neu gefügt das Schwert einst schwingt,"
1066.95105;1073.19573;"Brünnhilde";"den Namen nehm’ er von mir:"
1075.07;1084.75809;"Brünnhilde";"Siegfried erfreu’ sich des Siegs!"
1088.955;1106.71786;"Sieglinde";"O hehrstes Wunder, herrliche Maid!"
1107.45;1112.95848;"Sieglinde";"Dir Treuen dank’ ich heiligen Trost!"
1113.64;1119.944961999;"Sieglinde";"Für ihn, den wir liebten, rett’ ich das Liebste:"
1120.429579999;1125.4662;"Sieglinde";"meines Dankes Lohn lache dir einst!"
1126.41;1137.64556;"Sieglinde";"Lebe wohl! Dich segnet Sieglindes Weh!"
1149.98;1153.31802;"Wotan";"Steh! Brünnhild’!"
1153.57564;1156.14282;"Ortlinde und Waltraute";"Den Fels erreichten Roß und Reiter!"
1156.4;1162.179;"Helmwige, Gerhilde, Siegrune und Grimgerde";"Weh’, Brünnhild’! Rache entbrennt!"
1157.92;1163.708796326;"Ortlinde, Waltraute, Rossweisse und Schwertleite";"Weh’, Brünnhild’! Rache entbrennt!"
1162.873092404;1166.25282;"Brünnhilde";"Ach, Schwestern, helft! Mir schwankt das Herz:"
1166.76564;1169.48;"Brünnhilde";"sein Zorn zerschellt mich,"
1169.60616;1172.82568;"Brünnhilde";"wenn euer Schutz ihn nicht zähmt!"
1172.08568;1177.31896;"Helmwige";"Hieher, Verlorne! Laß dich nicht sehn!"
1173.57564;1177.31896;"Rossweisse";"Hieher! Laß dich nicht sehn,"
1173.57564;1174.34564;"Schwertleite";"Hieher!"
1174.09;1174.85846;"Gerhilde und Grimgerde";"Hieher!"
1174.09;1177.57948;"Siegrune";"Hieher, Verlorne,"
1174.86;1177.83844;"Ortlinde";"Laß dich nicht sehn! Hieher,"
1175.57;1176.27858;"Waltraute";"Hieher!"
1176.28;1182.07888;"Schwertleite";"Schmiege dich an uns und schweige dem Ruf!"
1176.28;1182.07888;"Gerhilde";"Schmiege dich an uns! Hieher, zu uns!"
1177.84;1179.91948;"Helmwige und Waltraute";"Schmiege dich an uns!"
1178.87896;1182.07888;"Ortlinde, Siegrune und Rossweisse";"und schweige dem Ruf!"
1186.96;1193.74954;"Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune, Rossweisse, Grimgerde und Schwertleite";"Weh’! Wütend schwingt sich Wotan vom Roß!"
1193.98;1198.368666666;"Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune, Rossweisse, Grimgerde und Schwertleite";"Hieher rast sein rächender Schritt!"
1211.34;1217.35;"Wotan";"Wo ist Brünnhild’, wo die Verbrecherin?"
1218.2;1223;"Wotan";"Wagt ihr, die Böse vor mir zu bergen?"
1223.44;1229.39;"Helmwige, Ortlinde, Gerhilde, Waltraute, Siegrune, Rossweisse, Grimgerde und Schwertleite";"Schrecklich ertost dein Toben!"
1229.795;1232.9;"Helmwige, Ortlinde, Siegrune und Grimgerde";"Was taten, Vater, die Töchter,"
1233.085;1236.3;"Helmwige, Ortlinde, Siegrune";"daß sie dich reizten zu rasender Wut?"
1232.9;1236.3;"Grimgerde";"daß sie dich reizten zu rasender Wut?"
1231.18;1236.3;"Gerhilde, Waltraute, Rossweisse und Schwertleite";"Wer reizte dich zu rasender Wut?"
1236.3;1241.52;"Wotan";"Wollt ihr mich höhnen? Hütet euch, Freche!"
1243.045;1246.36;"Wotan";"Ich weiß, Brünnhilde bergt ihr vor mir."
1247.62;1252.75;"Wotan";"Weichet von ihr, der ewig Verworfnen,"
1253.0325;1257.48;"Wotan";"wie ihren Wert von sich sie warf!"
1261.2275;1266.59832;"Rossweisse";"Zu uns floh die Verfolgte;"
1265.76;1269.52;"Siegrune";"Unsren Schutz flehte sie an;"
1265.76;1271.1;"Grimgerde";"Unsren Schutz flehte sie an;"
1265.76;1268.99;"Schwertleite";"Unsren Schutz flehte sie an;"
1268.46;1274.965;"Rossweisse";"unsren Schutz flehte sie an:"
1270.05;1277.43;"Waltraute";"Mit Furcht und Zagen faßt sie dein Zorn:"
1270.58;1282.65778;"Siegrune";"Furcht und Zagen faßt die Verfolgte."
1271.62;1285.015;"Schwertleite";"Mit Furcht und Zagen faßt sie dein Zürnen:"
1274.04;1284.055;"Grimgerde";"Mit Furcht und Zagen faßt sie dein Zürnen:"
1276.36;1285.51;"Ortlinde";"Vater, hör uns flehn!"
1276.895;1285.51;"Rossweisse";"für die bange Schwester bitten wir nun;"
1277.965;1285.51;"Waltraute";"für die bange Schwester bitten wir nun,"
1285.015;1292.92;"Grimgerde";"für die Bange bitten wir dich!"
1287.41;1292.92;"Schwertleite";"für die Bange bitten wir dich!"
1285.51;1292.92;"Waltraute";"daß den ersten Zorn du bezähmst."
1286.955;1292.92;"Rossweisse";"daß den ersten Zorn du bezähmst."
1278.5;1292.92;"Gerhilde";"Laß dich erweichen, laß dich erweichen!"
1280.44;1292.92;"Helmwige";"Laß dich erweichen, für sie, zähme deinen Zorn!"
1286.5;1291.61;"Ortlinde";"Laß dich erweichen!"
1293.82;1297.36;"Wotan";"Weichherziges Weibergezücht!"
1298.35;1302.611632653;"Wotan";"So matten Mut gewannt ihr von mir?"
1303.385357143;1307.465714286;"Wotan";"Erzog ich euch kühn, zum Kampfe zu ziehn,"
1307.72;1309.483571428;"Wotan";"schuf ich die Herzen"
1309.483571428;1311.952448979;"Wotan";"euch hart und scharf,"
1311.952448979;1316.27;"Wotan";"daß ihr Wilden nun weint und greint,"
1316.5975;1321.75;"Wotan";"wenn mein Grimm eine Treulose straft?"
1328.53;1333.12;"Wotan";"So wißt denn, Winselnde, was die verbrach,"
1333.12;1337.92;"Wotan";"um die euch Zagen die Zähre entbrennt!"
1339.72;1343.05666;"Wotan";"Keine wie sie"
1343.06;1347.13;"Wotan";"kannte mein innerstes Sinnen!"
1354.88;1358.71616;"Wotan";"Keine wie sie"
1358.72;1362.56;"Wotan";"wußte den Quell meines Willens!"
1368.9375;1371.763571428;"Wotan";"Sie selbst war"
1371.763571428;1375.4725;"Wotan";"meines Wunsches schaffender Schoß:"
1378.78;1382.995;"Wotan";"und so nun brach sie den seligen Bund,"
1383.2625;1387.105;"Wotan";"daß treulos sie meinem Willen getrotzt,"
1387.3775;1391.455;"Wotan";"mein herrschend Gebot offen verhöhnt,"
1391.63926;1394.965;"Wotan";"gegen mich die Waffe gewandt,"
1395.16918;1399.04;"Wotan";"die mein Wunsch allein ihr schuf."
1404.1;1413.13;"Wotan";"Hörst du’s, Brünnhilde? Du, der ich Brünne,"
1413.86;1418.815272108;"Wotan";"Helm und Wehr, Wonne und Huld,"
1419.147029478;1424.21;"Wotan";"Namen und Leben verlieh?"
1425.46;1431.775;"Wotan";"Hörst du mich Klage erheben,"
1432.0575;1436.42;"Wotan";"und birgst dich bang dem Kläger,"
1437.06;1442.065833333;"Wotan";"daß feig du der Straf’ entflöh’st?"
1474.59;1485.8325;"Brünnhilde";"Hier bin ich, Vater gebiete die Strafe!"
1490.665;1494.2575;"Wotan";"Nicht straf’ ich dich erst;"
1494.715;1498.145;"Wotan";"deine Strafe schufst du dir selbst."
1498.8425;1502.53;"Wotan";"Durch meinen Willen warst du allein:"
1503.015;1506.63;"Wotan";"gegen mich doch hast du gewollt;"
1508.59;1512.64;"Wotan";"meine Befehle nur führtest du aus:"
1513.13;1517.275;"Wotan";"gegen mich doch hast du befohlen;"
1519.46;1523.6978;"Wotan";"Wunschmaid warst du mir:"
1523.85272;1526.46;"Wotan";"gegen mich doch hast du gewünscht;"
1527.38;1531.436507999;"Wotan";"Schildmaid warst du mir:"
1531.593053583;1534.239375;"Wotan";"gegen mich doch hobst du den Schild;"
1535.18;1539.35782;"Wotan";"Loskieserin warst du mir:"
1539.54094;1542.439863945;"Wotan";"gegen mich doch kiestest du Lose;"
1543.339727891;1547.41792;"Wotan";"Heldenreizerin warst du mir:"
1547.5777;1550.34;"Wotan";"gegen mich doch reiztest du Helden."
1560.23;1567.3778;"Wotan";"Was sonst du warst, sagte dir Wotan:"
1567.887278912;1574.39;"Wotan";"was jetzt du bist, das sage dir selbst!"
1575.36;1579.73778;"Wotan";"Wunschmaid bist du nicht mehr;"
1580.7;1585.9;"Wotan";"Walküre bist du gewesen:"
1587.665;1593.91;"Wotan";"nun sei fortan, was so du noch bist!"
1598.98;1603.97736;"Brünnhilde";"Du verstößest mich; versteh’ ich den Sinn?"
1604.97;1612.9;"Wotan";"Nicht send’ ich dich mehr aus Walhall;"
1613.37;1620.79625;"Wotan";"nicht weis’ ich dir mehr Helden zur Wal,"
1620.79625;1624.878125;"Wotan";"nicht führst du mehr Sieger"
1624.878125;1628.93806;"Wotan";"in meinen Saal:"
1629.84;1637.06;"Wotan";"bei der Götter trautem Mahle"
1637.57;1644.225714286;"Wotan";"das Trinkhorn nicht reichst du traulich mir mehr;"
1644.672857143;1651.466938775;"Wotan";"nicht kos’ ich dir mehr den kindischen Mund;"
1651.900408163;1659.205;"Wotan";"von göttlicher Schar bist du geschieden,"
1659.68;1666.2375;"Wotan";"ausgestoßen aus der Ewigen Stamm;"
1666.959375;1671.91;"Wotan";"gebrochen ist unser Bund;"
1673.335;1682.255408163;"Wotan";"aus meinem Angesicht bist du verbannt!"
1682.750816326;1687.23;"Helmwige, Gerhilde, Ortlinde, Waltraute, Siegrune, Rossweisse, Grimgerde und Schwertleite";"Wehe! Weh’!"
1687.48;1692.32;"Helmwige, Gerhilde, Ortlinde, Waltraute, Siegrune, Rossweisse, Grimgerde und Schwertleite";"Schwester! ach Schwester!"
1691.88;1697.28;"Brünnhilde";"Nimmst du mir alles, was einst du gabst?"
1697.28;1702.575;"Wotan";"Der dich zwingt, wird dir’s entziehn!"
1704.39;1710.5475;"Wotan";"Hieher auf den Berg banne ich dich;"
1711.01375;1717.855;"Wotan";"in wehrlosen Schlaf schließ’ ich dich fest;"
1718.4125;1722.255;"Wotan";"der Mann dann fange die Maid,"
1722.65838;1727.069333333;"Wotan";"der am Wege sie findet und weckt."
1728.242666666;1729.148666667;"Waltraute";"Halt ein!"
1728.980833333;1729.652166667;"Ortlinde, Grimgerde und Schwertleite";"O Vater!"
1729.652166667;1732.11;"Helmwige, Gerhilde, Rossweisse und Siegrune";"Halt ein den Fluch!"
1730.54;1731.73808;"Ortlinde und Waltraute";"Halt ein!"
1734.34375;1736.318398333;"Helmwige und Ortlinde";"Halt ein!"
1734.34375;1735.919583333;"Gerhilde und Waltraute";"O Vater!"
1731.26;1734.34375;"Grimgerde und Schwertleite";"Soll die Maid verblühn und verbleichen dem Mann?"
1734.34375;1737.565;"Siegrune und Rossweisse";"Soll die Maid verblühn und verbleichen dem Mann?"
1737.565;1740.835;"Gerhilde und Waltraute";"Soll die Maid verblühn und verbleichen dem Mann?"
1737.565;1740.43;"Schwertleite";"Soll die Maid verblühn und verbleichen?"
1736.32;1739.61836;"Helmwige";"Hör unser Fleh’n!"
1736.32;1740.025;"Ortlinde";"Hör unser Fleh’n!"
1737.98;1741.645;"Rossweisse";"Schrecklicher Vater!"
1742.6575;1747.45625;"Gerhilde";"Du schrecklicher, schrecklicher Gott!"
