mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	tempo_visible	slur	Trill:trill	crescendo_line	diminuendo_line	crescendo_hairpin	decrescendo_hairpin	Ottava:8va
2	1	2	2	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	15														
2	1	5/2	5/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	16														
2	1	3	3	0.5		1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	17														
2	1	7/2	7/2	0.5		5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	18														
2	1	4	4	0.5		3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	19														
2	1	9/2	9/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	20														
3	2	5	5	0.0		0	0	Dynamic	4/4	1	1	0						sf													
3	2	5	5	2.0		0	0	Chord	4/4	1	1	1/2			1/2	1	21								3						
3	2	7	7	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	22		articStaccatoBelow												
3	2	8	8	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	23														
3	2	5	5	0.0		0	0	Dynamic	4/4	2	1	0						sf													
3	2	5	5	2.0		0	0	Chord	4/4	2	1	1/2			1/2	1	24								4						
3	2	7	7	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	25		articStaccatoBelow												
3	2	5	5	0.0		0	0	Dynamic	4/4	3	1	0						sf													
3	2	5	5	1.5		0	0	Chord	4/4	3	1	3/8			1/4	3/2	26								5						
3	2	13/2	13/2	0.5		3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	27														
3	2	7	7	1.0		1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	28		articStaccatoBelow												
3	2	5	5	0.0		0	0	Dynamic	4/4	4	1	0						sf													
3	2	5	5	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	29														
3	2	11/2	11/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	30														
3	2	6	6	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	31														
3	2	13/2	13/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	32														
3	2	7	7	0.5		1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	33														
3	2	15/2	15/2	0.5		5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	34														
3	2	8	8	0.5		3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	35														
3	2	17/2	17/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	36														
4	3	9	9	2.0		0	0	Chord	4/4	1	1	1/2			1/2	1	37														
4	3	11	11	0.0		1/2	1/2	Chord	4/4	1	1	0	grace16after		1/16	1	38														
4	3	11	11	0.0		1/2	1/2	Chord	4/4	1	1	0	grace16after		1/16	1	39														
4	3	11	11	0.0		1/2	1/2	Chord	4/4	1	1	0	grace16after		1/16	1	40														
4	3	11	11	0.5		1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	41														
4	3	23/2	23/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	42								6						
4	3	12	12	0.5		3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	43								6						
4	3	25/2	25/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	44														
4	3	9	9	3.0		0	0	Chord	4/4	2	1	3/4			1/2	3/2	45								7						
4	3	12	12	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	46														
4	3	9	9	3.0		0	0	Chord	4/4	3	1	3/4			1/2	3/2	47								8						
4	3	12	12	1.0		3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	48														
4	3	9	9	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	49														
4	3	19/2	19/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	50														
4	3	10	10	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	51														
4	3	21/2	21/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	52														
4	3	11	11	0.5		1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	53														
4	3	23/2	23/2	0.5		5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	54														
4	3	12	12	0.5		3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	55														
4	3	25/2	25/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	56														
5	4	13	13	0.0		0	0	Dynamic	4/4	1	1	0						sf													
5	4	13	13	2.0		0	0	Chord	4/4	1	1	1/2			1/2	1	57								9						
5	4	15	15	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	58		articStaccatoBelow												
5	4	16	16	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	59														
5	4	13	13	0.0		0	0	Dynamic	4/4	2	1	0						sf													
5	4	13	13	2.0		0	0	Chord	4/4	2	1	1/2			1/2	1	60								10						
5	4	15	15	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	61		articStaccatoBelow												
5	4	13	13	0.0		0	0	Dynamic	4/4	3	1	0						sf													
5	4	13	13	1.5		0	0	Chord	4/4	3	1	3/8			1/4	3/2	62								11						
5	4	29/2	29/2	0.5		3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	63														
5	4	15	15	1.0		1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	64		articStaccatoBelow												
5	4	13	13	0.0		0	0	Dynamic	4/4	4	1	0						sf													
5	4	13	13	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	65														
5	4	27/2	27/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	66														
5	4	14	14	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	67														
5	4	29/2	29/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	68														
5	4	15	15	0.5		1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	69														
5	4	31/2	31/2	0.5		5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	70														
5	4	16	16	0.5		3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	71														
5	4	33/2	33/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	72														
6	5	17	17	0.5		0	0	Chord	4/4	1	1	1/8			1/8	1	73								12						
6	5	35/2	35/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	74														
6	5	18	18	2.0		1/4	1/4	Chord	4/4	1	1	1/2			1/2	1	75								13						
6	5	20	20	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	76														
6	5	18	18	2.0		1/4	1/4	Chord	4/4	2	1	1/2			1/2	1	77								14						
6	5	20	20	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	78														
6	5	18	18	2.0		1/4	1/4	Chord	4/4	3	1	1/2			1/2	1	79								15						
6	5	20	20	1.0		3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	80														
6	5	17	17	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	81														
6	5	35/2	35/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	82														
6	5	18	18	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	83														
6	5	37/2	37/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	84														
6	5	19	19	0.5		1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	85														
6	5	39/2	39/2	0.5		5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	86														
6	5	20	20	0.5		3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	87														
6	5	41/2	41/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	88														
7	6	21	21	0.5		0	0	Chord	4/4	1	1	1/8			1/8	1	89								16						
7	6	43/2	43/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	90														
7	6	22	22	2.0		1/4	1/4	Chord	4/4	1	1	1/2			1/2	1	91								17						
7	6	24	24	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	92														
7	6	21	21	0.5		0	0	Chord	4/4	2	1	1/8			1/8	1	93								18						
7	6	43/2	43/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	94														
7	6	22	22	2.0		1/4	1/4	Chord	4/4	2	1	1/2			1/2	1	95								19						
7	6	24	24	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	96														
7	6	21	21	0.5		0	0	Chord	4/4	3	1	1/8			1/8	1	97								20						
7	6	43/2	43/2	0.5		1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	98														
7	6	22	22	2.0		1/4	1/4	Chord	4/4	3	1	1/2			1/2	1	99								21						
7	6	24	24	1.0		3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	100														
7	6	21	21	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	101														
7	6	43/2	43/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	102														
7	6	22	22	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	103														
7	6	45/2	45/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	104														
7	6	23	23	0.5		1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	105														
7	6	47/2	47/2	0.5		5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	106														
7	6	24	24	0.5		3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	107														
7	6	49/2	49/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	108														
8	7	25	25	0.5		0	0	Chord	4/4	1	1	1/8			1/8	1	109								22						
8	7	51/2	51/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	110														
8	7	26	26	2.0		1/4	1/4	Chord	4/4	1	1	1/2			1/2	1	111								23						
8	7	28	28	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	112														
8	7	25	25	0.5		0	0	Chord	4/4	2	1	1/8			1/8	1	113														
8	7	51/2	51/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	114														
8	7	26	26	0.5		1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	115														
8	7	53/2	53/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	116														
8	7	27	27	0.5		1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	117														
8	7	55/2	55/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	118														
8	7	28	28	0.5		3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	119														
8	7	57/2	57/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	120														
8	7	25	25	0.5		0	0	Chord	4/4	3	1	1/8			1/8	1	121														
8	7	51/2	51/2	0.5		1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	122														
8	7	26	26	0.5		1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	123														
8	7	53/2	53/2	0.5		3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	124														
8	7	27	27	0.5		1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	125														
8	7	55/2	55/2	0.5		5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	126														
8	7	28	28	0.5		3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	127														
8	7	57/2	57/2	0.5		7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	128														
8	7	25	25	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	129														
8	7	51/2	51/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	130														
8	7	26	26	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	131														
8	7	53/2	53/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	132														
8	7	27	27	0.5		1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	133														
8	7	55/2	55/2	0.5		5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	134														
8	7	28	28	0.5		3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	135														
8	7	57/2	57/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	136														
9	8	29	29	1.5		0	0	Chord	4/4	1	1	3/8			1/4	3/2	137								24						
9	8	61/2	61/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	138								24						
9	8	31	31	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	139														
9	8	65/2	65/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	140														
9	8	30	30	0.0		1/4	1/4	StaffText	4/4	1	2	0								♮											
9	8	30	30	0.5		1/4	1/4	Chord	4/4	1	2	1/8			1/8	1	141		ornamentTurn												
9	8	29	29	0.5		0	0	Chord	4/4	2	1	1/8			1/8	1	142														
9	8	59/2	59/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	143														
9	8	30	30	0.5		1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	144														
9	8	61/2	61/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	145														
9	8	31	31	0.5		1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	146														
9	8	63/2	63/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	147														
9	8	32	32	0.5		3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	148														
9	8	65/2	65/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	149														
9	8	29	29	0.5		0	0	Chord	4/4	3	1	1/8			1/8	1	150														
9	8	59/2	59/2	0.5		1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	151														
9	8	30	30	0.5		1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	152								25						
9	8	61/2	61/2	0.5		3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	153														
9	8	31	31	0.5		1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	154		articStaccatoBelow												
9	8	63/2	63/2	0.5		5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	155		articStaccatoBelow												
9	8	32	32	0.5		3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	156		articStaccatoBelow												
9	8	65/2	65/2	0.5		7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	157		articStaccatoBelow												
9	8	29	29	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	158														
9	8	59/2	59/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	159														
9	8	30	30	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	160								26						
9	8	61/2	61/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	161														
9	8	31	31	0.5		1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	162		articStaccatoAbove												
9	8	63/2	63/2	0.5		5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	163		articStaccatoAbove												
9	8	32	32	0.5		3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	164		articStaccatoAbove												
9	8	65/2	65/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	165		articStaccatoAbove												
10	9	33	33	0.5		0	0	Chord	4/4	1	1	1/8			1/8	1	166								27						
10	9	67/2	67/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	167														
10	9	34	34	2.0		1/4	1/4	Chord	4/4	1	1	1/2			1/2	1	168								28						
10	9	36	36	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	169														
10	9	33	33	0.5		0	0	Chord	4/4	2	1	1/8			1/8	1	170														
10	9	67/2	67/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	171														
10	9	34	34	0.5		1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	172														
10	9	69/2	69/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	173														
10	9	35	35	0.5		1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	174														
10	9	71/2	71/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	175														
10	9	36	36	0.5		3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	176														
10	9	73/2	73/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	177														
10	9	33	33	0.5		0	0	Chord	4/4	3	1	1/8			1/8	1	178														
10	9	67/2	67/2	0.5		1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	179														
10	9	34	34	0.5		1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	180														
10	9	69/2	69/2	0.5		3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	181														
10	9	35	35	0.5		1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	182														
10	9	71/2	71/2	0.5		5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	183														
10	9	36	36	0.5		3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	184														
10	9	73/2	73/2	0.5		7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	185														
10	9	33	33	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	186														
10	9	67/2	67/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	187														
10	9	34	34	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	188														
10	9	69/2	69/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	189														
10	9	35	35	0.5		1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	190														
10	9	71/2	71/2	0.5		5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	191														
10	9	36	36	0.5		3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	192														
10	9	73/2	73/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	193														
11	10	37	37	0.5		0	0	Chord	4/4	1	1	1/8			1/8	1	194								29						
11	10	75/2	75/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	195														
11	10	38	38	2.0		1/4	1/4	Chord	4/4	1	1	1/2			1/2	1	196								30						
11	10	40	40	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	197														
11	10	75/2	75/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	198														
11	10	38	38	0.5		1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	199														
11	10	77/2	77/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	200														
11	10	39	39	0.5		1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	201														
11	10	79/2	79/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	202														
11	10	40	40	0.5		3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	203														
11	10	81/2	81/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	204														
11	10	75/2	75/2	0.5		1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	205														
11	10	38	38	0.5		1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	206														
11	10	77/2	77/2	0.5		3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	207														
11	10	39	39	0.5		1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	208														
11	10	79/2	79/2	0.5		5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	209														
11	10	40	40	0.5		3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	210														
11	10	81/2	81/2	0.5		7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	211														
11	10	75/2	75/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	212														
11	10	38	38	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	213														
11	10	77/2	77/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	214														
11	10	39	39	0.5		1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	215														
11	10	79/2	79/2	0.5		5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	216														
11	10	40	40	0.5		3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	217														
11	10	81/2	81/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	218														
12	11	41	41	0.0		0	0	Spanner	4/4	1	1	0															0				
12	11	41	41	1.0		0	0	Chord	4/4	1	1	1/4			1/4	1	219								31		0				
12	11	42	42	1.0		1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	220										0				
12	11	43	43	0.5		1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	221										0				
12	11	87/2	87/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	222		ornamentTurn						32		0				
12	11	44	44	0.5		3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	223								32		0				
12	11	89/2	89/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	224										0				
12	11	41	41	0.0		0	0	Spanner	4/4	2	1	0															1				
12	11	41	41	1.0		0	0	Chord	4/4	2	1	1/4			1/4	1	225								33		1				
12	11	42	42	1.0		1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	226										1				
12	11	43	43	0.5		1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	227										1				
12	11	87/2	87/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	228		ornamentTurn						34		1				
12	11	44	44	0.5		3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	229								34		1				
12	11	89/2	89/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	230										1				
12	11	41	41	0.0		0	0	Spanner	4/4	3	1	0															2				
12	11	41	41	0.5		0	0	Chord	4/4	3	1	1/8			1/8	1	231										2				
12	11	83/2	83/2	0.5		1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	232										2				
12	11	42	42	0.5		1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	233										2				
12	11	85/2	85/2	0.5		3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	234										2				
12	11	43	43	0.5		1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	235										2				
12	11	87/2	87/2	0.5		5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	236										2				
12	11	44	44	0.5		3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	237										2				
12	11	89/2	89/2	0.5		7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	238										2				
12	11	41	41	0.0		0	0	Spanner	4/4	4	1	0															3				
12	11	41	41	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	239										3				
12	11	83/2	83/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	240										3				
12	11	42	42	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	241										3				
12	11	85/2	85/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	242										3				
12	11	43	43	0.5		1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	243										3				
12	11	87/2	87/2	0.5		5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	244										3				
12	11	44	44	0.5		3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	245										3				
12	11	89/2	89/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	246										3				
13	12	45	45	1.0		0	0	Chord	4/4	1	1	1/4			1/4	1	247								35		0				
13	12	46	46	2.0		1/4	1/4	Chord	4/4	1	1	1/2			1/2	1	248								35		0				
13	12	48	48	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	249										0				
13	12	45	45	1.0		0	0	Chord	4/4	2	1	1/4			1/4	1	250								36		1				
13	12	46	46	2.0		1/4	1/4	Chord	4/4	2	1	1/2			1/2	1	251								36		1				
13	12	48	48	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	252										1				
13	12	45	45	0.5		0	0	Chord	4/4	3	1	1/8			1/8	1	253										2				
13	12	91/2	91/2	0.5		1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	254										2				
13	12	46	46	0.5		1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	255										2				
13	12	93/2	93/2	0.5		3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	256										2				
13	12	47	47	0.5		1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	257										2				
13	12	95/2	95/2	0.5		5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	258										2				
13	12	48	48	0.5		3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	259										2				
13	12	97/2	97/2	0.5		7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	260										2				
13	12	45	45	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	261										3				
13	12	91/2	91/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	262										3				
13	12	46	46	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	263										3				
13	12	93/2	93/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	264										3				
13	12	47	47	0.5		1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	265										3				
13	12	95/2	95/2	0.5		5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	266										3				
13	12	48	48	0.5		3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	267										3				
13	12	97/2	97/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	268										3				
14	13	49	49	0.0		0	0	Dynamic	4/4	1	1	0						ff													
14	13	49	49	0.0		0	0	Spanner	4/4	1	1	0																			
14	13	49	49	1.0		0	0	Chord	4/4	1	1	1/4			1/4	1	269		articStaccatoAbove												
14	13	49	49	0.0		0	0	Dynamic	4/4	2	1	0						ff													
14	13	49	49	0.0		0	0	Spanner	4/4	2	1	0																			
14	13	49	49	1.0		0	0	Chord	4/4	2	1	1/4			1/4	1	270		articStaccatoBelow												
