mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	tempo_visible	slur	diminuendo_line	HairPin:3_decresc.
94	93	743/4	743/4	0.125		3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	959								62		
94	93	1487/8	1487/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	960										
94	93	186	186	0.1111111111111111		1/4	1/4	Chord	2/4	1	1	1/36		1/32	8/9	961								63		
94	93	1675/9	1675/9	0.1111111111111111		5/18	5/18	Chord	2/4	1	1	1/36		1/32	8/9	962								63		
94	93	1676/9	1676/9	0.1111111111111111		11/36	11/36	Chord	2/4	1	1	1/36		1/32	8/9	963								63		
94	93	559/3	559/3	0.1111111111111111		1/3	1/3	Chord	2/4	1	1	1/36		1/32	8/9	964								63		
94	93	1678/9	1678/9	0.1111111111111111		13/36	13/36	Chord	2/4	1	1	1/36		1/32	8/9	965								63		
94	93	1679/9	1679/9	0.1111111111111111		7/18	7/18	Chord	2/4	1	1	1/36		1/32	8/9	966								63		
94	93	560/3	560/3	0.1111111111111111		5/12	5/12	Chord	2/4	1	1	1/36		1/32	8/9	967								63		
94	93	1681/9	1681/9	0.1111111111111111		4/9	4/9	Chord	2/4	1	1	1/36		1/32	8/9	968								63		
94	93	1682/9	1682/9	0.1111111111111111		17/36	17/36	Chord	2/4	1	1	1/36		1/32	8/9	969								63		
94	93	185	185	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	970								64		
94	93	186	186	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	971								64		
94	93	373/2	373/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	972								64		
94	93	747/4	747/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	973										
94	93	185	185	2.0		0	0	Chord	2/4	2	2	1/2		1/2	1	974										
95	94	187	187	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	975		articStaccatoBelow								
95	94	375/2	375/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	976		articStaccatoBelow								
95	94	377/2	377/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	977										
95	94	187	187	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	978								65		
95	94	375/2	375/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	979								65		
95	94	188	188	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	980								65		
95	94	377/2	377/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	981										
95	94	187	187	1.0		0	0	Chord	2/4	2	2	1/4		1/4	1	982										
95	94	188	188	1.0		1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	983										
96	95	189	189	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	984										
96	95	190	190	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	985								66		
96	95	381/2	381/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	986								66		
96	95	381/2	381/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	987										
96	95	189	189	0.5		0	0	Chord	2/4	2	2	1/8		1/8	1	988										
96	95	379/2	379/2	0.5		1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	989										
97	96	191	191	0.0		0	0	Chord	2/4	1	1	0	appoggiatura	1/8	1	990								66		
97	96	191	191	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	991								66		
97	96	765/4	765/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	992								66		
97	96	383/2	383/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	993								66		
97	96	767/4	767/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	994								66		
97	96	192	192	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	995		articStaccatoAbove								
97	96	385/2	385/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	996								67		
97	96	191	191	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	997										
97	96	383/2	383/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	998										
97	96	192	192	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	999										
97	96	385/2	385/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	1000										
97	96	191	191	2.0		0	0	Chord	2/4	2	2	1/2		1/2	1	1001										
98	97	193	193	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	1002								67		
98	97	387/2	387/2	1.0		1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	1003										
98	97	389/2	389/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1004								68		
98	97	193	193	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	1005										
98	97	194	194	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	1006										
98	97	389/2	389/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	1007										
98	97	193	193	0.5		0	0	Chord	2/4	2	2	1/8		1/8	1	1008										
98	97	387/2	387/2	1.5		1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	1009										
99	98	195	195	0.0		0	0	Chord	2/4	1	1	0	appoggiatura	1/8	1	1010								68		
99	98	195	195	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	1011								68		
99	98	781/4	781/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	1012								68		
99	98	391/2	391/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	1013								68		
99	98	783/4	783/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	1014								68		
99	98	196	196	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	1015		articStaccatoBelow								
99	98	393/2	393/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1016								69		
99	98	195	195	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	1017										
99	98	391/2	391/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	1018										
99	98	196	196	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	1019										
99	98	393/2	393/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	1020										
99	98	195	195	2.0		0	0	Chord	2/4	2	2	1/2		1/2	1	1021										
100	99	197	197	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	1022								69		
100	99	395/2	395/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	1023										
100	99	397/2	397/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1024										
100	99	197	197	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	1025										
100	99	395/2	395/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	1026										
100	99	198	198	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	1027								70		
100	99	397/2	397/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	1028								70		
100	99	197	197	1.0		0	0	Chord	2/4	2	2	1/4		1/4	1	1029										
100	99	198	198	1.0		1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	1030										
101	100	199	199	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	1031										
101	100	399/2	399/2	1.0		1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	1032										
101	100	401/2	401/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1033										
101	100	199	199	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	1034								70		
101	100	399/2	399/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	1035								70		
101	100	200	200	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	1036								70		
101	100	401/2	401/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	1037								70		
101	100	199	199	1.0		0	0	Chord	2/4	2	2	1/4		1/4	1	1038										
101	100	200	200	1.0		1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	1039										
102	101	201	201	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	1040										
102	101	805/4	805/4	0.125		1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	1041								71		
102	101	1611/8	1611/8	0.125		3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	1042								71		
102	101	403/2	403/2	0.125		1/8	1/8	Chord	2/4	1	1	1/32		1/32	1	1043								71		
102	101	1613/8	1613/8	0.125		5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	1044								71		
102	101	807/4	807/4	0.125		3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	1045								71		
102	101	1615/8	1615/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	1046								71		
102	101	202	202	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	1047		articStaccatoAbove								
102	101	809/4	809/4	0.125		5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	1048								72		
102	101	1619/8	1619/8	0.125		11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	1049								72		
102	101	405/2	405/2	0.125		3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	1050								72		
102	101	1621/8	1621/8	0.125		13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	1051								72		
102	101	811/4	811/4	0.125		7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	1052								72		
102	101	1623/8	1623/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	1053										
102	101	201	201	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	1054								70		
102	101	403/2	403/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	1055								70		
102	101	202	202	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	1056								70		
102	101	405/2	405/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	1057										
102	101	201	201	2.0		0	0	Chord	2/4	2	2	1/2		1/2	1	1058										
103	102	203	203	0.125		0	0	Chord	2/4	1	1	1/32		1/32	1	1059								73		
103	102	1625/8	1625/8	0.125		1/32	1/32	Chord	2/4	1	1	1/32		1/32	1	1060								73		
103	102	813/4	813/4	0.125		1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	1061								73		
103	102	1627/8	1627/8	0.125		3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	1062								73		
103	102	407/2	407/2	0.125		1/8	1/8	Chord	2/4	1	1	1/32		1/32	1	1063								73		
103	102	1629/8	1629/8	0.125		5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	1064								73		
103	102	815/4	815/4	0.125		3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	1065								73		
103	102	1631/8	1631/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	1066								73		
103	102	204	204	0.1111111111111111		1/4	1/4	Chord	2/4	1	1	1/36		1/32	8/9	1067								73		
103	102	1837/9	1837/9	0.1111111111111111		5/18	5/18	Chord	2/4	1	1	1/36		1/32	8/9	1068								73		
103	102	1838/9	1838/9	0.1111111111111111		11/36	11/36	Chord	2/4	1	1	1/36		1/32	8/9	1069								73		
103	102	613/3	613/3	0.1111111111111111		1/3	1/3	Chord	2/4	1	1	1/36		1/32	8/9	1070								73		
103	102	1840/9	1840/9	0.1111111111111111		13/36	13/36	Chord	2/4	1	1	1/36		1/32	8/9	1071								73		
103	102	1841/9	1841/9	0.1111111111111111		7/18	7/18	Chord	2/4	1	1	1/36		1/32	8/9	1072								73		
103	102	614/3	614/3	0.1111111111111111		5/12	5/12	Chord	2/4	1	1	1/36		1/32	8/9	1073								73		
103	102	1843/9	1843/9	0.1111111111111111		4/9	4/9	Chord	2/4	1	1	1/36		1/32	8/9	1074								73		
103	102	1844/9	1844/9	0.1111111111111111		17/36	17/36	Chord	2/4	1	1	1/36		1/32	8/9	1075								73		
103	102	203	203	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	1076								74		
103	102	204	204	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	1077								74		
103	102	409/2	409/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	1078								74		
103	102	819/4	819/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	1079										
103	102	203	203	2.0		0	0	Chord	2/4	2	2	1/2		1/2	1	1080										
104	103	205	205	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	1081		articStaccatoAbove								
104	103	411/2	411/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	1082		articStaccatoAbove								
104	103	413/2	413/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1083										
104	103	205	205	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	1084								75		
104	103	411/2	411/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	1085								75		
104	103	206	206	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	1086								75		
104	103	413/2	413/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	1087										
104	103	205	205	1.0		0	0	Chord	2/4	2	2	1/4		1/4	1	1088										
104	103	206	206	1.0		1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	1089										
105	104	207	207	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	1090										
105	104	208	208	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	1091								76		
105	104	833/4	833/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	1092								76		
105	104	417/2	417/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	1093								76		
105	104	835/4	835/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1094								76		
105	104	208	208	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	1095								77		
105	104	207	207	0.5		0	0	Chord	2/4	2	2	1/8		1/8	1	1096										
105	104	415/2	415/2	0.5		1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	1097										
106	105	209	209	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	1098								76		
106	105	837/4	837/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	1099								76		
106	105	419/2	419/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	1100								76		
106	105	839/4	839/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	1101								76		
106	105	210	210	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	1102								76		
106	105	841/4	841/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	1103								76		
106	105	421/2	421/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	1104								76		
106	105	843/4	843/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1105								76		
106	105	209	209	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	1106								77		
106	105	210	210	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	1107								77		
107	106	211	211	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	1108								76		
107	106	845/4	845/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	1109								76		
107	106	423/2	423/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	1110								76		
107	106	847/4	847/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	1111								76		
107	106	212	212	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	1112								76		
107	106	849/4	849/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	1113								76		
107	106	425/2	425/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	1114								76		
107	106	851/4	851/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1115								76		
107	106	211	211	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	1116								77		
107	106	212	212	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	1117								77		
108	107	213	213	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	1118								76		
108	107	853/4	853/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	1119								76		
108	107	427/2	427/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	1120								76		
108	107	855/4	855/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	1121								76		
108	107	214	214	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	1122								76		
108	107	857/4	857/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	1123								76		
108	107	429/2	429/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	1124								76		
108	107	859/4	859/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1125								76		
108	107	213	213	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	1126								77		
108	107	214	214	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	1127								77		
109	108	215	215	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	1128								76		
109	108	861/4	861/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	1129								76		
109	108	431/2	431/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	1130								76		
109	108	863/4	863/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	1131								76		
109	108	216	216	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	1132								76		
109	108	865/4	865/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	1133								76		
109	108	433/2	433/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	1134								76		
109	108	867/4	867/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1135								76		
109	108	215	215	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	1136								77		
109	108	216	216	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	1137										
110	109	217	217	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	1138								76		
110	109	869/4	869/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	1139								76		
110	109	435/2	435/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	1140								76		
110	109	871/4	871/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	1141										
110	109	218	218	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	1142										
110	109	873/4	873/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	1143										
110	109	437/2	437/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	1144										
110	109	875/4	875/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1145										
110	109	217	217	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	1146										
110	109	218	218	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	1147								78		
111	110	219	219	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	1148										
111	110	877/4	877/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	1149										
111	110	439/2	439/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	1150										
111	110	879/4	879/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	1151										
111	110	220	220	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	1152										
111	110	881/4	881/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	1153										
111	110	441/2	441/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	1154										
111	110	883/4	883/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1155										
111	110	219	219	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	1156								78		
111	110	220	220	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	1157								78		
112	111	221	221	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	1158										
112	111	885/4	885/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	1159										
112	111	443/2	443/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	1160										
112	111	887/4	887/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	1161										
112	111	222	222	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	1162										
112	111	889/4	889/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	1163										
112	111	445/2	445/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	1164										
112	111	891/4	891/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1165										
112	111	221	221	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	1166										
112	111	222	222	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	1167										
113	112	223	223	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	1168										
113	112	893/4	893/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	1169										
113	112	447/2	447/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	1170										
113	112	895/4	895/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	1171										
113	112	224	224	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	1172										
113	112	897/4	897/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	1173										
113	112	449/2	449/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	1174										
113	112	899/4	899/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1175										
113	112	223	223	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	1176										
113	112	224	224	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	1177										
114	113	225	225	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	1178										
114	113	901/4	901/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	1179										
114	113	451/2	451/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	1180										
114	113	903/4	903/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	1181										
114	113	226	226	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	1182										
114	113	905/4	905/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	1183										
114	113	453/2	453/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	1184										
114	113	907/4	907/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1185										
114	113	225	225	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	1186										
114	113	226	226	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	1187										
115	114	227	227	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	1188										
115	114	228	228	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	1189										
115	114	913/4	913/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	1190										
115	114	457/2	457/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	1191										
115	114	915/4	915/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1192										
115	114	228	228	1.0		1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	1193										
115	114	227	227	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	1194										
115	114	228	228	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	1195										
116	115	229	229	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	1196								79		
116	115	917/4	917/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	1197								79		
116	115	459/2	459/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	1198								79		
116	115	919/4	919/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	1199										
116	115	921/4	921/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	1200										
116	115	461/2	461/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	1201										
116	115	923/4	923/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1202										
116	115	229	229	1.0		0	0	Chord	2/4	1	2	1/4		1/4	1	1203										
116	115	230	230	1.0		1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	1204										
116	115	229	229	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	1205										
116	115	230	230	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	1206										
117	116	231	231	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	1207								80		
117	116	925/4	925/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	1208								80		
117	116	463/2	463/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	1209								80		
117	116	927/4	927/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	1210										
117	116	929/4	929/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	1211										
117	116	465/2	465/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	1212										
117	116	931/4	931/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1213										
117	116	231	231	1.0		0	0	Chord	2/4	1	2	1/4		1/4	1	1214										
117	116	232	232	1.0		1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	1215										
117	116	231	231	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	1216										
117	116	232	232	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	1217										
118	117	233	233	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	1218								81		
118	117	933/4	933/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	1219								81		
118	117	467/2	467/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	1220								81		
118	117	935/4	935/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	1221										
118	117	234	234	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	1222								82		
118	117	937/4	937/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	1223								82		
118	117	469/2	469/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	1224								82		
118	117	939/4	939/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1225										
118	117	233	233	1.0		0	0	Chord	2/4	1	2	1/4		1/4	1	1226										
118	117	234	234	1.0		1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	1227										
118	117	233	233	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	1228										
118	117	234	234	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	1229										
119	118	235	235	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	1230								83		
119	118	941/4	941/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	1231								83		
119	118	471/2	471/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	1232								83		
119	118	943/4	943/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	1233										
119	118	236	236	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	1234								84		
119	118	945/4	945/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	1235								84		
119	118	473/2	473/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	1236								84		
119	118	947/4	947/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1237								84		
119	118	235	235	1.0		0	0	Chord	2/4	1	2	1/4		1/4	1	1238										
119	118	235	235	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	1239										
119	118	236	236	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	1240								85		
