mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	tempo_visible	slur	Trill:trill	diminuendo_line	HairPin:3_decresc.
5	4	15/2	15/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	28								2			
5	4	31/4	31/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	29								2			
5	4	8	8	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	30								2			
5	4	17/2	17/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	31								2			
5	4	35/4	35/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	32											
5	4	7	7	2.0		0	0	Chord	2/4	1	2	1/2		1/2	1	33											
5	4	7	7	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	34											
5	4	8	8	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	35											
6	5	9	9	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	36											
6	5	10	10	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	37								3			
6	5	21/2	21/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	38								3			
6	5	9	9	1.0		0	0	Chord	2/4	1	2	1/4		1/4	1	39											
6	5	10	10	0.5		1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	40											
6	5	21/2	21/2	0.5		3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	41											
6	5	9	9	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	42											
6	5	10	10	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	43											
7	6	11	11	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	44								3			
7	6	23/2	23/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	45								3			
7	6	12	12	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	46								3			
7	6	25/2	25/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	47											
7	6	11	11	0.5		0	0	Chord	2/4	1	2	1/8		1/8	1	48											
7	6	23/2	23/2	0.5		1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	49											
7	6	12	12	0.5		1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	50											
7	6	25/2	25/2	0.5		3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	51											
7	6	11	11	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	52											
7	6	12	12	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	53											
8	7	13	13	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	54								4			
8	7	27/2	27/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	55								4			
8	7	14	14	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	56								4			
8	7	29/2	29/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	57											
8	7	13	13	0.5		0	0	Chord	2/4	1	2	1/8		1/8	1	58											
8	7	27/2	27/2	0.5		1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	59											
8	7	14	14	0.5		1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	60											
8	7	29/2	29/2	0.5		3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	61											
8	7	13	13	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	62											
8	7	14	14	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	63											
9	8	15	15	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	64											
9	8	16	16	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	65											
9	8	33/2	33/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	66											
9	8	67/4	67/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	67											
9	8	31/2	31/2	1.5		1/8	1/8	Chord	2/4	1	2	3/8		1/4	3/2	68											
9	8	15	15	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	69											
9	8	16	16	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	70											
10	9	17	17	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	71		articStaccatoAbove									
10	9	35/2	35/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	72		articStaccatoAbove									
10	9	18	18	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	73											
10	9	17	17	1.0		0	0	Chord	2/4	1	2	1/4		1/4	1	74											
10	9	18	18	1.0		1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	75											
10	9	17	17	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	76											
10	9	18	18	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	77											
11	10	19	19	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	78											
11	10	19	19	1.0		0	0	Chord	2/4	1	2	1/4		1/4	1	79											
11	10	19	19	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	80											
12	10	20	20	0.5		0	1/4	Chord	2/4	1	1	1/8		1/8	1	81								5			
12	10	41/2	41/2	0.5		1/8	3/8	Chord	2/4	1	1	1/8		1/8	1	82								5			
12	10	20	20	1.0		0	1/4	Chord	2/4	1	2	1/4		1/4	1	83											
12	10	20	20	1.0		0	1/4	Chord	2/4	2	1	1/4		1/4	1	84											
13	11	21	21	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	85								5			
13	11	43/2	43/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	86								5			
13	11	87/4	87/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	87								5			
13	11	22	22	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	88								5			
13	11	45/2	45/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	89								5			
13	11	21	21	1.0		0	0	Chord	2/4	1	2	1/4		1/4	1	90											
13	11	22	22	1.0		1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	91											
13	11	21	21	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	92											
13	11	22	22	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	93											
14	12	23	23	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	94								5			
14	12	47/2	47/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	95											
14	12	24	24	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	96								6			
14	12	49/2	49/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	97								6			
14	12	23	23	1.0		0	0	Chord	2/4	1	2	1/4		1/4	1	98											
14	12	24	24	1.0		1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	99											
14	12	23	23	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	100											
14	12	24	24	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	101											
15	13	25	25	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	102								6			
15	13	51/2	51/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	103								6			
15	13	103/4	103/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	104								6			
15	13	26	26	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	105								6			
15	13	53/2	53/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	106											
15	13	25	25	1.0		0	0	Chord	2/4	1	2	1/4		1/4	1	107											
15	13	26	26	1.0		1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	108											
15	13	25	25	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	109											
15	13	26	26	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	110											
16	14	27	27	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	111								7			
16	14	28	28	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	112								7			
16	14	57/2	57/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	113								7			
16	14	27	27	1.0		0	0	Chord	2/4	1	2	1/4		1/4	1	114											
16	14	28	28	0.5		1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	115											
16	14	57/2	57/2	0.5		3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	116											
16	14	27	27	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	117											
16	14	28	28	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	118											
17	15	29	29	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	119								7			
17	15	59/2	59/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	120								7			
17	15	30	30	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	121								7			
17	15	61/2	61/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	122								7			
17	15	29	29	0.5		0	0	Chord	2/4	1	2	1/8		1/8	1	123											
17	15	59/2	59/2	0.5		1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	124											
17	15	30	30	0.5		1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	125											
17	15	61/2	61/2	0.5		3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	126											
17	15	29	29	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	127											
17	15	30	30	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	128											
18	16	31	31	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	129								7			
18	16	63/2	63/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	130								7			
18	16	32	32	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	131								7			
18	16	65/2	65/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	132											
18	16	31	31	0.5		0	0	Chord	2/4	1	2	1/8		1/8	1	133											
18	16	63/2	63/2	0.5		1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	134											
18	16	32	32	0.5		1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	135											
18	16	65/2	65/2	0.5		3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	136											
18	16	31	31	2.0		0	0	Chord	2/4	2	1	1/2		1/2	1	137											
19	17	33	33	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	138											
19	17	34	34	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	139											
19	17	69/2	69/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	140											
19	17	139/4	139/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	141											
19	17	67/2	67/2	1.5		1/8	1/8	Chord	2/4	1	2	3/8		1/4	3/2	142											
19	17	34	34	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	143											
19	17	33	33	2.0		0	0	Chord	2/4	2	2	1/2		1/2	1	144											
20	18	35	35	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	145		articStaccatoAbove									
20	18	71/2	71/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	146		articStaccatoAbove									
20	18	36	36	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	147											
20	18	147/4	147/4	0.125		7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	148											
20	18	295/8	295/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	149											
20	18	35	35	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	150											
20	18	71/2	71/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	151											
20	18	36	36	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	152											
20	18	35	35	1.0		0	0	Chord	2/4	2	2	1/4		1/4	1	153											
20	18	36	36	1.0		1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	154											
21	19	37	37	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	155											
21	19	37	37	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	156											
21	19	37	37	1.0		0	0	Chord	2/4	2	2	1/4		1/4	1	157											
22	19	38	38	0.0		0	1/4	SystemText	2/4	1	1	0								Var. I							
22	19	153/4	153/4	0.25		1/16	5/16	Chord	2/4	1	1	1/16		1/16	1	158											
22	19	77/2	77/2	0.5		1/8	3/8	Chord	2/4	1	1	1/8		1/8	1	159											
22	19	38	38	1.0		0	1/4	Chord	2/4	2	1	1/4		1/4	1	160											
23	20	39	39	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	161											
23	20	157/4	157/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	162											
23	20	79/2	79/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	163											
23	20	40	40	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	164											
23	20	161/4	161/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	165											
23	20	81/2	81/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	166											
23	20	39	39	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	167											
23	20	40	40	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	168											
24	21	41	41	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	169											
24	21	165/4	165/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	170											
24	21	83/2	83/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	171											
24	21	42	42	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	172											
24	21	169/4	169/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	173											
24	21	85/2	85/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	174											
24	21	41	41	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	175											
24	21	42	42	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	176											
25	22	43	43	0.125		0	0	Chord	2/4	1	1	1/32		1/32	1	177								8			
25	22	345/8	345/8	0.125		1/32	1/32	Chord	2/4	1	1	1/32		1/32	1	178								8			
25	22	173/4	173/4	0.125		1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	179								8			
25	22	347/8	347/8	0.125		3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	180								8			
25	22	87/2	87/2	0.125		1/8	1/8	Chord	2/4	1	1	1/32		1/32	1	181								8			
25	22	349/8	349/8	0.125		5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	182								8			
25	22	175/4	175/4	0.125		3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	183								8			
25	22	351/8	351/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	184								8			
25	22	44	44	0.08333333333333333		1/4	1/4	Chord	2/4	1	1	1/48		1/32	2/3	185								8			
25	22	529/12	529/12	0.08333333333333333		13/48	13/48	Chord	2/4	1	1	1/48		1/32	2/3	186								8			
25	22	265/6	265/6	0.08333333333333333		7/24	7/24	Chord	2/4	1	1	1/48		1/32	2/3	187								8			
25	22	177/4	177/4	0.08333333333333333		5/16	5/16	Chord	2/4	1	1	1/48		1/32	2/3	188								8			
25	22	133/3	133/3	0.08333333333333333		1/3	1/3	Chord	2/4	1	1	1/48		1/32	2/3	189								8			
25	22	533/12	533/12	0.08333333333333333		17/48	17/48	Chord	2/4	1	1	1/48		1/32	2/3	190								8			
25	22	89/2	89/2	0.125		3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	191								8			
25	22	357/8	357/8	0.125		13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	192								8			
25	22	179/4	179/4	0.125		7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	193								8			
25	22	359/8	359/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	194											
25	22	43	43	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	195											
25	22	89/2	89/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	196											
26	23	45	45	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	197								9			
26	23	181/4	181/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	198											
26	23	91/2	91/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	199								10			
26	23	183/4	183/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	200											
26	23	46	46	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	201								11			
26	23	185/4	185/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	202											
26	23	93/2	93/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	203								12			
26	23	187/4	187/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	204											
26	23	45	45	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	205											
26	23	91/2	91/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	206											
26	23	46	46	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	207											
26	23	93/2	93/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	208											
27	24	47	47	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	209								13			
27	24	95/2	95/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	210											
27	24	193/4	193/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	211											
27	24	97/2	97/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	212											
27	24	47	47	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	213											
27	24	48	48	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	214											
28	25	49	49	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	215											
28	25	197/4	197/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	216											
28	25	99/2	99/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	217											
28	25	50	50	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	218											
28	25	201/4	201/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	219											
28	25	101/2	101/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	220											
28	25	49	49	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	221											
28	25	50	50	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	222											
29	26	51	51	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	223											
29	26	205/4	205/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	224											
29	26	103/2	103/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	225											
29	26	52	52	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	226											
29	26	209/4	209/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	227											
29	26	105/2	105/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	228											
29	26	51	51	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	229											
29	26	52	52	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	230											
30	27	53	53	0.125		0	0	Chord	2/4	1	1	1/32		1/32	1	231								14			
30	27	425/8	425/8	0.125		1/32	1/32	Chord	2/4	1	1	1/32		1/32	1	232								14			
30	27	213/4	213/4	0.125		1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	233								14			
30	27	427/8	427/8	0.125		3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	234								14			
30	27	107/2	107/2	0.125		1/8	1/8	Chord	2/4	1	1	1/32		1/32	1	235								14			
30	27	429/8	429/8	0.125		5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	236								14			
30	27	215/4	215/4	0.125		3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	237								14			
30	27	431/8	431/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	238								14			
30	27	54	54	0.125		1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	239								14			
30	27	433/8	433/8	0.125		9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	240								14			
30	27	217/4	217/4	0.125		5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	241								14			
30	27	435/8	435/8	0.125		11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	242								14			
30	27	109/2	109/2	0.125		3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	243								14			
30	27	437/8	437/8	0.125		13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	244								14			
30	27	219/4	219/4	0.125		7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	245								14			
30	27	439/8	439/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	246											
30	27	53	53	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	247											
30	27	109/2	109/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	248		articStaccatoBelow									
31	28	55	55	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	249								15			
31	28	221/4	221/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	250											
31	28	111/2	111/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	251								16			
31	28	223/4	223/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	252											
31	28	56	56	0.0		1/4	1/4	Chord	2/4	1	1	0	appoggiatura	1/8	1	253											
31	28	56	56	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	254								17			
31	28	225/4	225/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	255								17			
31	28	113/2	113/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	256								17			
31	28	227/4	227/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	257											
31	28	55	55	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	258		articStaccatoBelow									
31	28	111/2	111/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	259		articStaccatoBelow									
31	28	56	56	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	260		articStaccatoBelow									
31	28	113/2	113/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	261		articStaccatoBelow									
32	29	57	57	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	262											
32	29	57	57	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	263											
32	29	115/2	115/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	264											
33	29	58	58	0.25		0	1/4	Chord	2/4	1	1	1/16		1/16	1	265								18			
33	29	233/4	233/4	0.25		1/16	5/16	Chord	2/4	1	1	1/16		1/16	1	266								18			
33	29	117/2	117/2	0.25		1/8	3/8	Chord	2/4	1	1	1/16		1/16	1	267								18			
33	29	235/4	235/4	0.25		3/16	7/16	Chord	2/4	1	1	1/16		1/16	1	268								18			
33	29	117/2	117/2	0.5		1/8	3/8	Chord	2/4	2	1	1/8		1/8	1	269								19			
34	30	59	59	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	270								18			
34	30	237/4	237/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	271								18			
34	30	119/2	119/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	272								18			
34	30	239/4	239/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	273								18			
34	30	60	60	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	274								18			
34	30	241/4	241/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	275								18			
34	30	121/2	121/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	276								18			
34	30	243/4	243/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	277								18			
34	30	59	59	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	278								19			
34	30	119/2	119/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	279								19			
34	30	60	60	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	280								19			
34	30	121/2	121/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	281								19			
35	31	61	61	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	282								18			
35	31	245/4	245/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	283								18			
35	31	123/2	123/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	284								18			
35	31	247/4	247/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	285								18			
35	31	62	62	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	286								18			
35	31	249/4	249/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	287								18			
