mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
13	9	20	9a	51	30	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	30						
13	9	20	9a	52	31	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	31						
14	9	21	9a	53	32	0.0	1	0	1/2	StaffText	4/4	1	1	0				L					
14	9	21	9a	53	32	1.0	1	0	1/2	Chord	4/4	1	1	1/4	1/4	1	32						
14	9	21	9a	54	33	1.0	1	1/4	3/4	Chord	4/4	1	1	1/4	1/4	1	33						
12	8	22	8b	55	28	0.0		0	0	StaffText	4/4	1	1	0				J					
12	8	22	8b	55	28	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	28						
12	8	22	8b	56	29	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	29						
9	5	23	5c	57	16	0.0		0	0	StaffText	4/4	1	1	0				G					
9	5	23	5c	57	16	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	16						
9	5	23	5c	58	17	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	17						
9	5	23	5c	59	18	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	18						
9	5	23	5c	60	19	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	19						
13	9	24	9b	61	30	0.0		0	0	StaffText	4/4	1	1	0				K					
13	9	24	9b	61	30	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	30						
13	9	24	9b	62	31	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	31						
15	10	25	10a	63	34	0.0	2	0	0	StaffText	4/4	1	1	0				M					
15	10	25	10a	63	34	1.0	2	0	0	Chord	4/4	1	1	1/4	1/4	1	34						
15	10	25	10a	64	35	1.0	2	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	35						
15	10	25	10a	65	36	1.0	2	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	36						
1	0	26	10a	66	0	0.0		0	3/4	Tempo	4/4	1	1	0					𝅗𝅥 =160	320.0	𝅗𝅥 	160.0	1.0
1	0	26	10a	66	0	0.0		0	3/4	StaffText	4/4	1	1	0				A					
1	0	26	10a	66	0	1.0		0	3/4	Chord	4/4	1	1	1/4	1/4	1	0						
2	1	27	1c	67	1	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	1						
2	1	27	1c	68	2	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	2						
2	1	27	1c	69	3	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	3						
2	1	27	1c	70	4	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	4						
3	2	28	2c	71	5	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	5						
4	2	29	2c	72	6	0.0		0	0	StaffText	4/4	1	1	0				B					
4	2	29	2c	72	6	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	6						
7	3	30	3a	73	10	0.0	3	0	0	StaffText	4/4	1	1	0				E					
7	3	30	3a	73	10	1.0	3	0	0	Chord	4/4	1	1	1/4	1/4	1	10						
7	3	30	3a	74	11	1.0	3	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	11						
