mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	4	2a	9	1	0.25		1/4	3/2	12/8	2	1	1/16	1/16	1		-4	68	Ab4	4	11
1	0	4	2a	127/14	15/14	0.21428571428571427		15/56	85/56	12/8	1	1	3/56	1/8	3/7		-3	63	Eb4	4	5
1	0	4	2a	65/7	9/7	0.21428571428571427		9/28	11/7	12/8	1	1	3/56	1/8	3/7		-7	59	Cb4	4	6
2	1	5	1b	9	1	6.0		0	0	12/8	1	1	3/2	1	3/2		-4	56	Ab3	3	21
2	1	5	1b	9	1	3.0		0	0	12/8	4	1	3/4	1/2	3/2	1	-7	59	Cb4	4	25
2	1	5	1b	9	1	4.0		0	0	12/8	3	1	1	1	1	1	-3	63	Eb4	4	24
2	1	5	1b	9	1	3.0		0	0	12/8	2	1	3/4	1/2	3/2		-7	71	Cb5	5	22
2	1	5	1b	12	4	2.0		3/4	3/4	12/8	2	1	1/2	1/2	1	1	0	72	C5	5	23
3	2	6	2b	15	7	0.5		0	0	12/8	1	1	1/8	1/8	1		1	55	G3	3	26
3	2	6	2b	15	7	0.25		0	0	12/8	4	1	1/16	1/16	1	-1	-7	59	Cb4	4	36
3	2	6	2b	15	7	0.5		0	0	12/8	3	1	1/8	1/8	1	-1	-3	63	Eb4	4	34
3	2	6	2b	15	7	0.25		0	0	12/8	2	1	1/16	1/16	1	-1	0	72	C5	5	29
3	2	6	2b	61/4	29/4	0.25		1/16	1/16	12/8	4	1	1/16	1/16	1		1	55	G3	3	37
3	2	6	2b	61/4	29/4	0.25		1/16	1/16	12/8	2	1	1/16	1/16	1		1	67	G4	4	30
3	2	6	2b	31/2	15/2	0.25		1/8	1/8	12/8	4	1	1/16	1/16	1		0	48	C3	3	38
3	2	6	2b	31/2	15/2	0.25		1/8	1/8	12/8	2	1	1/16	1/16	1		4	64	E4	4	31
3	2	6	2b	31/2	15/2	0.5		1/8	1/8	12/8	1	1	1/8	1/8	1		4	64	E4	4	27
3	2	6	2b	31/2	15/2	0.5		1/8	1/8	12/8	3	1	1/8	1/8	1		4	64	E4	4	35
3	2	6	2b	63/4	31/4	0.25		3/16	3/16	12/8	2	1	1/16	1/16	1		0	60	C4	4	32
3	2	6	2b	16	8	0.25		1/4	1/4	12/8	2	1	1/16	1/16	1		1	55	G3	3	33
3	2	6	2b	16	8	0.5		1/4	1/4	12/8	1	1	1/8	1/8	1		0	72	C5	5	28
4	2	7	2b	16	8	0.75		0	0	12/8	4	1	3/16	1/8	3/2		-4	44	Ab2	2	47
4	2	7	2b	16	8	0.5		0	0	12/8	2	1	1/8	1/8	1		-1	53	F3	3	42
4	2	7	2b	16	8	0.5		0	0	12/8	3	1	1/8	1/8	1		-1	65	F4	4	45
4	2	7	2b	16	8	0.5		0	0	12/8	1	1	1/8	1/8	1		-5	73	Db5	5	39
4	2	7	2b	33/2	17/2	0.5		1/8	1/8	12/8	2	1	1/8	1/8	1		-4	56	Ab3	3	43
4	2	7	2b	33/2	17/2	0.5		1/8	1/8	12/8	3	1	1/8	1/8	1		-5	61	Db4	4	46
4	2	7	2b	33/2	17/2	0.5		1/8	1/8	12/8	1	1	1/8	1/8	1		-7	71	Cb5	5	40
4	2	7	2b	17	9	0.25		1/4	1/4	12/8	2	1	1/16	1/16	1	1	-5	61	Db4	4	44
4	2	7	2b	17	9	0.5		1/4	1/4	12/8	1	1	1/8	1/8	1		-4	68	Ab4	4	41
5	2	8	2b	17	9	0.5	1	0	0	12/8	4	1	1/8	1/8	1		-5	37	Db2	2	64
5	2	8	2b	17	9	0.5	1	0	0	12/8	3	1	1/8	1/8	1		-4	56	Ab3	3	60
5	2	8	2b	17	9	0.25	1	0	0	12/8	2	1	1/16	1/16	1	-1	-5	61	Db4	4	54
5	2	8	2b	17	9	0.5	1	0	0	12/8	1	1	1/8	1/8	1		-8	64	Fb4	4	48
5	2	8	2b	69/4	37/4	0.5	1	1/16	1/16	12/8	2	1	1/8	1/8	1		-1	65	F4	4	55
5	2	8	2b	35/2	19/2	0.5	1	1/8	1/8	12/8	4	1	1/8	1/8	1		-4	44	Ab2	2	65
5	2	8	2b	35/2	19/2	0.5	1	1/8	1/8	12/8	3	1	1/8	1/8	1		-1	53	F3	3	61
5	2	8	2b	35/2	19/2	0.5	1	1/8	1/8	12/8	1	1	1/8	1/8	1		-1	65	F4	4	49
5	2	8	2b	71/4	39/4	0.5	1	3/16	3/16	12/8	2	1	1/8	1/8	1		-4	68	Ab4	4	56
5	2	8	2b	18	10	0.5	1	1/4	1/4	12/8	3	1	1/8	1/8	1		-5	49	Db3	3	62
5	2	8	2b	18	10	0.5	1	1/4	1/4	12/8	4	1	1/8	1/8	1		-5	49	Db3	3	66
5	2	8	2b	18	10	0.5	1	1/4	1/4	12/8	1	1	1/8	1/8	1		-3	63	Eb4	4	50
5	2	8	2b	73/4	41/4	0.5	1	5/16	5/16	12/8	2	1	1/8	1/8	1		-5	73	Db5	5	57
5	2	8	2b	37/2	21/2	0.5	1	3/8	3/8	12/8	3	1	1/8	1/8	1		-4	44	Ab2	2	63
5	2	8	2b	37/2	21/2	0.5	1	3/8	3/8	12/8	1	1	1/8	1/8	1		-5	61	Db4	4	51
5	2	8	2b	75/4	43/4	0.5	1	7/16	7/16	12/8	2	1	1/8	1/8	1		-1	77	F5	5	58
5	2	8	2b	19	11	0.5	1	1/2	1/2	12/8	1	1	1/8	1/8	1		-7	59	Cb4	4	52
5	2	8	2b	77/4	45/4	0.25	1	9/16	9/16	12/8	2	1	1/16	1/16	1		-4	80	Ab5	5	59
5	2	8	2b	39/2	23/2	0.5	1	5/8	5/8	12/8	1	1	1/8	1/8	1		-4	56	Ab3	3	53
4	2	9	2b	19	8	0.75		0	0	12/8	4	1	3/16	1/8	3/2		-4	44	Ab2	2	47
4	2	9	2b	19	8	0.5		0	0	12/8	2	1	1/8	1/8	1		-1	53	F3	3	42
4	2	9	2b	19	8	0.5		0	0	12/8	3	1	1/8	1/8	1		-1	65	F4	4	45
4	2	9	2b	19	8	0.5		0	0	12/8	1	1	1/8	1/8	1		-5	73	Db5	5	39
4	2	9	2b	39/2	17/2	0.5		1/8	1/8	12/8	2	1	1/8	1/8	1		-4	56	Ab3	3	43
4	2	9	2b	39/2	17/2	0.5		1/8	1/8	12/8	3	1	1/8	1/8	1		-5	61	Db4	4	46
4	2	9	2b	39/2	17/2	0.5		1/8	1/8	12/8	1	1	1/8	1/8	1		-7	71	Cb5	5	40
4	2	9	2b	20	9	0.25		1/4	1/4	12/8	2	1	1/16	1/16	1	1	-5	61	Db4	4	44
4	2	9	2b	20	9	0.5		1/4	1/4	12/8	1	1	1/8	1/8	1		-4	68	Ab4	4	41
6	2	10	2b	20	11	0.75	2	0	0	12/8	4	1	3/16	1/8	3/2		-4	44	Ab2	2	75
6	2	10	2b	20	11	0.5	2	0	0	12/8	3	1	1/8	1/8	1		-4	56	Ab3	3	73
6	2	10	2b	20	11	0.5	2	0	0	12/8	2	1	1/8	1/8	1		-7	59	Cb4	4	70
6	2	10	2b	20	11	0.5	2	0	0	12/8	1	1	1/8	1/8	1		-3	63	Eb4	4	67
6	2	10	2b	41/2	23/2	0.5	2	1/8	1/8	12/8	3	1	1/8	1/8	1		-3	51	Eb3	3	74
6	2	10	2b	41/2	23/2	0.5	2	1/8	1/8	12/8	2	1	1/8	1/8	1		-2	58	Bb3	3	71
6	2	10	2b	41/2	23/2	0.5	2	1/8	1/8	12/8	1	1	1/8	1/8	1		-5	61	Db4	4	68
6	2	10	2b	21	12	0.25	2	1/4	1/4	12/8	2	1	1/16	1/16	1		-4	56	Ab3	3	72
6	2	10	2b	21	12	0.5	2	1/4	1/4	12/8	1	1	1/8	1/8	1		-7	59	Cb4	4	69
8	4	11	4a	21	14	1.0		0	0	12/8	4	1	1/4	1/4	1		-4	32	Ab1	1	103
8	4	11	4a	21	14	1.0		0	0	12/8	3	1	1/4	1/4	1		-7	47	Cb3	3	99
8	4	11	4a	21	14	1.0		0	0	12/8	2	1	1/4	1/4	1		-3	51	Eb3	3	94
8	4	11	4a	21	14	1.0		0	0	12/8	1	1	1/4	1/4	1		-4	56	Ab3	3	88
8	4	11	4a	22	15	1.0		1/4	1/4	12/8	4	1	1/4	1/4	1		4	40	E2	2	104
8	4	11	4a	22	15	1.0		1/4	1/4	12/8	3	1	1/4	1/4	1		-3	51	Eb3	3	100
8	4	11	4a	22	15	1.0		1/4	1/4	12/8	2	1	1/4	1/4	1		-4	56	Ab3	3	95
8	4	11	4a	22	15	1.0		1/4	1/4	12/8	1	1	1/4	1/4	1		-7	59	Cb4	4	89
8	4	11	4a	23	16	1.0		1/2	1/2	12/8	4	1	1/4	1/4	1		1	43	G2	2	105
8	4	11	4a	23	16	1.0		1/2	1/2	12/8	3	1	1/4	1/4	1		1	55	G3	3	101
8	4	11	4a	23	16	1.0		1/2	1/2	12/8	2	1	1/4	1/4	1		-7	59	Cb4	4	96
8	4	11	4a	23	16	1.0		1/2	1/2	12/8	1	1	1/4	1/4	1		-3	63	Eb4	4	90
8	4	11	4a	24	17	1.0		3/4	3/4	12/8	3	1	1/4	1/4	1		4	52	E3	3	102
8	4	11	4a	24	17	1.0		3/4	3/4	12/8	2	1	1/4	1/4	1		0	60	C4	4	97
8	4	11	4a	24	17	1.0		3/4	3/4	12/8	1	1	1/4	1/4	1		4	64	E4	4	91
8	4	11	4a	25	18	1.0		1	1	12/8	2	1	1/4	1/4	1		4	64	E4	4	98
8	4	11	4a	25	18	1.0		1	1	12/8	1	1	1/4	1/4	1		1	67	G4	4	92
8	4	11	4a	26	19	1.0		5/4	5/4	12/8	1	1	1/4	1/4	1		0	72	C5	5	93
9	5	12	5a	27	20	1.5		0	0	12/8	4	1	3/8	1/4	3/2		-5	37	Db2	2	131
9	5	12	5a	27	20	0.5		0	0	12/8	3	1	1/8	1/8	1		-5	49	Db3	3	123
9	5	12	5a	27	20	1.5		0	0	12/8	4	1	3/8	1/4	3/2		-5	49	Db3	3	131
9	5	12	5a	27	20	1.0		0	0	12/8	2	1	1/4	1/4	1		-1	65	F4	4	118
9	5	12	5a	27	20	0.5		0	0	12/8	1	1	1/8	1/8	1		-5	73	Db5	5	106
9	5	12	5a	55/2	41/2	0.5		1/8	1/8	12/8	3	1	1/8	1/8	1		-4	44	Ab2	2	124
9	5	12	5a	55/2	41/2	0.5		1/8	1/8	12/8	1	1	1/8	1/8	1		0	72	C5	5	107
9	5	12	5a	28	21	0.5		1/4	1/4	12/8	3	1	1/8	1/8	1		-1	53	F3	3	125
9	5	12	5a	28	21	1.0		1/4	1/4	12/8	2	1	1/4	1/4	1		-4	68	Ab4	4	119
9	5	12	5a	28	21	0.5		1/4	1/4	12/8	1	1	1/8	1/8	1		-2	70	Bb4	4	108
9	5	12	5a	57/2	43/2	1.5		3/8	3/8	12/8	4	1	3/8	1/4	3/2		-4	32	Ab1	1	132
9	5	12	5a	57/2	43/2	1.5		3/8	3/8	12/8	4	1	3/8	1/4	3/2		-4	44	Ab2	2	132
9	5	12	5a	57/2	43/2	0.5		3/8	3/8	12/8	3	1	1/8	1/8	1		-5	49	Db3	3	126
9	5	12	5a	57/2	43/2	0.5		3/8	3/8	12/8	1	1	1/8	1/8	1		-4	68	Ab4	4	109
9	5	12	5a	29	22	0.5		1/2	1/2	12/8	3	1	1/8	1/8	1		-4	56	Ab3	3	127
9	5	12	5a	29	22	0.5		1/2	1/2	12/8	1	1	1/8	1/8	1		-6	66	Gb4	4	110
9	5	12	5a	29	22	1.0		1/2	1/2	12/8	2	1	1/4	1/4	1		-5	73	Db5	5	120
9	5	12	5a	59/2	45/2	0.5		5/8	5/8	12/8	3	1	1/8	1/8	1		-3	51	Eb3	3	128
9	5	12	5a	59/2	45/2	0.5		5/8	5/8	12/8	1	1	1/8	1/8	1		-1	65	F4	4	111
9	5	12	5a	30	23	0.5		3/4	3/4	12/8	3	1	1/8	1/8	1		-7	59	Cb4	4	129
9	5	12	5a	30	23	0.5		3/4	3/4	12/8	1	1	1/8	1/8	1		-3	63	Eb4	4	112
9	5	12	5a	30	23	1.0		3/4	3/4	12/8	2	1	1/4	1/4	1		-3	75	Eb5	5	121
9	5	12	5a	61/2	47/2	0.5		7/8	7/8	12/8	3	1	1/8	1/8	1		-4	56	Ab3	3	130
9	5	12	5a	61/2	47/2	0.5		7/8	7/8	12/8	1	1	1/8	1/8	1		-5	61	Db4	4	113
9	5	12	5a	31	24	0.5		1	1	12/8	1	1	1/8	1/8	1		-7	59	Cb4	4	114
9	5	12	5a	31	24	1.0		1	1	12/8	2	1	1/4	1/4	1		-7	71	Cb5	5	122
9	5	12	5a	63/2	49/2	0.5		9/8	9/8	12/8	1	1	1/8	1/8	1		-2	58	Bb3	3	115
9	5	12	5a	32	25	0.5		5/4	5/4	12/8	1	1	1/8	1/8	1		-4	56	Ab3	3	116
9	5	12	5a	65/2	51/2	0.5		11/8	11/8	12/8	1	1	1/8	1/8	1		-7	59	Cb4	4	117
9	5	13	5a	33	20	1.5		0	0	12/8	4	1	3/8	1/4	3/2		-5	37	Db2	2	131
9	5	13	5a	33	20	0.5		0	0	12/8	3	1	1/8	1/8	1		-5	49	Db3	3	123
9	5	13	5a	33	20	1.5		0	0	12/8	4	1	3/8	1/4	3/2		-5	49	Db3	3	131
9	5	13	5a	33	20	1.0		0	0	12/8	2	1	1/4	1/4	1		-1	65	F4	4	118
9	5	13	5a	33	20	0.5		0	0	12/8	1	1	1/8	1/8	1		-5	73	Db5	5	106
9	5	13	5a	67/2	41/2	0.5		1/8	1/8	12/8	3	1	1/8	1/8	1		-4	44	Ab2	2	124
9	5	13	5a	67/2	41/2	0.5		1/8	1/8	12/8	1	1	1/8	1/8	1		0	72	C5	5	107
9	5	13	5a	34	21	0.5		1/4	1/4	12/8	3	1	1/8	1/8	1		-1	53	F3	3	125
9	5	13	5a	34	21	1.0		1/4	1/4	12/8	2	1	1/4	1/4	1		-4	68	Ab4	4	119
9	5	13	5a	34	21	0.5		1/4	1/4	12/8	1	1	1/8	1/8	1		-2	70	Bb4	4	108
9	5	13	5a	69/2	43/2	1.5		3/8	3/8	12/8	4	1	3/8	1/4	3/2		-4	32	Ab1	1	132
9	5	13	5a	69/2	43/2	1.5		3/8	3/8	12/8	4	1	3/8	1/4	3/2		-4	44	Ab2	2	132
9	5	13	5a	69/2	43/2	0.5		3/8	3/8	12/8	3	1	1/8	1/8	1		-5	49	Db3	3	126
9	5	13	5a	69/2	43/2	0.5		3/8	3/8	12/8	1	1	1/8	1/8	1		-4	68	Ab4	4	109
9	5	13	5a	35	22	0.5		1/2	1/2	12/8	3	1	1/8	1/8	1		-4	56	Ab3	3	127
9	5	13	5a	35	22	0.5		1/2	1/2	12/8	1	1	1/8	1/8	1		-6	66	Gb4	4	110
9	5	13	5a	35	22	1.0		1/2	1/2	12/8	2	1	1/4	1/4	1		-5	73	Db5	5	120
9	5	13	5a	71/2	45/2	0.5		5/8	5/8	12/8	3	1	1/8	1/8	1		-3	51	Eb3	3	128
9	5	13	5a	71/2	45/2	0.5		5/8	5/8	12/8	1	1	1/8	1/8	1		-1	65	F4	4	111
9	5	13	5a	36	23	0.5		3/4	3/4	12/8	3	1	1/8	1/8	1		-7	59	Cb4	4	129
9	5	13	5a	36	23	0.5		3/4	3/4	12/8	1	1	1/8	1/8	1		-3	63	Eb4	4	112
9	5	13	5a	36	23	1.0		3/4	3/4	12/8	2	1	1/4	1/4	1		-3	75	Eb5	5	121
9	5	13	5a	73/2	47/2	0.5		7/8	7/8	12/8	3	1	1/8	1/8	1		-4	56	Ab3	3	130
9	5	13	5a	73/2	47/2	0.5		7/8	7/8	12/8	1	1	1/8	1/8	1		-5	61	Db4	4	113
9	5	13	5a	37	24	0.5		1	1	12/8	1	1	1/8	1/8	1		-7	59	Cb4	4	114
9	5	13	5a	37	24	1.0		1	1	12/8	2	1	1/4	1/4	1		-7	71	Cb5	5	122
9	5	13	5a	75/2	49/2	0.5		9/8	9/8	12/8	1	1	1/8	1/8	1		-2	58	Bb3	3	115
9	5	13	5a	38	25	0.5		5/4	5/4	12/8	1	1	1/8	1/8	1		-4	56	Ab3	3	116
9	5	13	5a	77/2	51/2	0.5		11/8	11/8	12/8	1	1	1/8	1/8	1		-7	59	Cb4	4	117
10	6	14	6a	39	26	3.0		0	0	12/8	4	1	3/4	1/2	3/2		0	36	C2	2	158
10	6	14	6a	39	26	3.0		0	0	12/8	4	1	3/4	1/2	3/2		0	48	C3	3	158
10	6	14	6a	39	26	0.5		0	0	12/8	1	1	1/8	1/8	1		-3	63	Eb4	4	133
10	6	14	6a	39	26	0.5		0	0	12/8	3	1	1/8	1/8	1		-3	63	Eb4	4	150
10	6	14	6a	39	26	1.0		0	0	12/8	2	1	1/4	1/4	1		-4	68	Ab4	4	145
10	6	14	6a	79/2	53/2	0.5		1/8	1/8	12/8	3	1	1/8	1/8	1		-7	59	Cb4	4	151
10	6	14	6a	79/2	53/2	0.5		1/8	1/8	12/8	1	1	1/8	1/8	1		-4	68	Ab4	4	134
10	6	14	6a	40	27	0.5		1/4	1/4	12/8	3	1	1/8	1/8	1		1	67	G4	4	152
10	6	14	6a	40	27	1.0		1/4	1/4	12/8	2	1	1/4	1/4	1		1	67	G4	4	146
10	6	14	6a	40	27	0.5		1/4	1/4	12/8	1	1	1/8	1/8	1		-7	71	Cb5	5	135
10	6	14	6a	81/2	55/2	0.5		3/8	3/8	12/8	3	1	1/8	1/8	1		0	60	C4	4	153
10	6	14	6a	81/2	55/2	0.5		3/8	3/8	12/8	1	1	1/8	1/8	1		-3	75	Eb5	5	136
10	6	14	6a	41	28	0.5		1/2	1/2	12/8	3	1	1/8	1/8	1		4	64	E4	4	154
10	6	14	6a	41	28	1.0		1/2	1/2	12/8	2	1	1/4	1/4	1		3	69	A4	4	147
10	6	14	6a	41	28	0.5		1/2	1/2	12/8	1	1	1/8	1/8	1		4	76	E5	5	137
10	6	14	6a	83/2	57/2	0.5		5/8	5/8	12/8	3	1	1/8	1/8	1		1	55	G3	3	155
10	6	14	6a	83/2	57/2	0.5		5/8	5/8	12/8	1	1	1/8	1/8	1		2	74	D5	5	138
10	6	14	6a	42	29	0.5		3/4	3/4	12/8	3	1	1/8	1/8	1		0	60	C4	4	156
10	6	14	6a	42	29	1.0		3/4	3/4	12/8	2	1	1/4	1/4	1		5	71	B4	4	148
10	6	14	6a	42	29	0.5		3/4	3/4	12/8	1	1	1/8	1/8	1		0	72	C5	5	139
10	6	14	6a	85/2	59/2	0.5		7/8	7/8	12/8	3	1	1/8	1/8	1		4	52	E3	3	157
10	6	14	6a	85/2	59/2	0.5		7/8	7/8	12/8	1	1	1/8	1/8	1		5	71	B4	4	140
10	6	14	6a	43	30	0.5		1	1	12/8	1	1	1/8	1/8	1		3	69	A4	4	141
10	6	14	6a	43	30	1.0		1	1	12/8	2	1	1/4	1/4	1		0	72	C5	5	149
10	6	14	6a	87/2	61/2	0.5		9/8	9/8	12/8	1	1	1/8	1/8	1		1	67	G4	4	142
10	6	14	6a	44	31	0.5		5/4	5/4	12/8	1	1	1/8	1/8	1		-1	65	F4	4	143
10	6	14	6a	89/2	63/2	0.5		11/8	11/8	12/8	1	1	1/8	1/8	1		4	64	E4	4	144
10	6	15	6a	45	26	3.0		0	0	12/8	4	1	3/4	1/2	3/2		0	36	C2	2	158
10	6	15	6a	45	26	3.0		0	0	12/8	4	1	3/4	1/2	3/2		0	48	C3	3	158
10	6	15	6a	45	26	0.5		0	0	12/8	1	1	1/8	1/8	1		-3	63	Eb4	4	133
10	6	15	6a	45	26	0.5		0	0	12/8	3	1	1/8	1/8	1		-3	63	Eb4	4	150
10	6	15	6a	45	26	1.0		0	0	12/8	2	1	1/4	1/4	1		-4	68	Ab4	4	145
10	6	15	6a	91/2	53/2	0.5		1/8	1/8	12/8	3	1	1/8	1/8	1		-7	59	Cb4	4	151
10	6	15	6a	91/2	53/2	0.5		1/8	1/8	12/8	1	1	1/8	1/8	1		-4	68	Ab4	4	134
10	6	15	6a	46	27	0.5		1/4	1/4	12/8	3	1	1/8	1/8	1		1	67	G4	4	152
10	6	15	6a	46	27	1.0		1/4	1/4	12/8	2	1	1/4	1/4	1		1	67	G4	4	146
10	6	15	6a	46	27	0.5		1/4	1/4	12/8	1	1	1/8	1/8	1		-7	71	Cb5	5	135
10	6	15	6a	93/2	55/2	0.5		3/8	3/8	12/8	3	1	1/8	1/8	1		0	60	C4	4	153
10	6	15	6a	93/2	55/2	0.5		3/8	3/8	12/8	1	1	1/8	1/8	1		-3	75	Eb5	5	136
