mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible
4	2	8	8	0.5		0	0	Chord	12/8	1	1	1/8	1/8	1	39					
4	2	17/2	17/2	0.5		1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	40					
4	2	9	9	0.5		1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	41					
4	2	8	8	0.5		0	0	Chord	12/8	2	1	1/8	1/8	1	42					
4	2	17/2	17/2	0.5		1/8	1/8	Chord	12/8	2	1	1/8	1/8	1	43					
4	2	9	9	0.25		1/4	1/4	Chord	12/8	2	1	1/16	1/16	1	44					
4	2	8	8	0.5		0	0	Chord	12/8	3	1	1/8	1/8	1	45					
4	2	17/2	17/2	0.5		1/8	1/8	Chord	12/8	3	1	1/8	1/8	1	46					
4	2	8	8	0.75		0	0	Chord	12/8	4	1	3/16	1/8	3/2	47					
5	2		9	0.5	1	0	0	Chord	12/8	1	1	1/8	1/8	1	48					
5	2		19/2	0.5	1	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	49					
5	2		10	0.5	1	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	50					
5	2		21/2	0.5	1	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	51					
5	2		11	0.5	1	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	52					
5	2		23/2	0.5	1	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	53					
5	2		9	0.25	1	0	0	Chord	12/8	2	1	1/16	1/16	1	54					
5	2		37/4	0.5	1	1/16	1/16	Chord	12/8	2	1	1/8	1/8	1	55					
5	2		39/4	0.5	1	3/16	3/16	Chord	12/8	2	1	1/8	1/8	1	56					
5	2		41/4	0.5	1	5/16	5/16	Chord	12/8	2	1	1/8	1/8	1	57					
5	2		43/4	0.5	1	7/16	7/16	Chord	12/8	2	1	1/8	1/8	1	58					
5	2		45/4	0.25	1	9/16	9/16	Chord	12/8	2	1	1/16	1/16	1	59					
5	2		9	0.5	1	0	0	Chord	12/8	3	1	1/8	1/8	1	60					
5	2		19/2	0.5	1	1/8	1/8	Chord	12/8	3	1	1/8	1/8	1	61					
5	2		10	0.5	1	1/4	1/4	Chord	12/8	3	1	1/8	1/8	1	62					
5	2		21/2	0.5	1	3/8	3/8	Chord	12/8	3	1	1/8	1/8	1	63					
5	2		9	0.5	1	0	0	Chord	12/8	4	1	1/8	1/8	1	64					
5	2		19/2	0.5	1	1/8	1/8	Chord	12/8	4	1	1/8	1/8	1	65					
5	2		10	0.5	1	1/4	1/4	Chord	12/8	4	1	1/8	1/8	1	66					
6	2	9	11	0.5	2	0	0	Chord	12/8	1	1	1/8	1/8	1	67					
6	2	19/2	23/2	0.5	2	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	68					
6	2	10	12	0.5	2	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	69					
6	2	9	11	0.5	2	0	0	Chord	12/8	2	1	1/8	1/8	1	70					
6	2	19/2	23/2	0.5	2	1/8	1/8	Chord	12/8	2	1	1/8	1/8	1	71					
6	2	10	12	0.25	2	1/4	1/4	Chord	12/8	2	1	1/16	1/16	1	72					
6	2	9	11	0.5	2	0	0	Chord	12/8	3	1	1/8	1/8	1	73					
6	2	19/2	23/2	0.5	2	1/8	1/8	Chord	12/8	3	1	1/8	1/8	1	74					
6	2	9	11	0.75	2	0	0	Chord	12/8	4	1	3/16	1/8	3/2	75					
7	3		12	0.5	3	0	0	Chord	12/8	1	1	1/8	1/8	1	76					
7	3		25/2	0.5	3	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	77					
7	3		13	0.5	3	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	78					
7	3		27/2	1.5	3	3/8	3/8	Chord	12/8	1	1	3/8	1/4	3/2	79					
7	3		12	0.5	3	0	0	Chord	12/8	2	1	1/8	1/8	1	80					
7	3		25/2	0.5	3	1/8	1/8	Chord	12/8	2	1	1/8	1/8	1	81					
7	3		13	1.5	3	1/4	1/4	Chord	12/8	2	1	3/8	1/4	3/2	82					
7	3		12	0.5	3	0	0	Chord	12/8	3	1	1/8	1/8	1	83					
7	3		25/2	0.5	3	1/8	1/8	Chord	12/8	3	1	1/8	1/8	1	84					
7	3		13	1.0	3	1/4	1/4	Chord	12/8	3	1	1/4	1/4	1	85					
7	3		12	1.0	3	0	0	Chord	12/8	4	1	1/4	1/4	1	86					
7	3		13	0.5	3	1/4	1/4	Chord	12/8	4	1	1/8	1/8	1	87					
8	4	10	14	1.0		0	0	Chord	12/8	1	1	1/4	1/4	1	88					
8	4	11	15	1.0		1/4	1/4	Chord	12/8	1	1	1/4	1/4	1	89					
8	4	12	16	1.0		1/2	1/2	Chord	12/8	1	1	1/4	1/4	1	90					
8	4	13	17	1.0		3/4	3/4	Chord	12/8	1	1	1/4	1/4	1	91					
8	4	14	18	1.0		1	1	Chord	12/8	1	1	1/4	1/4	1	92					
8	4	15	19	1.0		5/4	5/4	Chord	12/8	1	1	1/4	1/4	1	93					
8	4	10	14	1.0		0	0	Chord	12/8	2	1	1/4	1/4	1	94					
8	4	11	15	1.0		1/4	1/4	Chord	12/8	2	1	1/4	1/4	1	95					
8	4	12	16	1.0		1/2	1/2	Chord	12/8	2	1	1/4	1/4	1	96					
8	4	13	17	1.0		3/4	3/4	Chord	12/8	2	1	1/4	1/4	1	97					
8	4	14	18	1.0		1	1	Chord	12/8	2	1	1/4	1/4	1	98					
8	4	10	14	1.0		0	0	Chord	12/8	3	1	1/4	1/4	1	99					
8	4	11	15	1.0		1/4	1/4	Chord	12/8	3	1	1/4	1/4	1	100					
8	4	12	16	1.0		1/2	1/2	Chord	12/8	3	1	1/4	1/4	1	101					
8	4	13	17	1.0		3/4	3/4	Chord	12/8	3	1	1/4	1/4	1	102					
8	4	10	14	1.0		0	0	Chord	12/8	4	1	1/4	1/4	1	103					
8	4	11	15	1.0		1/4	1/4	Chord	12/8	4	1	1/4	1/4	1	104					
8	4	12	16	1.0		1/2	1/2	Chord	12/8	4	1	1/4	1/4	1	105					
9	5	16	20	0.5		0	0	Chord	12/8	1	1	1/8	1/8	1	106					
9	5	33/2	41/2	0.5		1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	107					
9	5	17	21	0.5		1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	108					
9	5	35/2	43/2	0.5		3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	109					
9	5	18	22	0.5		1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	110					
9	5	37/2	45/2	0.5		5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	111					
9	5	19	23	0.5		3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	112					
9	5	39/2	47/2	0.5		7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	113					
9	5	20	24	0.5		1	1	Chord	12/8	1	1	1/8	1/8	1	114					
9	5	41/2	49/2	0.5		9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	115					
9	5	21	25	0.5		5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	116					
9	5	43/2	51/2	0.5		11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	117					
9	5	16	20	1.0		0	0	Chord	12/8	2	1	1/4	1/4	1	118					
9	5	17	21	1.0		1/4	1/4	Chord	12/8	2	1	1/4	1/4	1	119					
9	5	18	22	1.0		1/2	1/2	Chord	12/8	2	1	1/4	1/4	1	120					
9	5	19	23	1.0		3/4	3/4	Chord	12/8	2	1	1/4	1/4	1	121					
9	5	20	24	1.0		1	1	Chord	12/8	2	1	1/4	1/4	1	122					
9	5	16	20	0.5		0	0	Chord	12/8	3	1	1/8	1/8	1	123					
9	5	33/2	41/2	0.5		1/8	1/8	Chord	12/8	3	1	1/8	1/8	1	124					
9	5	17	21	0.5		1/4	1/4	Chord	12/8	3	1	1/8	1/8	1	125					
9	5	35/2	43/2	0.5		3/8	3/8	Chord	12/8	3	1	1/8	1/8	1	126					
9	5	18	22	0.5		1/2	1/2	Chord	12/8	3	1	1/8	1/8	1	127					
9	5	37/2	45/2	0.5		5/8	5/8	Chord	12/8	3	1	1/8	1/8	1	128					
9	5	19	23	0.5		3/4	3/4	Chord	12/8	3	1	1/8	1/8	1	129					
9	5	39/2	47/2	0.5		7/8	7/8	Chord	12/8	3	1	1/8	1/8	1	130					
9	5	16	20	1.5		0	0	Chord	12/8	4	1	3/8	1/4	3/2	131					
9	5	35/2	43/2	1.5		3/8	3/8	Chord	12/8	4	1	3/8	1/4	3/2	132					
10	6	22	26	0.5		0	0	Chord	12/8	1	1	1/8	1/8	1	133					
10	6	45/2	53/2	0.5		1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	134					
10	6	23	27	0.5		1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	135					
10	6	47/2	55/2	0.5		3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	136					
10	6	24	28	0.5		1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	137					
10	6	49/2	57/2	0.5		5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	138					
10	6	25	29	0.5		3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	139					
10	6	51/2	59/2	0.5		7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	140					
10	6	26	30	0.5		1	1	Chord	12/8	1	1	1/8	1/8	1	141					
10	6	53/2	61/2	0.5		9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	142					
10	6	27	31	0.5		5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	143					
10	6	55/2	63/2	0.5		11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	144					
10	6	22	26	1.0		0	0	Chord	12/8	2	1	1/4	1/4	1	145					
10	6	23	27	1.0		1/4	1/4	Chord	12/8	2	1	1/4	1/4	1	146					
10	6	24	28	1.0		1/2	1/2	Chord	12/8	2	1	1/4	1/4	1	147					
10	6	25	29	1.0		3/4	3/4	Chord	12/8	2	1	1/4	1/4	1	148					
10	6	26	30	1.0		1	1	Chord	12/8	2	1	1/4	1/4	1	149					
10	6	22	26	0.5		0	0	Chord	12/8	3	1	1/8	1/8	1	150					
10	6	45/2	53/2	0.5		1/8	1/8	Chord	12/8	3	1	1/8	1/8	1	151					
10	6	23	27	0.5		1/4	1/4	Chord	12/8	3	1	1/8	1/8	1	152					
10	6	47/2	55/2	0.5		3/8	3/8	Chord	12/8	3	1	1/8	1/8	1	153					
10	6	24	28	0.5		1/2	1/2	Chord	12/8	3	1	1/8	1/8	1	154					
10	6	49/2	57/2	0.5		5/8	5/8	Chord	12/8	3	1	1/8	1/8	1	155					
10	6	25	29	0.5		3/4	3/4	Chord	12/8	3	1	1/8	1/8	1	156					
10	6	51/2	59/2	0.5		7/8	7/8	Chord	12/8	3	1	1/8	1/8	1	157					
10	6	22	26	3.0		0	0	Chord	12/8	4	1	3/4	1/2	3/2	158					
11	7	28	32	0.5		0	0	Chord	12/8	1	1	1/8	1/8	1	159					
11	7	57/2	65/2	0.5		1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	160					
11	7	29	33	0.5		1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	161					
11	7	59/2	67/2	0.5		3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	162					
11	7	30	34	0.5		1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	163					
11	7	61/2	69/2	0.5		5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	164					
11	7	31	35	0.5		3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	165					
11	7	63/2	71/2	0.5		7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	166					
11	7	32	36	0.5		1	1	Chord	12/8	1	1	1/8	1/8	1	167					
11	7	65/2	73/2	0.5		9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	168					
11	7	33	37	0.5		5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	169					
11	7	67/2	75/2	0.5		11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	170					
11	7	28	32	1.0		0	0	Chord	12/8	2	1	1/4	1/4	1	171					
11	7	29	33	1.0		1/4	1/4	Chord	12/8	2	1	1/4	1/4	1	172					
11	7	30	34	1.0		1/2	1/2	Chord	12/8	2	1	1/4	1/4	1	173					
11	7	31	35	1.0		3/4	3/4	Chord	12/8	2	1	1/4	1/4	1	174					
11	7	32	36	1.0		1	1	Chord	12/8	2	1	1/4	1/4	1	175					
11	7	28	32	0.5		0	0	Chord	12/8	3	1	1/8	1/8	1	176					
11	7	57/2	65/2	0.5		1/8	1/8	Chord	12/8	3	1	1/8	1/8	1	177					
11	7	29	33	0.5		1/4	1/4	Chord	12/8	3	1	1/8	1/8	1	178					
11	7	59/2	67/2	0.5		3/8	3/8	Chord	12/8	3	1	1/8	1/8	1	179					
11	7	30	34	0.5		1/2	1/2	Chord	12/8	3	1	1/8	1/8	1	180					
11	7	61/2	69/2	0.5		5/8	5/8	Chord	12/8	3	1	1/8	1/8	1	181					
11	7	31	35	0.5		3/4	3/4	Chord	12/8	3	1	1/8	1/8	1	182					
11	7	63/2	71/2	0.5		7/8	7/8	Chord	12/8	3	1	1/8	1/8	1	183					
11	7	28	32	3.0		0	0	Chord	12/8	4	1	3/4	1/2	3/2	184					
12	8	34	38	0.5		0	0	Chord	12/8	1	1	1/8	1/8	1	185					
12	8	35	39	0.5		1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	186					
12	8	36	40	0.5		1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	187					
12	8	34	38	0.5		0	0	Chord	12/8	2	1	1/8	1/8	1	188					
12	8	35	39	0.5		1/4	1/4	Chord	12/8	2	1	1/8	1/8	1	189					
12	8	36	40	0.5		1/2	1/2	Chord	12/8	2	1	1/8	1/8	1	190					
12	8	103/3	115/3	0.3333333333333333		1/12	1/12	Chord	12/8	3	1	1/12	1/8	2/3	191					
12	8	35	39	0.3333333333333333		1/4	1/4	Chord	12/8	3	1	1/12	1/8	2/3	192					
12	8	107/3	119/3	0.3333333333333333		5/12	5/12	Chord	12/8	3	1	1/12	1/8	2/3	193					
12	8	34	38	1.5		0	0	Chord	12/8	4	1	3/8	1/4	3/2	194					
13	9	73/2	81/2	0.5		1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	195					
13	9	75/2	83/2	0.5		3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	196					
13	9	77/2	85/2	0.5		5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	197					
13	9	73/2	81/2	0.5		1/8	1/8	Chord	12/8	2	1	1/8	1/8	1	198					
13	9	75/2	83/2	0.5		3/8	3/8	Chord	12/8	2	1	1/8	1/8	1	199					
13	9	109/3	121/3	0.3333333333333333		1/12	1/12	Chord	12/8	3	1	1/12	1/8	2/3	200					
13	9	37	41	0.3333333333333333		1/4	1/4	Chord	12/8	3	1	1/12	1/8	2/3	201					
13	9	113/3	125/3	0.3333333333333333		5/12	5/12	Chord	12/8	3	1	1/12	1/8	2/3	202					
13	9	36	40	1.5		0	0	Chord	12/8	4	1	3/8	1/4	3/2	203					
14	9		85/2	0.5	1	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	204					
14	9		87/2	0.5	1	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	205					
14	9		89/2	0.5	1	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	206					
14	9		42	0.5	1	0	0	Chord	12/8	2	1	1/8	1/8	1	207					
14	9		43	0.5	1	1/4	1/4	Chord	12/8	2	1	1/8	1/8	1	208					
14	9		44	0.5	1	1/2	1/2	Chord	12/8	2	1	1/8	1/8	1	209					
14	9		127/3	0.3333333333333333	1	1/12	1/12	Chord	12/8	3	1	1/12	1/8	2/3	210					
14	9		43	0.3333333333333333	1	1/4	1/4	Chord	12/8	3	1	1/12	1/8	2/3	211					
14	9		131/3	0.3333333333333333	1	5/12	5/12	Chord	12/8	3	1	1/12	1/8	2/3	212					
14	9		42	1.5	1	0	0	Chord	12/8	4	1	3/8	1/4	3/2	213					
15	10	38	44	0.5	2	0	0	Chord	12/8	1	1	1/8	1/8	1	214					
15	10	77/2	89/2	0.5714285714285714	2	1/8	1/8	Chord	12/8	1	1	1/7	1/4	4/7	215					
15	10	547/14	631/14	0.5714285714285714	2	15/56	15/56	Chord	12/8	1	1	1/7	1/4	4/7	216					
15	10	555/14	639/14	0.5714285714285714	2	23/56	23/56	Chord	12/8	1	1	1/7	1/4	4/7	217					
15	10	563/14	647/14	0.5714285714285714	2	31/56	31/56	Chord	12/8	1	1	1/7	1/4	4/7	218					
15	10	571/14	655/14	0.5714285714285714	2	39/56	39/56	Chord	12/8	1	1	1/7	1/4	4/7	219					
15	10	579/14	663/14	0.5714285714285714	2	47/56	47/56	Chord	12/8	1	1	1/7	1/4	4/7	220					
15	10	587/14	671/14	0.5714285714285714	2	55/56	55/56	Chord	12/8	1	1	1/7	1/4	4/7	221					
15	10	38	44	0.25	2	0	0	Chord	12/8	2	1	1/16	1/16	1	222					
15	10	153/4	177/4	0.25	2	1/16	1/16	Chord	12/8	2	1	1/16	1/16	1	223					
15	10	77/2	89/2	0.25	2	1/8	1/8	Chord	12/8	2	1	1/16	1/16	1	224					
15	10	155/4	179/4	0.25	2	3/16	3/16	Chord	12/8	2	1	1/16	1/16	1	225					
15	10	39	45	0.25	2	1/4	1/4	Chord	12/8	2	1	1/16	1/16	1	226					
15	10	157/4	181/4	0.25	2	5/16	5/16	Chord	12/8	2	1	1/16	1/16	1	227					
15	10	79/2	91/2	0.25	2	3/8	3/8	Chord	12/8	2	1	1/16	1/16	1	228					
15	10	159/4	183/4	0.25	2	7/16	7/16	Chord	12/8	2	1	1/16	1/16	1	229					
15	10	40	46	0.25	2	1/2	1/2	Chord	12/8	2	1	1/16	1/16	1	230					
15	10	161/4	185/4	0.25	2	9/16	9/16	Chord	12/8	2	1	1/16	1/16	1	231					
15	10	81/2	93/2	0.25	2	5/8	5/8	Chord	12/8	2	1	1/16	1/16	1	232					
15	10	163/4	187/4	0.25	2	11/16	11/16	Chord	12/8	2	1	1/16	1/16	1	233					
15	10	41	47	0.25	2	3/4	3/4	Chord	12/8	2	1	1/16	1/16	1	234					
15	10	165/4	189/4	0.25	2	13/16	13/16	Chord	12/8	2	1	1/16	1/16	1	235					
15	10	83/2	95/2	0.25	2	7/8	7/8	Chord	12/8	2	1	1/16	1/16	1	236					
15	10	38	44	0.5	2	0	0	Chord	12/8	3	1	1/8	1/8	1	237					
15	10	77/2	89/2	0.5	2	1/8	1/8	Chord	12/8	3	1	1/8	1/8	1	238					
15	10	39	45	0.5	2	1/4	1/4	Chord	12/8	3	1	1/8	1/8	1	239					
15	10	79/2	91/2	0.5	2	3/8	3/8	Chord	12/8	3	1	1/8	1/8	1	240					
15	10	40	46	0.5	2	1/2	1/2	Chord	12/8	3	1	1/8	1/8	1	241					
15	10	81/2	93/2	0.5	2	5/8	5/8	Chord	12/8	3	1	1/8	1/8	1	242					
15	10	38	44	2.0	2	0	0	Chord	12/8	4	1	1/2	1/2	1	243					
15	10	40	46	0.25	2	1/2	1/2	Chord	12/8	4	1	1/16	1/16	1	244					
