mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
2	1	1	1	3.0		0	0	12/8	2	1	3/4	1/2	3/2		-7	71	Cb5	5	22
2	1	4	4	2.0		3/4	3/4	12/8	2	1	1/2	1/2	1	1	0	72	C5	5	23
3	2	7	7	0.5		0	0	12/8	1	1	1/8	1/8	1		1	55	G3	3	26
3	2	7	7	0.25		0	0	12/8	4	1	1/16	1/16	1	-1	-7	59	Cb4	4	36
3	2	7	7	0.5		0	0	12/8	3	1	1/8	1/8	1	-1	-3	63	Eb4	4	34
3	2	7	7	0.25		0	0	12/8	2	1	1/16	1/16	1	-1	0	72	C5	5	29
3	2	29/4	29/4	0.25		1/16	1/16	12/8	4	1	1/16	1/16	1		1	55	G3	3	37
3	2	29/4	29/4	0.25		1/16	1/16	12/8	2	1	1/16	1/16	1		1	67	G4	4	30
3	2	15/2	15/2	0.25		1/8	1/8	12/8	4	1	1/16	1/16	1		0	48	C3	3	38
3	2	15/2	15/2	0.25		1/8	1/8	12/8	2	1	1/16	1/16	1		4	64	E4	4	31
3	2	15/2	15/2	0.5		1/8	1/8	12/8	1	1	1/8	1/8	1		4	64	E4	4	27
3	2	15/2	15/2	0.5		1/8	1/8	12/8	3	1	1/8	1/8	1		4	64	E4	4	35
3	2	31/4	31/4	0.25		3/16	3/16	12/8	2	1	1/16	1/16	1		0	60	C4	4	32
3	2	8	8	0.25		1/4	1/4	12/8	2	1	1/16	1/16	1		1	55	G3	3	33
3	2	8	8	0.5		1/4	1/4	12/8	1	1	1/8	1/8	1		0	72	C5	5	28
4	2	8	8	0.75		0	0	12/8	4	1	3/16	1/8	3/2		-4	44	Ab2	2	47
4	2	8	8	0.5		0	0	12/8	2	1	1/8	1/8	1		-1	53	F3	3	42
4	2	8	8	0.5		0	0	12/8	3	1	1/8	1/8	1		-1	65	F4	4	45
4	2	8	8	0.5		0	0	12/8	1	1	1/8	1/8	1		-5	73	Db5	5	39
4	2	17/2	17/2	0.5		1/8	1/8	12/8	2	1	1/8	1/8	1		-4	56	Ab3	3	43
4	2	17/2	17/2	0.5		1/8	1/8	12/8	3	1	1/8	1/8	1		-5	61	Db4	4	46
4	2	17/2	17/2	0.5		1/8	1/8	12/8	1	1	1/8	1/8	1		-7	71	Cb5	5	40
4	2	9	9	0.25		1/4	1/4	12/8	2	1	1/16	1/16	1	1	-5	61	Db4	4	44
4	2	9	9	0.5		1/4	1/4	12/8	1	1	1/8	1/8	1		-4	68	Ab4	4	41
5	2		9	0.5	1	0	0	12/8	4	1	1/8	1/8	1		-5	37	Db2	2	64
5	2		9	0.5	1	0	0	12/8	3	1	1/8	1/8	1		-4	56	Ab3	3	60
5	2		9	0.25	1	0	0	12/8	2	1	1/16	1/16	1	-1	-5	61	Db4	4	54
5	2		9	0.5	1	0	0	12/8	1	1	1/8	1/8	1		-8	64	Fb4	4	48
5	2		37/4	0.5	1	1/16	1/16	12/8	2	1	1/8	1/8	1		-1	65	F4	4	55
5	2		19/2	0.5	1	1/8	1/8	12/8	4	1	1/8	1/8	1		-4	44	Ab2	2	65
5	2		19/2	0.5	1	1/8	1/8	12/8	3	1	1/8	1/8	1		-1	53	F3	3	61
5	2		19/2	0.5	1	1/8	1/8	12/8	1	1	1/8	1/8	1		-1	65	F4	4	49
5	2		39/4	0.5	1	3/16	3/16	12/8	2	1	1/8	1/8	1		-4	68	Ab4	4	56
5	2		10	0.5	1	1/4	1/4	12/8	3	1	1/8	1/8	1		-5	49	Db3	3	62
5	2		10	0.5	1	1/4	1/4	12/8	4	1	1/8	1/8	1		-5	49	Db3	3	66
5	2		10	0.5	1	1/4	1/4	12/8	1	1	1/8	1/8	1		-3	63	Eb4	4	50
5	2		41/4	0.5	1	5/16	5/16	12/8	2	1	1/8	1/8	1		-5	73	Db5	5	57
5	2		21/2	0.5	1	3/8	3/8	12/8	3	1	1/8	1/8	1		-4	44	Ab2	2	63
5	2		21/2	0.5	1	3/8	3/8	12/8	1	1	1/8	1/8	1		-5	61	Db4	4	51
5	2		43/4	0.5	1	7/16	7/16	12/8	2	1	1/8	1/8	1		-1	77	F5	5	58
5	2		11	0.5	1	1/2	1/2	12/8	1	1	1/8	1/8	1		-7	59	Cb4	4	52
5	2		45/4	0.25	1	9/16	9/16	12/8	2	1	1/16	1/16	1		-4	80	Ab5	5	59
5	2		23/2	0.5	1	5/8	5/8	12/8	1	1	1/8	1/8	1		-4	56	Ab3	3	53
6	2	9	11	0.75	2	0	0	12/8	4	1	3/16	1/8	3/2		-4	44	Ab2	2	75
6	2	9	11	0.5	2	0	0	12/8	3	1	1/8	1/8	1		-4	56	Ab3	3	73
6	2	9	11	0.5	2	0	0	12/8	2	1	1/8	1/8	1		-7	59	Cb4	4	70
6	2	9	11	0.5	2	0	0	12/8	1	1	1/8	1/8	1		-3	63	Eb4	4	67
6	2	19/2	23/2	0.5	2	1/8	1/8	12/8	3	1	1/8	1/8	1		-3	51	Eb3	3	74
6	2	19/2	23/2	0.5	2	1/8	1/8	12/8	2	1	1/8	1/8	1		-2	58	Bb3	3	71
6	2	19/2	23/2	0.5	2	1/8	1/8	12/8	1	1	1/8	1/8	1		-5	61	Db4	4	68
6	2	10	12	0.25	2	1/4	1/4	12/8	2	1	1/16	1/16	1		-4	56	Ab3	3	72
6	2	10	12	0.5	2	1/4	1/4	12/8	1	1	1/8	1/8	1		-7	59	Cb4	4	69
7	3		12	1.0	3	0	0	12/8	4	1	1/4	1/4	1		-4	44	Ab2	2	86
7	3		12	0.5	3	0	0	12/8	3	1	1/8	1/8	1		-4	56	Ab3	3	83
7	3		12	0.5	3	0	0	12/8	2	1	1/8	1/8	1		-7	59	Cb4	4	80
7	3		12	0.5	3	0	0	12/8	1	1	1/8	1/8	1		-3	63	Eb4	4	76
7	3		25/2	0.5	3	1/8	1/8	12/8	3	1	1/8	1/8	1		-3	51	Eb3	3	84
7	3		25/2	0.5	3	1/8	1/8	12/8	2	1	1/8	1/8	1		-2	58	Bb3	3	81
7	3		25/2	0.5	3	1/8	1/8	12/8	1	1	1/8	1/8	1		-5	61	Db4	4	77
7	3		13	0.5	3	1/4	1/4	12/8	4	1	1/8	1/8	1		-4	32	Ab1	1	87
7	3		13	1.0	3	1/4	1/4	12/8	3	1	1/4	1/4	1		-4	44	Ab2	2	85
7	3		13	1.5	3	1/4	1/4	12/8	2	1	3/8	1/4	3/2		-4	56	Ab3	3	82
7	3		13	0.5	3	1/4	1/4	12/8	1	1	1/8	1/8	1		-7	59	Cb4	4	78
7	3		27/2	1.5	3	3/8	3/8	12/8	1	1	3/8	1/4	3/2		-4	56	Ab3	3	79
8	4	10	14	1.0		0	0	12/8	4	1	1/4	1/4	1		-4	32	Ab1	1	103
8	4	10	14	1.0		0	0	12/8	3	1	1/4	1/4	1		-7	47	Cb3	3	99
8	4	10	14	1.0		0	0	12/8	2	1	1/4	1/4	1		-3	51	Eb3	3	94
8	4	10	14	1.0		0	0	12/8	1	1	1/4	1/4	1		-4	56	Ab3	3	88
8	4	11	15	1.0		1/4	1/4	12/8	4	1	1/4	1/4	1		4	40	E2	2	104
8	4	11	15	1.0		1/4	1/4	12/8	3	1	1/4	1/4	1		-3	51	Eb3	3	100
8	4	11	15	1.0		1/4	1/4	12/8	2	1	1/4	1/4	1		-4	56	Ab3	3	95
8	4	11	15	1.0		1/4	1/4	12/8	1	1	1/4	1/4	1		-7	59	Cb4	4	89
8	4	12	16	1.0		1/2	1/2	12/8	4	1	1/4	1/4	1		1	43	G2	2	105
8	4	12	16	1.0		1/2	1/2	12/8	3	1	1/4	1/4	1		1	55	G3	3	101
8	4	12	16	1.0		1/2	1/2	12/8	2	1	1/4	1/4	1		-7	59	Cb4	4	96
8	4	12	16	1.0		1/2	1/2	12/8	1	1	1/4	1/4	1		-3	63	Eb4	4	90
8	4	13	17	1.0		3/4	3/4	12/8	3	1	1/4	1/4	1		4	52	E3	3	102
8	4	13	17	1.0		3/4	3/4	12/8	2	1	1/4	1/4	1		0	60	C4	4	97
8	4	13	17	1.0		3/4	3/4	12/8	1	1	1/4	1/4	1		4	64	E4	4	91
8	4	14	18	1.0		1	1	12/8	2	1	1/4	1/4	1		4	64	E4	4	98
8	4	14	18	1.0		1	1	12/8	1	1	1/4	1/4	1		1	67	G4	4	92
8	4	15	19	1.0		5/4	5/4	12/8	1	1	1/4	1/4	1		0	72	C5	5	93
9	5	16	20	1.5		0	0	12/8	4	1	3/8	1/4	3/2		-5	37	Db2	2	131
9	5	16	20	0.5		0	0	12/8	3	1	1/8	1/8	1		-5	49	Db3	3	123
9	5	16	20	1.5		0	0	12/8	4	1	3/8	1/4	3/2		-5	49	Db3	3	131
9	5	16	20	1.0		0	0	12/8	2	1	1/4	1/4	1		-1	65	F4	4	118
9	5	16	20	0.5		0	0	12/8	1	1	1/8	1/8	1		-5	73	Db5	5	106
9	5	33/2	41/2	0.5		1/8	1/8	12/8	3	1	1/8	1/8	1		-4	44	Ab2	2	124
9	5	33/2	41/2	0.5		1/8	1/8	12/8	1	1	1/8	1/8	1		0	72	C5	5	107
9	5	17	21	0.5		1/4	1/4	12/8	3	1	1/8	1/8	1		-1	53	F3	3	125
9	5	17	21	1.0		1/4	1/4	12/8	2	1	1/4	1/4	1		-4	68	Ab4	4	119
9	5	17	21	0.5		1/4	1/4	12/8	1	1	1/8	1/8	1		-2	70	Bb4	4	108
9	5	35/2	43/2	1.5		3/8	3/8	12/8	4	1	3/8	1/4	3/2		-4	32	Ab1	1	132
9	5	35/2	43/2	1.5		3/8	3/8	12/8	4	1	3/8	1/4	3/2		-4	44	Ab2	2	132
9	5	35/2	43/2	0.5		3/8	3/8	12/8	3	1	1/8	1/8	1		-5	49	Db3	3	126
9	5	35/2	43/2	0.5		3/8	3/8	12/8	1	1	1/8	1/8	1		-4	68	Ab4	4	109
9	5	18	22	0.5		1/2	1/2	12/8	3	1	1/8	1/8	1		-4	56	Ab3	3	127
9	5	18	22	0.5		1/2	1/2	12/8	1	1	1/8	1/8	1		-6	66	Gb4	4	110
9	5	18	22	1.0		1/2	1/2	12/8	2	1	1/4	1/4	1		-5	73	Db5	5	120
9	5	37/2	45/2	0.5		5/8	5/8	12/8	3	1	1/8	1/8	1		-3	51	Eb3	3	128
9	5	37/2	45/2	0.5		5/8	5/8	12/8	1	1	1/8	1/8	1		-1	65	F4	4	111
9	5	19	23	0.5		3/4	3/4	12/8	3	1	1/8	1/8	1		-7	59	Cb4	4	129
9	5	19	23	0.5		3/4	3/4	12/8	1	1	1/8	1/8	1		-3	63	Eb4	4	112
9	5	19	23	1.0		3/4	3/4	12/8	2	1	1/4	1/4	1		-3	75	Eb5	5	121
9	5	39/2	47/2	0.5		7/8	7/8	12/8	3	1	1/8	1/8	1		-4	56	Ab3	3	130
9	5	39/2	47/2	0.5		7/8	7/8	12/8	1	1	1/8	1/8	1		-5	61	Db4	4	113
9	5	20	24	0.5		1	1	12/8	1	1	1/8	1/8	1		-7	59	Cb4	4	114
9	5	20	24	1.0		1	1	12/8	2	1	1/4	1/4	1		-7	71	Cb5	5	122
9	5	41/2	49/2	0.5		9/8	9/8	12/8	1	1	1/8	1/8	1		-2	58	Bb3	3	115
9	5	21	25	0.5		5/4	5/4	12/8	1	1	1/8	1/8	1		-4	56	Ab3	3	116
9	5	43/2	51/2	0.5		11/8	11/8	12/8	1	1	1/8	1/8	1		-7	59	Cb4	4	117
10	6	22	26	3.0		0	0	12/8	4	1	3/4	1/2	3/2		0	36	C2	2	158
10	6	22	26	3.0		0	0	12/8	4	1	3/4	1/2	3/2		0	48	C3	3	158
10	6	22	26	0.5		0	0	12/8	1	1	1/8	1/8	1		-3	63	Eb4	4	133
10	6	22	26	0.5		0	0	12/8	3	1	1/8	1/8	1		-3	63	Eb4	4	150
10	6	22	26	1.0		0	0	12/8	2	1	1/4	1/4	1		-4	68	Ab4	4	145
10	6	45/2	53/2	0.5		1/8	1/8	12/8	3	1	1/8	1/8	1		-7	59	Cb4	4	151
10	6	45/2	53/2	0.5		1/8	1/8	12/8	1	1	1/8	1/8	1		-4	68	Ab4	4	134
10	6	23	27	0.5		1/4	1/4	12/8	3	1	1/8	1/8	1		1	67	G4	4	152
10	6	23	27	1.0		1/4	1/4	12/8	2	1	1/4	1/4	1		1	67	G4	4	146
10	6	23	27	0.5		1/4	1/4	12/8	1	1	1/8	1/8	1		-7	71	Cb5	5	135
10	6	47/2	55/2	0.5		3/8	3/8	12/8	3	1	1/8	1/8	1		0	60	C4	4	153
10	6	47/2	55/2	0.5		3/8	3/8	12/8	1	1	1/8	1/8	1		-3	75	Eb5	5	136
10	6	24	28	0.5		1/2	1/2	12/8	3	1	1/8	1/8	1		4	64	E4	4	154
10	6	24	28	1.0		1/2	1/2	12/8	2	1	1/4	1/4	1		3	69	A4	4	147
10	6	24	28	0.5		1/2	1/2	12/8	1	1	1/8	1/8	1		4	76	E5	5	137
10	6	49/2	57/2	0.5		5/8	5/8	12/8	3	1	1/8	1/8	1		1	55	G3	3	155
10	6	49/2	57/2	0.5		5/8	5/8	12/8	1	1	1/8	1/8	1		2	74	D5	5	138
10	6	25	29	0.5		3/4	3/4	12/8	3	1	1/8	1/8	1		0	60	C4	4	156
10	6	25	29	1.0		3/4	3/4	12/8	2	1	1/4	1/4	1		5	71	B4	4	148
10	6	25	29	0.5		3/4	3/4	12/8	1	1	1/8	1/8	1		0	72	C5	5	139
10	6	51/2	59/2	0.5		7/8	7/8	12/8	3	1	1/8	1/8	1		4	52	E3	3	157
10	6	51/2	59/2	0.5		7/8	7/8	12/8	1	1	1/8	1/8	1		5	71	B4	4	140
10	6	26	30	0.5		1	1	12/8	1	1	1/8	1/8	1		3	69	A4	4	141
10	6	26	30	1.0		1	1	12/8	2	1	1/4	1/4	1		0	72	C5	5	149
10	6	53/2	61/2	0.5		9/8	9/8	12/8	1	1	1/8	1/8	1		1	67	G4	4	142
10	6	27	31	0.5		5/4	5/4	12/8	1	1	1/8	1/8	1		-1	65	F4	4	143
10	6	55/2	63/2	0.5		11/8	11/8	12/8	1	1	1/8	1/8	1		4	64	E4	4	144
11	7	28	32	3.0		0	0	12/8	4	1	3/4	1/2	3/2		-7	35	Cb2	2	184
11	7	28	32	3.0		0	0	12/8	4	1	3/4	1/2	3/2		-7	47	Cb3	3	184
11	7	28	32	0.5		0	0	12/8	3	1	1/8	1/8	1		-4	56	Ab3	3	176
11	7	28	32	0.5		0	0	12/8	1	1	1/8	1/8	1		-3	63	Eb4	4	159
11	7	28	32	1.0		0	0	12/8	2	1	1/4	1/4	1		-5	73	Db5	5	171
11	7	57/2	65/2	0.5		1/8	1/8	12/8	3	1	1/8	1/8	1		-7	59	Cb4	4	177
11	7	57/2	65/2	0.5		1/8	1/8	12/8	1	1	1/8	1/8	1		-5	61	Db4	4	160
11	7	29	33	0.5		1/4	1/4	12/8	3	1	1/8	1/8	1		-3	51	Eb3	3	178
11	7	29	33	0.5		1/4	1/4	12/8	1	1	1/8	1/8	1		-7	59	Cb4	4	161
11	7	29	33	1.0		1/4	1/4	12/8	2	1	1/4	1/4	1		-3	75	Eb5	5	172
11	7	59/2	67/2	0.5		3/8	3/8	12/8	3	1	1/8	1/8	1		-4	56	Ab3	3	179
11	7	59/2	67/2	0.5		3/8	3/8	12/8	1	1	1/8	1/8	1		-2	58	Bb3	3	162
11	7	30	34	0.5		1/2	1/2	12/8	3	1	1/8	1/8	1		-7	47	Cb3	3	180
11	7	30	34	0.5		1/2	1/2	12/8	1	1	1/8	1/8	1		-4	56	Ab3	3	163
11	7	30	34	1.0		1/2	1/2	12/8	2	1	1/4	1/4	1		-7	71	Cb5	5	173
11	7	61/2	69/2	0.5		5/8	5/8	12/8	3	1	1/8	1/8	1		-3	51	Eb3	3	181
11	7	61/2	69/2	0.5		5/8	5/8	12/8	1	1	1/8	1/8	1		-7	59	Cb4	4	164
11	7	31	35	0.5		3/4	3/4	12/8	3	1	1/8	1/8	1		-4	44	Ab2	2	182
11	7	31	35	0.5		3/4	3/4	12/8	1	1	1/8	1/8	1		-3	63	Eb4	4	165
11	7	31	35	1.0		3/4	3/4	12/8	2	1	1/4	1/4	1		-4	68	Ab4	4	174
11	7	63/2	71/2	0.5		7/8	7/8	12/8	3	1	1/8	1/8	1		-7	47	Cb3	3	183
11	7	63/2	71/2	0.5		7/8	7/8	12/8	1	1	1/8	1/8	1		-1	65	F4	4	166
11	7	32	36	1.0		1	1	12/8	2	1	1/4	1/4	1		-3	63	Eb4	4	175
11	7	32	36	0.5		1	1	12/8	1	1	1/8	1/8	1		1	67	G4	4	167
11	7	65/2	73/2	0.5		9/8	9/8	12/8	1	1	1/8	1/8	1		-4	68	Ab4	4	168
11	7	33	37	0.5		5/4	5/4	12/8	1	1	1/8	1/8	1		-7	71	Cb5	5	169
11	7	67/2	75/2	0.5		11/8	11/8	12/8	1	1	1/8	1/8	1		-3	75	Eb5	5	170
12	8	34	38	1.5		0	0	12/8	4	1	3/8	1/4	3/2		-5	37	Db2	2	194
12	8	34	38	1.5		0	0	12/8	4	1	3/8	1/4	3/2		-5	49	Db3	3	194
12	8	34	38	0.5		0	0	12/8	2	1	1/8	1/8	1		-5	61	Db4	4	188
12	8	34	38	0.5		0	0	12/8	1	1	1/8	1/8	1		-1	77	F5	5	185
12	8	103/3	115/3	0.3333333333333333		1/12	1/12	12/8	3	1	1/12	1/8	2/3		-5	49	Db3	3	191
12	8	35	39	0.3333333333333333		1/4	1/4	12/8	3	1	1/12	1/8	2/3		-4	44	Ab2	2	192
12	8	35	39	0.5		1/4	1/4	12/8	2	1	1/8	1/8	1		-4	68	Ab4	4	189
12	8	35	39	0.5		1/4	1/4	12/8	1	1	1/8	1/8	1		-5	73	Db5	5	186
12	8	107/3	119/3	0.3333333333333333		5/12	5/12	12/8	3	1	1/12	1/8	2/3		-1	53	F3	3	193
12	8	36	40	0.5		1/2	1/2	12/8	2	1	1/8	1/8	1		-1	65	F4	4	190
12	8	36	40	0.5		1/2	1/2	12/8	1	1	1/8	1/8	1		-4	68	Ab4	4	187
13	9	36	40	1.5		0	0	12/8	4	1	3/8	1/4	3/2	1	-5	37	Db2	2	203
13	9	36	40	1.5		0	0	12/8	4	1	3/8	1/4	3/2	1	-5	49	Db3	3	203
13	9	109/3	121/3	0.3333333333333333		1/12	1/12	12/8	3	1	1/12	1/8	2/3		-5	49	Db3	3	200
13	9	73/2	81/2	0.5		1/8	1/8	12/8	2	1	1/8	1/8	1		-5	61	Db4	4	198
13	9	73/2	81/2	0.5		1/8	1/8	12/8	1	1	1/8	1/8	1		-1	77	F5	5	195
13	9	37	41	0.3333333333333333		1/4	1/4	12/8	3	1	1/12	1/8	2/3		-4	44	Ab2	2	201
13	9	75/2	83/2	0.5		3/8	3/8	12/8	2	1	1/8	1/8	1		-1	65	F4	4	199
13	9	75/2	83/2	0.5		3/8	3/8	12/8	1	1	1/8	1/8	1		-5	73	Db5	5	196
13	9	113/3	125/3	0.3333333333333333		5/12	5/12	12/8	3	1	1/12	1/8	2/3		-1	53	F3	3	202
13	9	77/2	85/2	0.5		5/8	5/8	12/8	1	1	1/8	1/8	1		-4	68	Ab4	4	197
14	9		42	1.5	1	0	0	12/8	4	1	3/8	1/4	3/2	-1	-5	37	Db2	2	213
14	9		42	1.5	1	0	0	12/8	4	1	3/8	1/4	3/2	-1	-5	49	Db3	3	213
14	9		42	0.5	1	0	0	12/8	2	1	1/8	1/8	1		-4	68	Ab4	4	207
14	9		127/3	0.3333333333333333	1	1/12	1/12	12/8	3	1	1/12	1/8	2/3		-5	49	Db3	3	210
14	9		85/2	0.5	1	1/8	1/8	12/8	1	1	1/8	1/8	1		-1	65	F4	4	204
14	9		43	0.3333333333333333	1	1/4	1/4	12/8	3	1	1/12	1/8	2/3		-4	56	Ab3	3	211
14	9		43	0.5	1	1/4	1/4	12/8	2	1	1/8	1/8	1		-5	73	Db5	5	208
14	9		87/2	0.5	1	3/8	3/8	12/8	1	1	1/8	1/8	1		-5	61	Db4	4	205
14	9		131/3	0.3333333333333333	1	5/12	5/12	12/8	3	1	1/12	1/8	2/3		-1	53	F3	3	212
14	9		44	0.5	1	1/2	1/2	12/8	2	1	1/8	1/8	1		-1	77	F5	5	209
14	9		89/2	0.5	1	5/8	5/8	12/8	1	1	1/8	1/8	1		-4	80	Ab5	5	206
15	10	38	44	2.0	2	0	0	12/8	4	1	1/2	1/2	1	1	0	48	C3	3	243
15	10	38	44	0.5	2	0	0	12/8	3	1	1/8	1/8	1		1	55	G3	3	237
15	10	38	44	0.25	2	0	0	12/8	2	1	1/16	1/16	1		1	79	G5	5	222
15	10	38	44	0.5	2	0	0	12/8	1	1	1/8	1/8	1		1	79	G5	5	214
15	10	153/4	177/4	0.25	2	1/16	1/16	12/8	2	1	1/16	1/16	1		-1	77	F5	5	223
15	10	77/2	89/2	0.5	2	1/8	1/8	12/8	3	1	1/8	1/8	1		4	52	E3	3	238
15	10	77/2	89/2	0.25	2	1/8	1/8	12/8	2	1	1/16	1/16	1		4	76	E5	5	224
15	10	77/2	89/2	0.5714285714285714	2	1/8	1/8	12/8	1	1	1/7	1/4	4/7		0	84	C6	6	215
15	10	155/4	179/4	0.25	2	3/16	3/16	12/8	2	1	1/16	1/16	1		2	74	D5	5	225
15	10	39	45	0.5	2	1/4	1/4	12/8	3	1	1/8	1/8	1		0	48	C3	3	239
15	10	39	45	0.25	2	1/4	1/4	12/8	2	1	1/16	1/16	1		0	72	C5	5	226
15	10	547/14	631/14	0.5714285714285714	2	15/56	15/56	12/8	1	1	1/7	1/4	4/7		4	76	E5	5	216
15	10	157/4	181/4	0.25	2	5/16	5/16	12/8	2	1	1/16	1/16	1		5	71	B4	4	227
15	10	79/2	91/2	0.5	2	3/8	3/8	12/8	3	1	1/8	1/8	1		1	43	G2	2	240
15	10	79/2	91/2	0.25	2	3/8	3/8	12/8	2	1	1/16	1/16	1		3	69	A4	4	228
15	10	555/14	639/14	0.5714285714285714	2	23/56	23/56	12/8	1	1	1/7	1/4	4/7		1	79	G5	5	217
15	10	159/4	183/4	0.25	2	7/16	7/16	12/8	2	1	1/16	1/16	1		1	67	G4	4	229
15	10	40	46	0.5	2	1/2	1/2	12/8	3	1	1/8	1/8	1		4	40	E2	2	241
15	10	40	46	0.25	2	1/2	1/2	12/8	4	1	1/16	1/16	1	-1	0	48	C3	3	244
15	10	40	46	0.25	2	1/2	1/2	12/8	2	1	1/16	1/16	1		-1	65	F4	4	230
15	10	563/14	647/14	0.5714285714285714	2	31/56	31/56	12/8	1	1	1/7	1/4	4/7		0	72	C5	5	218
15	10	161/4	185/4	0.25	2	9/16	9/16	12/8	2	1	1/16	1/16	1		4	64	E4	4	231
15	10	81/2	93/2	0.5	2	5/8	5/8	12/8	3	1	1/8	1/8	1		0	36	C2	2	242
15	10	81/2	93/2	0.25	2	5/8	5/8	12/8	2	1	1/16	1/16	1		2	62	D4	4	232
15	10	163/4	187/4	0.25	2	11/16	11/16	12/8	2	1	1/16	1/16	1		0	60	C4	4	233
15	10	571/14	655/14	0.5714285714285714	2	39/56	39/56	12/8	1	1	1/7	1/4	4/7		4	76	E5	5	219
15	10	41	47	0.25	2	3/4	3/4	12/8	2	1	1/16	1/16	1		5	59	B3	3	234
15	10	165/4	189/4	0.25	2	13/16	13/16	12/8	2	1	1/16	1/16	1		3	57	A3	3	235
15	10	579/14	663/14	0.5714285714285714	2	47/56	47/56	12/8	1	1	1/7	1/4	4/7		1	67	G4	4	220
15	10	83/2	95/2	0.25	2	7/8	7/8	12/8	2	1	1/16	1/16	1		1	55	G3	3	236
15	10	587/14	671/14	0.5714285714285714	2	55/56	55/56	12/8	1	1	1/7	1/4	4/7		0	72	C5	5	221
