measure_start;measure_end;person;text
858.375;858.999;"Ortlinde und Waltraute";"Halt ein!"
860.750;861.999;"Helmwige und Ortlinde";"Halt ein!"
860.750;861.750;"Gerhilde und Waltraute";"O Vater!"
858.750;860.750;"Grimgerde und Schwertleite";"Soll die Maid verblühn und verbleichen dem Mann?"
860.750;862.750;"Siegrune und Rossweisse";"Soll die Maid verblühn und verbleichen dem Mann?"
862.750;864.750;"Gerhilde und Waltraute";"Soll die Maid verblühn und verbleichen dem Mann?"
862.750;864.500;"Schwertleite";"Soll die Maid verblühn und verbleichen?"
862.000;863.999;"Helmwige";"Hör unser Fleh’n!"
862.000;864.250;"Ortlinde";"Hör unser Fleh’n!"
863.000;865.250;"Rossweisse";"Schrecklicher Vater!"
865.875;868.750;"Gerhilde";"Du schrecklicher, schrecklicher Gott!"
865.875;866.750;"Grimgerde";"Erhöre uns!"
868.000;869.250;"Ortlinde";"Schrecklicher Gott!"
868.500;869.750;"Helmwige";"Schrecklicher Gott!"
862.375;865.250;"Grimgerde";"Ach wende ab die schreiende Schmach!"
867.250;872.625;"Grimgerde";"Ach, wende, du Schrecklicher, wende, ach wende von ihr diese schreiende Schmach, wend' ab die Schmach!"
864.000;868.250;"Helmwige";"Wende von ihr die schreiende Schmach!"
870.000;872.625;"Helmwige";"Wende von ihr die schreiende Schmach!"
864.500;872.625;"Siegrune";"Wende von ihr die schreiende Schmach; schrecklicher, wende von ihr die schreiende Schmach! Ach wende die Schmach!"
864.750;867.750;"Ortlinde";"Ach wende von ihr die schreckliche Schmach!"
869.500;875.500;"Ortlinde";"Wende die Schmach! Schrecklicher, Ach wende, wende die Schmachvon ihr!"
864.750;874.250;"Schwertleite";"Ach wende ab die Schmach! Ach, wende, du Schrecklicher, wende, ach wende von ihr diese schreiende Schmach, ach wende die Schmach, ach wende, wende die Schmach!"
865.750;874.500;"Waltraute";"Ach wende die Schmach! Ach, wende die schreiende Schmach! Wende die Schmach! Ach wende, Schrecklicher, die Schmach! Ach wende, wende die Schmach!"
866.000;874.250;"Rossweisse";"wende die Schmach! schrecklicher, wende, ach wende die schreiende Schmach von ihr! Ach wende, wende die Schmach!"
869.000;872.625;"Gerhilde";"Wende die Schmach! Schrecklicher, ach wende die Schmach!"
