mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
66	62	241	245	4.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
67	63	245	249	1.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
67	63	246	250	1.0	1/4	1/4	2/2	1	1		V2/iv	c	i		V2/iv		V		2		iv				Mm7	1	1	-2, 0, 4, 1		0	-2
67	63	247	251	1.0	1/2	1/2	2/2	1	1		iv65	c	i		iv65		iv		65						mm7	1	1	-4, 0, -3, -1		-1	-4
67	63	248	252	1.0	3/4	3/4	2/2	1	1		V64/iv	c	i		V64/iv		V		64		iv				M	1	1	1, 0, 4		0	1
68	64	249	253	1.0	0	0	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
68	64	250	254	1.0	1/4	1/4	2/2	1	1		.It6	c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4
68	64	251	255	1.0	1/2	1/2	2/2	1	1		V(64)	c	i		V(64)		V			64					M	1	1	1, 0, -3		1	1
68	64	252	256	1.0	3/4	3/4	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
69	65	253	257	4.0	0	0	2/2	1	1		i\\	c	i		i		i							\\	m	1	1	0, -3, 1		0	0
70	66	257	261	2.0	0	0	2/2	1	1		V7/iv	c	i		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0
70	66	259	263	2.0	1/2	1/2	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
71	67	261	265	2.0	0	0	2/2	1	1		V7/III	c	i		V7/III		V		7		III				Mm7	1	1	-2, 2, -1, -4		-2	-2
71	67	263	267	2.0	1/2	1/2	2/2	1	1		III	c	i		III		III								M	1	1	-3, 1, -2		-3	-3
72	68	265	269	2.0	0	0	2/2	1	1		VI	c	i		VI		VI								M	1	1	-4, 0, -3		-4	-4
72	68	267	271	2.0	1/2	1/2	2/2	1	1		.Ger6	c	i		Ger6	Ger	vii	o	65	b3	V				Ger	1	1	-4, 0, -3, 6		6	-4
73	69	269	273	1.0	0	0	2/2	1	1		V\\	c	i		V		V							\\	M	1	1	1, 5, 2		1	1
73	69	270	274	1.0	1/4	1/4	2/2	1	1		V2	c	i		V2		V		2						Mm7	1	1	-1, 1, 5, 2		1	-1
73	69	271	275	1.0	1/2	1/2	2/2	1	1		i6	c	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
73	69	272	276	1.0	3/4	3/4	2/2	1	1		#viio6	c	i		#viio6		#vii	o	6						o	1	1	2, -1, 5		5	2
74	70	273	277	5.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
75	71	278	282	1.0	1/4	1/4	2/2	1	1		V2/iv	c	i		V2/iv		V		2		iv				Mm7	1	1	-2, 0, 4, 1		0	-2
75	71	279	283	1.0	1/2	1/2	2/2	1	1		iv65	c	i		iv65		iv		65						mm7	1	1	-4, 0, -3, -1		-1	-4
75	71	280	284	1.0	3/4	3/4	2/2	1	1		V64/iv	c	i		V64/iv		V		64		iv				M	1	1	1, 0, 4		0	1
76	72	281	285	1.0	0	0	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
76	72	282	286	1.0	1/4	1/4	2/2	1	1		ii%65	c	i		ii%65		ii	%	65						%7	1	1	-1, -4, 0, 2		2	-1
76	72	283	287	1.0	1/2	1/2	2/2	1	1		V(64)	c	i		V(64)		V			64					M	1	1	1, 0, -3		1	1
76	72	284	288	1.0	3/4	3/4	2/2	1	1		V7	c	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
77	73	285	289	4.0	0	0	2/2	1	1		i\\	c	i		i		i							\\	m	1	1	0, -3, 1		0	0
79	74	289	293	4.0	0	0	2/2	1	1		I.I	c	I		I		I								M	1	0	0, 4, 1		0	0
80	75	293	297	4.0	0	0	2/2	1	1		I[I	c	I	I	I		I								M	1	0	0, 4, 1		0	0
81	76	297	301	1.0	0	0	2/2	1	1		IV	c	I		IV		IV								M	1	0	-1, 3, 0		-1	-1
81	76	298	302	1.0	1/4	1/4	2/2	1	1		I6	c	I		I6		I		6						M	1	0	4, 1, 0		0	4
81	76	299	303	1.0	1/2	1/2	2/2	1	1		IV64	c	I		IV64		IV		64						M	1	0	0, -1, 3		-1	0
81	76	300	304	1.0	3/4	3/4	2/2	1	1		III6	c	I		III6		III		6						M	1	0	8, 5, 4		4	8
82	77	301	305	1.0	0	0	2/2	1	1		ii6	c	I		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
82	77	302	306	1.0	1/4	1/4	2/2	1	1		I6	c	I		I6		I		6						M	1	0	4, 1, 0		0	4
82	77	303	307	1.0	1/2	1/2	2/2	1	1		viio6	c	I		viio6		vii	o	6						o	1	0	2, -1, 5		5	2
82	77	304	308	1.0	3/4	3/4	2/2	1	1		V.ii6	c	V		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
83	78	305	309	2.0	0	0	2/2	1	1		V(64)	c	V		V(64)		V			64					M	1	0	1, 0, 4		1	1
83	78	307	311	2.0	1/2	1/2	2/2	1	1		V7	c	V		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
84	79	309	313	3.0	0	0	2/2	1	1		I\\	c	V		I		I							\\	M	1	0	0, 4, 1		0	0
85	79	312	316	1.0	0	3/4	2/2	1	1		V	c	V		V		V								M	1	0	1, 5, 2		1	1
86	80	313	317	5.0	0	0	2/2	1	1		I	c	V		I		I								M	1	0	0, 4, 1		0	0
87	81	318	322	1.0	1/4	1/4	2/2	1	1		IV64	c	V		IV64		IV		64						M	1	0	0, -1, 3		-1	0
87	81	319	323	6.0	1/2	1/2	2/2	1	1		I	c	V		I		I								M	1	0	0, 4, 1		0	0
89	83	325	329	1.0	0	0	2/2	1	1		I.V[V	c	I	V	V		V								M	1	0	1, 5, 2		1	1
89	83	326	330	1.0	1/4	1/4	2/2	1	1		I	c	I		I		I								M	1	0	0, 4, 1		0	0
89	83	327	331	1.0	1/2	1/2	2/2	1	1		V43	c	I		V43		V		43						Mm7	1	0	2, -1, 1, 5		1	2
89	83	328	332	1.0	3/4	3/4	2/2	1	1		I6	c	I		I6		I		6						M	1	0	4, 1, 0		0	4
90	84	329	333	1.0	0	0	2/2	1	1		IV	c	I		IV		IV								M	1	0	-1, 3, 0		-1	-1
90	84	330	334	1.0	1/4	1/4	2/2	1	1		I6	c	I		I6		I		6						M	1	0	4, 1, 0		0	4
90	84	331	335	1.0	1/2	1/2	2/2	1	1		IV6	c	I		IV6		IV		6						M	1	0	3, 0, -1		-1	3
90	84	332	336	1.0	3/4	3/4	2/2	1	1		iii6	c	I		iii6		iii		6						m	1	0	1, 5, 4		4	1
91	85	333	337	1.0	0	0	2/2	1	1		ii6	c	I		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
91	85	334	338	1.0	1/4	1/4	2/2	1	1		I6	c	I		I6		I		6						M	1	0	4, 1, 0		0	4
91	85	335	339	1.0	1/2	1/2	2/2	1	1		viio6]	c	I		viio6		vii	o	6			]			o	1	0	2, -1, 5		5	2
91	85	336	340	1.0	3/4	3/4	2/2	1	1		#viio7/V	c	I		#viio7/V		#vii	o	7		V				o7	1	0	6, 3, 0, -3		6	6
92	86	337	341	2.0	0	0	2/2	1	1		V(64)	c	I		V(64)		V			64					M	1	0	1, 0, 4		1	1
92	86	339	343	2.0	1/2	1/2	2/2	1	1		V7	c	I		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
93	87	341	345	4.0	0	0	2/2	1	1		I	c	I		I		I								M	1	0	0, 4, 1		0	0
95	88	345	349	2.0	0	0	2/2	1	1		i.i	c	i		i		i								m	1	1	0, -3, 1		0	0
95	88	347	351	6.0	1/2	1/2	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
97	90	353	357	1.0	0	0	2/2	1	1		V6	c	i		V6		V		6						M	1	1	5, 2, 1		1	5
97	90	354	358	1.0	1/4	1/4	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
97	90	355	359	1.0	1/2	1/2	2/2	1	1		v6	c	i		v6		v		6						m	1	1	-2, 2, 1		1	-2
97	90	356	360	1.0	3/4	3/4	2/2	1	1		VIM7	c	i		VIM7		VI	M	7						MM7	1	1	-4, 0, -3, 1		-4	-4
98	91	357	361	4.0	0	0	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
99	92	361	365	4.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
100	93	365	369	3.0	0	0	2/2	1	1		v.iv	c	v		iv		iv								m	1	1	-1, -4, 0		-1	-1
100	93	368	372	1.0	3/4	3/4	2/2	1	1		#viio7/V	c	v		#viio7/V		#vii	o	7		V				o7	1	1	6, 3, 0, -3		6	6
101	94	369	373	1.0	0	0	2/2	1	1		V(64)	c	v		V(64)		V			64					M	1	1	1, 0, -3		1	1
101	94	370	374	1.0	1/4	1/4	2/2	1	1		.Ger6	c	v		Ger6	Ger	vii	o	65	b3	V				Ger	1	1	-4, 0, -3, 6		6	-4
101	94	371	375	1.0	1/2	1/2	2/2	1	1		V(64)	c	v		V(64)		V			64					M	1	1	1, 0, -3		1	1
101	94	372	376	1.0	3/4	3/4	2/2	1	1		V	c	v		V		V								M	1	1	1, 5, 2		1	1
102	95		377		0	0	2/2	1	1	1	i\\	c	v		i		i							\\	m	1	1	0, -3, 1		0	0
103	96	373	381	4.0	0	0	2/2	1	1	2	i	c	v		i		i								m	1	1	0, -3, 1		0	0
104	97	377	385	2.0	0	0	2/2	1	1		i.V7/iv	c	i		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0
104	97	379	387	2.0	1/2	1/2	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
105	98	381	389	2.0	0	0	2/2	1	1		VII7	c	i		VII7		VII		7						Mm7	1	1	-2, 2, -1, -4		-2	-2
105	98	383	391	2.0	1/2	1/2	2/2	1	1		III	c	i		III		III								M	1	1	-3, 1, -2		-3	-3
106	99	385	393	2.0	0	0	2/2	1	1		iv6(2)	c	i		iv6(2)		iv		6	2					m	1	1	-4, 0, 1		-1	-4
106	99	387	395	1.0	1/2	1/2	2/2	1	1		ii%43	c	i		ii%43		ii	%	43						%7	1	1	-4, 0, 2, -1		2	-4
106	99	388	396	1.0	3/4	3/4	2/2	1	1		.It6	c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4
107	100	389	397	4.0	0	0	2/2	1	1		V\\	c	i		V		V							\\	M	1	1	1, 5, 2		1	1
108	101	393	401	6.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
109	102	399	407	1.0	1/2	1/2	2/2	1	1		VI	c	i		VI		VI								M	1	1	-4, 0, -3		-4	-4
109	102	400	408	1.0	3/4	3/4	2/2	1	1		#viio6/iv	c	i		#viio6/iv		#vii	o	6		iv				o	1	1	1, -2, 4		4	1
110	103	401	409	1.0	0	0	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
110	103	402	410	1.0	1/4	1/4	2/2	1	1		.Ger6	c	i		Ger6	Ger	vii	o	65	b3	V				Ger	1	1	-4, 0, -3, 6		6	-4
110	103	403	411	1.0	1/2	1/2	2/2	1	1		V(64)	c	i		V(64)		V			64					M	1	1	1, 0, -3		1	1
110	103	404	412	1.0	3/4	3/4	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
111	104	405	413	4.0	0	0	2/2	1	1		i\\	c	i		i		i							\\	m	1	1	0, -3, 1		0	0
112	105	409	417	2.0	0	0	2/2	1	1		V7/iv	c	i		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0
112	105	411	419	2.0	1/2	1/2	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
113	106	413	421	2.0	0	0	2/2	1	1		VII7	c	i		VII7		VII		7						Mm7	1	1	-2, 2, -1, -4		-2	-2
113	106	415	423	2.0	1/2	1/2	2/2	1	1		III	c	i		III		III								M	1	1	-3, 1, -2		-3	-3
114	107	417	425	1.0	0	0	2/2	1	1		iv6(2)	c	i		iv6(2)		iv		6	2					m	1	1	-4, 0, 1		-1	-4
114	107	418	426	1.0	1/4	1/4	2/2	1	1		iv6	c	i		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
114	107	419	427	1.0	1/2	1/2	2/2	1	1		ii%43	c	i		ii%43		ii	%	43						%7	1	1	-4, 0, 2, -1		2	-4
114	107	420	428	1.0	3/4	3/4	2/2	1	1		.Fr6	c	i		Fr6	Fr	V		43	b5	V				Fr	1	1	-4, 0, 2, 6		2	-4
115	108	421	429	4.0	0	0	2/2	1	1		V\\	c	i		V		V							\\	M	1	1	1, 5, 2		1	1
116	109	425	433	5.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
