StaffIndex,SystemIndex,Left,Top,Height,Width,Image
1,1,45,76,23,520,Wagner_WWV086B_145.png
2,1,45,122,23,520,Wagner_WWV086B_145.png
3,2,45,201,21,520,Wagner_WWV086B_145.png
4,2,45,247,22,520,Wagner_WWV086B_145.png
5,3,45,335,22,520,Wagner_WWV086B_145.png
6,3,45,375,24,520,Wagner_WWV086B_145.png
7,4,42,456,20,522,Wagner_WWV086B_145.png
8,4,42,500,22,522,Wagner_WWV086B_145.png
9,5,44,585,20,520,Wagner_WWV086B_145.png
10,5,44,633,20,520,Wagner_WWV086B_145.png
11,6,43,695,21,519,Wagner_WWV086B_145.png
12,6,43,741,22,519,Wagner_WWV086B_145.png
1,1,55,83,21,521,Wagner_WWV086B_146.png
2,1,55,131,21,521,Wagner_WWV086B_146.png
3,2,55,209,20,520,Wagner_WWV086B_146.png
4,2,55,249,21,520,Wagner_WWV086B_146.png
5,3,56,340,24,518,Wagner_WWV086B_146.png
6,3,56,385,22,518,Wagner_WWV086B_146.png
7,4,54,467,25,520,Wagner_WWV086B_146.png
8,4,54,509,22,520,Wagner_WWV086B_146.png
9,5,54,586,21,520,Wagner_WWV086B_146.png
10,5,54,629,22,520,Wagner_WWV086B_146.png
11,6,51,693,23,522,Wagner_WWV086B_146.png
12,6,51,737,21,522,Wagner_WWV086B_146.png
1,1,35,87,21,522,Wagner_WWV086B_147.png
2,1,35,128,21,522,Wagner_WWV086B_147.png
3,2,33,208,22,522,Wagner_WWV086B_147.png
4,2,33,249,21,522,Wagner_WWV086B_147.png
5,3,35,337,20,520,Wagner_WWV086B_147.png
6,3,35,377,22,520,Wagner_WWV086B_147.png
7,4,35,462,20,519,Wagner_WWV086B_147.png
8,4,35,503,21,519,Wagner_WWV086B_147.png
9,5,34,581,20,520,Wagner_WWV086B_147.png
10,5,34,621,22,520,Wagner_WWV086B_147.png
11,6,35,690,20,520,Wagner_WWV086B_147.png
12,6,35,734,21,520,Wagner_WWV086B_147.png
1,1,53,70,25,517,Wagner_WWV086B_148.png
2,1,53,116,23,517,Wagner_WWV086B_148.png
3,2,53,197,23,517,Wagner_WWV086B_148.png
4,2,53,251,21,516,Wagner_WWV086B_148.png
5,3,54,314,24,518,Wagner_WWV086B_148.png
6,3,54,360,24,518,Wagner_WWV086B_148.png
7,4,55,435,24,518,Wagner_WWV086B_148.png
8,4,55,482,22,518,Wagner_WWV086B_148.png
9,5,55,559,25,519,Wagner_WWV086B_148.png
10,5,55,608,23,519,Wagner_WWV086B_148.png
11,6,55,679,26,519,Wagner_WWV086B_148.png
12,6,57,724,22,518,Wagner_WWV086B_148.png
1,1,34,70,20,519,Wagner_WWV086B_149.png
2,1,34,113,22,519,Wagner_WWV086B_149.png
3,2,32,195,22,520,Wagner_WWV086B_149.png
4,2,32,239,21,520,Wagner_WWV086B_149.png
5,3,34,323,22,519,Wagner_WWV086B_149.png
6,3,34,373,21,519,Wagner_WWV086B_149.png
7,4,35,440,23,517,Wagner_WWV086B_149.png
8,4,35,483,22,517,Wagner_WWV086B_149.png
9,5,35,568,22,518,Wagner_WWV086B_149.png
10,5,35,610,22,518,Wagner_WWV086B_149.png
11,6,36,676,24,517,Wagner_WWV086B_149.png
12,6,36,722,23,517,Wagner_WWV086B_149.png
1,1,51,62,22,519,Wagner_WWV086B_150.png
2,1,51,111,23,519,Wagner_WWV086B_150.png
3,2,51,190,21,520,Wagner_WWV086B_150.png
4,2,51,236,21,520,Wagner_WWV086B_150.png
5,3,50,305,22,520,Wagner_WWV086B_150.png
6,3,50,351,21,520,Wagner_WWV086B_150.png
7,4,51,426,21,519,Wagner_WWV086B_150.png
8,4,51,472,21,519,Wagner_WWV086B_150.png
9,5,47,547,20,522,Wagner_WWV086B_150.png
10,5,47,591,21,522,Wagner_WWV086B_150.png
11,6,50,675,24,519,Wagner_WWV086B_150.png
12,6,50,724,23,519,Wagner_WWV086B_150.png
1,1,40,56,21,519,Wagner_WWV086B_151.png
2,1,40,95,23,519,Wagner_WWV086B_151.png
3,2,40,179,24,519,Wagner_WWV086B_151.png
4,2,40,222,22,519,Wagner_WWV086B_151.png
5,3,40,295,25,519,Wagner_WWV086B_151.png
6,3,40,338,22,519,Wagner_WWV086B_151.png
7,4,40,423,22,520,Wagner_WWV086B_151.png
8,4,40,465,23,520,Wagner_WWV086B_151.png
9,5,38,548,23,521,Wagner_WWV086B_151.png
10,5,38,591,22,521,Wagner_WWV086B_151.png
11,6,38,676,24,521,Wagner_WWV086B_151.png
12,6,38,721,23,521,Wagner_WWV086B_151.png
1,1,50,77,23,523,Wagner_WWV086B_152.png
2,1,50,124,21,523,Wagner_WWV086B_152.png
3,2,50,198,24,523,Wagner_WWV086B_152.png
4,2,50,242,22,523,Wagner_WWV086B_152.png
5,3,48,333,21,524,Wagner_WWV086B_152.png
6,3,48,381,22,524,Wagner_WWV086B_152.png
7,4,49,468,23,521,Wagner_WWV086B_152.png
8,4,49,517,23,521,Wagner_WWV086B_152.png
9,5,49,584,22,521,Wagner_WWV086B_152.png
10,5,47,625,24,522,Wagner_WWV086B_152.png
11,6,47,694,23,523,Wagner_WWV086B_152.png
12,6,47,739,22,523,Wagner_WWV086B_152.png
1,1,43,72,23,519,Wagner_WWV086B_153.png
2,1,43,115,25,519,Wagner_WWV086B_153.png
3,2,42,205,22,520,Wagner_WWV086B_153.png
4,2,42,249,22,520,Wagner_WWV086B_153.png
5,3,41,322,23,521,Wagner_WWV086B_153.png
6,3,41,366,22,521,Wagner_WWV086B_153.png
7,4,41,446,22,520,Wagner_WWV086B_153.png
8,4,41,491,23,520,Wagner_WWV086B_153.png
9,5,41,567,21,519,Wagner_WWV086B_153.png
10,5,41,611,21,519,Wagner_WWV086B_153.png
11,6,38,685,22,522,Wagner_WWV086B_153.png
12,6,38,736,24,522,Wagner_WWV086B_153.png
1,1,44,69,23,522,Wagner_WWV086B_154.png
2,1,44,116,23,522,Wagner_WWV086B_154.png
3,2,45,187,25,521,Wagner_WWV086B_154.png
4,2,45,241,22,521,Wagner_WWV086B_154.png
5,3,45,309,23,521,Wagner_WWV086B_154.png
6,3,45,357,22,521,Wagner_WWV086B_154.png
7,4,47,426,23,520,Wagner_WWV086B_154.png
8,4,47,473,24,520,Wagner_WWV086B_154.png
9,5,48,546,24,520,Wagner_WWV086B_154.png
10,5,48,594,26,520,Wagner_WWV086B_154.png
11,6,49,676,24,520,Wagner_WWV086B_154.png
12,6,49,723,25,520,Wagner_WWV086B_154.png
1,1,35,70,22,523,Wagner_WWV086B_155.png
2,1,35,117,22,523,Wagner_WWV086B_155.png
3,2,36,200,23,520,Wagner_WWV086B_155.png
4,2,36,249,21,520,Wagner_WWV086B_155.png
5,3,35,324,24,520,Wagner_WWV086B_155.png
6,3,35,375,23,520,Wagner_WWV086B_155.png
7,4,34,440,23,521,Wagner_WWV086B_155.png
8,4,34,499,22,521,Wagner_WWV086B_155.png
9,5,34,568,21,520,Wagner_WWV086B_155.png
10,5,34,612,22,520,Wagner_WWV086B_155.png
11,6,33,677,24,521,Wagner_WWV086B_155.png
12,6,33,725,21,521,Wagner_WWV086B_155.png
1,1,49,66,22,522,Wagner_WWV086B_156.png
2,1,49,118,19,522,Wagner_WWV086B_156.png
3,2,49,183,23,523,Wagner_WWV086B_156.png
4,2,49,233,22,523,Wagner_WWV086B_156.png
5,3,50,305,22,522,Wagner_WWV086B_156.png
6,3,50,357,20,522,Wagner_WWV086B_156.png
7,4,49,426,23,523,Wagner_WWV086B_156.png
8,4,49,481,22,523,Wagner_WWV086B_156.png
9,5,49,550,21,523,Wagner_WWV086B_156.png
10,5,49,595,22,523,Wagner_WWV086B_156.png
11,6,48,676,23,524,Wagner_WWV086B_156.png
12,6,48,723,24,524,Wagner_WWV086B_156.png
1,1,36,72,24,519,Wagner_WWV086B_157.png
2,1,36,120,25,519,Wagner_WWV086B_157.png
3,2,35,192,25,520,Wagner_WWV086B_157.png
4,2,35,246,23,520,Wagner_WWV086B_157.png
5,3,35,317,22,520,Wagner_WWV086B_157.png
6,3,35,364,22,520,Wagner_WWV086B_157.png
7,4,34,432,21,520,Wagner_WWV086B_157.png
8,4,34,478,22,520,Wagner_WWV086B_157.png
9,5,34,553,21,520,Wagner_WWV086B_157.png
10,5,34,597,22,520,Wagner_WWV086B_157.png
11,6,32,680,20,521,Wagner_WWV086B_157.png
12,6,32,727,21,521,Wagner_WWV086B_157.png
1,1,49,73,23,522,Wagner_WWV086B_158.png
2,1,49,125,21,522,Wagner_WWV086B_158.png
3,2,49,192,22,522,Wagner_WWV086B_158.png
4,2,49,239,21,522,Wagner_WWV086B_158.png
5,3,49,306,23,521,Wagner_WWV086B_158.png
6,3,49,351,21,521,Wagner_WWV086B_158.png
7,4,50,440,22,521,Wagner_WWV086B_158.png
8,4,50,488,21,521,Wagner_WWV086B_158.png
9,5,50,564,22,521,Wagner_WWV086B_158.png
10,5,50,612,20,521,Wagner_WWV086B_158.png
11,6,50,685,22,522,Wagner_WWV086B_158.png
12,6,50,731,21,522,Wagner_WWV086B_158.png
1,1,42,79,21,519,Wagner_WWV086B_159.png
2,1,42,128,23,519,Wagner_WWV086B_159.png
3,2,41,197,24,520,Wagner_WWV086B_159.png
4,2,41,245,23,520,Wagner_WWV086B_159.png
5,3,40,315,23,521,Wagner_WWV086B_159.png
6,3,40,364,22,521,Wagner_WWV086B_159.png
7,4,38,439,22,521,Wagner_WWV086B_159.png
8,4,38,488,22,521,Wagner_WWV086B_159.png
9,5,38,552,23,502,Wagner_WWV086B_159.png
10,5,38,600,22,502,Wagner_WWV086B_159.png
11,6,37,686,22,521,Wagner_WWV086B_159.png
12,6,37,731,22,521,Wagner_WWV086B_159.png
1,1,49,67,22,522,Wagner_WWV086B_160.png
2,1,49,113,22,522,Wagner_WWV086B_160.png
3,2,49,198,21,522,Wagner_WWV086B_160.png
4,2,49,242,22,522,Wagner_WWV086B_160.png
5,3,50,315,22,520,Wagner_WWV086B_160.png
6,3,50,358,22,520,Wagner_WWV086B_160.png
7,4,50,430,24,519,Wagner_WWV086B_160.png
8,4,50,475,24,519,Wagner_WWV086B_160.png
9,5,50,550,22,518,Wagner_WWV086B_160.png
10,5,50,596,22,518,Wagner_WWV086B_160.png
11,6,50,670,24,518,Wagner_WWV086B_160.png
12,6,50,719,23,518,Wagner_WWV086B_160.png
1,1,38,72,20,522,Wagner_WWV086B_161.png
2,1,38,118,23,522,Wagner_WWV086B_161.png
3,2,38,191,23,521,Wagner_WWV086B_161.png
4,2,38,239,23,521,Wagner_WWV086B_161.png
5,3,39,301,22,521,Wagner_WWV086B_161.png
6,3,39,352,24,521,Wagner_WWV086B_161.png
7,4,39,419,23,519,Wagner_WWV086B_161.png
8,4,39,475,21,519,Wagner_WWV086B_161.png
9,5,38,547,24,519,Wagner_WWV086B_161.png
10,5,38,600,21,519,Wagner_WWV086B_161.png
11,6,38,665,26,520,Wagner_WWV086B_161.png
12,6,38,722,20,520,Wagner_WWV086B_161.png
1,1,41,64,22,520,Wagner_WWV086B_162.png
2,1,41,114,21,520,Wagner_WWV086B_162.png
3,2,41,195,24,520,Wagner_WWV086B_162.png
4,2,41,244,22,520,Wagner_WWV086B_162.png
5,3,41,319,25,520,Wagner_WWV086B_162.png
6,3,41,370,22,520,Wagner_WWV086B_162.png
7,4,41,453,25,518,Wagner_WWV086B_162.png
8,4,41,499,23,518,Wagner_WWV086B_162.png
9,5,41,568,21,518,Wagner_WWV086B_162.png
10,5,41,613,22,518,Wagner_WWV086B_162.png
11,6,39,684,21,520,Wagner_WWV086B_162.png
12,6,39,728,21,520,Wagner_WWV086B_162.png
1,1,43,70,22,519,Wagner_WWV086B_163.png
2,1,43,117,21,519,Wagner_WWV086B_163.png
3,2,44,196,21,517,Wagner_WWV086B_163.png
4,2,44,243,22,517,Wagner_WWV086B_163.png
5,3,44,319,22,517,Wagner_WWV086B_163.png
6,3,44,365,21,517,Wagner_WWV086B_163.png
7,4,44,438,22,518,Wagner_WWV086B_163.png
8,4,44,484,21,518,Wagner_WWV086B_163.png
9,5,44,563,21,518,Wagner_WWV086B_163.png
10,5,44,609,21,518,Wagner_WWV086B_163.png
11,6,44,675,23,517,Wagner_WWV086B_163.png
12,6,44,724,21,517,Wagner_WWV086B_163.png
1,1,48,57,22,521,Wagner_WWV086B_164.png
2,1,48,106,21,521,Wagner_WWV086B_164.png
3,2,48,166,20,520,Wagner_WWV086B_164.png
4,2,48,211,21,520,Wagner_WWV086B_164.png
5,3,49,293,21,520,Wagner_WWV086B_164.png
6,3,49,338,22,520,Wagner_WWV086B_164.png
7,4,49,424,21,520,Wagner_WWV086B_164.png
8,4,49,471,22,520,Wagner_WWV086B_164.png
9,5,49,553,24,520,Wagner_WWV086B_164.png
10,5,49,601,20,520,Wagner_WWV086B_164.png
11,6,50,675,24,519,Wagner_WWV086B_164.png
12,6,50,719,21,519,Wagner_WWV086B_164.png
1,1,45,70,21,523,Wagner_WWV086B_165.png
2,1,45,115,23,523,Wagner_WWV086B_165.png
3,2,47,192,22,521,Wagner_WWV086B_165.png
4,2,47,241,20,521,Wagner_WWV086B_165.png
5,3,47,317,22,521,Wagner_WWV086B_165.png
6,3,47,362,21,521,Wagner_WWV086B_165.png
7,4,48,431,24,520,Wagner_WWV086B_165.png
8,4,48,484,23,520,Wagner_WWV086B_165.png
9,5,48,569,22,521,Wagner_WWV086B_165.png
10,5,48,612,23,521,Wagner_WWV086B_165.png
11,6,49,682,24,519,Wagner_WWV086B_165.png
12,6,49,729,22,519,Wagner_WWV086B_165.png
1,1,47,80,24,518,Wagner_WWV086B_166.png
2,1,47,132,22,518,Wagner_WWV086B_166.png
3,2,47,223,22,519,Wagner_WWV086B_166.png
4,2,47,274,23,519,Wagner_WWV086B_166.png
5,3,45,377,22,518,Wagner_WWV086B_166.png
6,3,45,424,22,518,Wagner_WWV086B_166.png
7,4,45,527,23,518,Wagner_WWV086B_166.png
8,4,45,576,22,518,Wagner_WWV086B_166.png
9,5,45,668,24,505,Wagner_WWV086B_166.png
10,5,45,721,22,505,Wagner_WWV086B_166.png
1,1,38,95,24,521,Wagner_WWV086B_167.png
2,1,38,147,23,521,Wagner_WWV086B_167.png
3,2,38,229,27,520,Wagner_WWV086B_167.png
4,2,38,280,25,520,Wagner_WWV086B_167.png
5,3,41,366,26,521,Wagner_WWV086B_167.png
6,3,41,417,25,521,Wagner_WWV086B_167.png
7,4,42,513,25,519,Wagner_WWV086B_167.png
8,4,42,562,22,519,Wagner_WWV086B_167.png
9,5,43,661,24,519,Wagner_WWV086B_167.png
10,5,43,709,22,519,Wagner_WWV086B_167.png
1,1,53,75,26,520,Wagner_WWV086B_168.png
2,1,53,123,25,520,Wagner_WWV086B_168.png
3,2,54,204,24,520,Wagner_WWV086B_168.png
4,2,54,251,22,520,Wagner_WWV086B_168.png
5,3,52,314,22,522,Wagner_WWV086B_168.png
6,3,52,363,21,522,Wagner_WWV086B_168.png
7,4,53,429,22,521,Wagner_WWV086B_168.png
8,4,53,477,22,521,Wagner_WWV086B_168.png
9,5,51,543,24,522,Wagner_WWV086B_168.png
10,5,51,592,23,522,Wagner_WWV086B_168.png
11,6,48,671,23,524,Wagner_WWV086B_168.png
12,6,48,718,24,524,Wagner_WWV086B_168.png
1,1,41,80,24,518,Wagner_WWV086B_169.png
2,1,41,124,22,518,Wagner_WWV086B_169.png
3,2,41,197,25,518,Wagner_WWV086B_169.png
4,2,41,248,21,518,Wagner_WWV086B_169.png
5,3,42,326,23,518,Wagner_WWV086B_169.png
6,3,42,379,22,518,Wagner_WWV086B_169.png
7,4,38,453,23,522,Wagner_WWV086B_169.png
8,4,38,500,21,522,Wagner_WWV086B_169.png
9,5,38,575,22,521,Wagner_WWV086B_169.png
10,5,38,621,22,521,Wagner_WWV086B_169.png
11,6,38,689,23,521,Wagner_WWV086B_169.png
12,6,38,736,20,521,Wagner_WWV086B_169.png
1,1,49,72,22,520,Wagner_WWV086B_170.png
2,1,49,123,21,520,Wagner_WWV086B_170.png
3,2,50,187,24,519,Wagner_WWV086B_170.png
4,2,50,240,21,519,Wagner_WWV086B_170.png
5,3,50,306,23,519,Wagner_WWV086B_170.png
6,3,50,359,21,519,Wagner_WWV086B_170.png
7,4,49,429,21,519,Wagner_WWV086B_170.png
8,4,49,479,22,519,Wagner_WWV086B_170.png
9,5,50,546,23,517,Wagner_WWV086B_170.png
10,5,50,596,22,517,Wagner_WWV086B_170.png
11,6,50,665,24,518,Wagner_WWV086B_170.png
12,6,50,721,22,518,Wagner_WWV086B_170.png
1,1,38,76,23,517,Wagner_WWV086B_171.png
2,1,38,118,20,517,Wagner_WWV086B_171.png
3,2,39,210,21,519,Wagner_WWV086B_171.png
4,2,39,250,20,519,Wagner_WWV086B_171.png
5,3,36,330,21,522,Wagner_WWV086B_171.png
6,3,36,373,21,522,Wagner_WWV086B_171.png
7,4,39,451,21,517,Wagner_WWV086B_171.png
8,4,39,497,21,517,Wagner_WWV086B_171.png
9,5,37,562,22,519,Wagner_WWV086B_171.png
10,5,37,608,22,519,Wagner_WWV086B_171.png
11,6,36,678,23,519,Wagner_WWV086B_171.png
12,6,36,726,23,519,Wagner_WWV086B_171.png
1,1,45,64,27,519,Wagner_WWV086B_172.png
2,1,45,116,25,519,Wagner_WWV086B_172.png
3,2,47,192,23,518,Wagner_WWV086B_172.png
4,2,47,241,24,518,Wagner_WWV086B_172.png
5,3,48,313,24,517,Wagner_WWV086B_172.png
6,3,48,363,24,517,Wagner_WWV086B_172.png
7,4,49,432,23,518,Wagner_WWV086B_172.png
8,4,49,484,22,518,Wagner_WWV086B_172.png
9,5,49,552,24,518,Wagner_WWV086B_172.png
10,5,49,603,21,518,Wagner_WWV086B_172.png
11,6,50,667,23,518,Wagner_WWV086B_172.png
12,6,50,720,21,518,Wagner_WWV086B_172.png
1,1,45,62,23,519,Wagner_WWV086B_173.png
2,1,45,112,22,519,Wagner_WWV086B_173.png
3,2,44,194,22,519,Wagner_WWV086B_173.png
4,2,44,238,22,519,Wagner_WWV086B_173.png
5,3,43,316,23,519,Wagner_WWV086B_173.png
6,3,43,364,23,519,Wagner_WWV086B_173.png
7,4,42,428,25,519,Wagner_WWV086B_173.png
8,4,42,481,22,519,Wagner_WWV086B_173.png
9,5,40,545,26,520,Wagner_WWV086B_173.png
10,5,40,598,22,520,Wagner_WWV086B_173.png
11,6,38,664,26,520,Wagner_WWV086B_173.png
12,6,38,713,22,520,Wagner_WWV086B_173.png
1,1,49,75,23,523,Wagner_WWV086B_174.png
2,1,49,126,22,523,Wagner_WWV086B_174.png
3,2,50,191,21,520,Wagner_WWV086B_174.png
4,2,50,241,23,520,Wagner_WWV086B_174.png
5,3,51,307,24,522,Wagner_WWV086B_174.png
6,3,51,358,22,522,Wagner_WWV086B_174.png
7,4,50,420,21,523,Wagner_WWV086B_174.png
8,4,50,468,21,523,Wagner_WWV086B_174.png
9,5,51,549,22,521,Wagner_WWV086B_174.png
10,5,51,596,22,521,Wagner_WWV086B_174.png
11,6,51,683,26,522,Wagner_WWV086B_174.png
12,6,51,733,22,522,Wagner_WWV086B_174.png
1,1,41,72,21,494,Wagner_WWV086B_175.png
2,1,41,123,23,494,Wagner_WWV086B_175.png
3,2,41,195,24,520,Wagner_WWV086B_175.png
4,2,41,244,24,520,Wagner_WWV086B_175.png
5,3,40,309,22,522,Wagner_WWV086B_175.png
6,3,40,359,24,522,Wagner_WWV086B_175.png
7,4,40,423,21,520,Wagner_WWV086B_175.png
8,4,40,471,24,520,Wagner_WWV086B_175.png
9,5,38,535,22,522,Wagner_WWV086B_175.png
10,5,38,586,22,522,Wagner_WWV086B_175.png
11,6,38,672,24,522,Wagner_WWV086B_175.png
12,6,38,725,22,522,Wagner_WWV086B_175.png
1,1,45,92,23,515,Wagner_WWV086B_176.png
2,1,45,139,22,515,Wagner_WWV086B_176.png
3,2,47,211,24,514,Wagner_WWV086B_176.png
4,2,47,257,23,514,Wagner_WWV086B_176.png
5,3,48,329,24,513,Wagner_WWV086B_176.png
6,3,48,377,23,513,Wagner_WWV086B_176.png
7,4,49,449,26,514,Wagner_WWV086B_176.png
8,4,49,491,26,514,Wagner_WWV086B_176.png
9,5,51,565,25,513,Wagner_WWV086B_176.png
10,5,51,609,25,513,Wagner_WWV086B_176.png
11,6,54,682,26,511,Wagner_WWV086B_176.png
12,6,54,726,25,511,Wagner_WWV086B_176.png
1,1,44,79,22,483,Wagner_WWV086B_177.png
2,1,44,125,23,483,Wagner_WWV086B_177.png
3,2,43,193,23,513,Wagner_WWV086B_177.png
4,2,43,242,21,513,Wagner_WWV086B_177.png
5,3,42,305,26,513,Wagner_WWV086B_177.png
6,3,42,354,21,513,Wagner_WWV086B_177.png
7,4,42,422,24,513,Wagner_WWV086B_177.png
8,4,42,467,22,513,Wagner_WWV086B_177.png
9,5,41,544,23,512,Wagner_WWV086B_177.png
10,5,41,591,21,512,Wagner_WWV086B_177.png
11,6,41,670,22,511,Wagner_WWV086B_177.png
12,6,41,713,21,511,Wagner_WWV086B_177.png
1,1,56,77,21,513,Wagner_WWV086B_178.png
2,1,56,123,24,513,Wagner_WWV086B_178.png
3,2,57,202,21,511,Wagner_WWV086B_178.png
4,2,57,248,21,511,Wagner_WWV086B_178.png
5,3,57,323,21,512,Wagner_WWV086B_178.png
6,3,57,371,22,512,Wagner_WWV086B_178.png
7,4,57,441,23,512,Wagner_WWV086B_178.png
8,4,57,490,23,512,Wagner_WWV086B_178.png
9,5,58,559,21,511,Wagner_WWV086B_178.png
10,5,58,606,20,511,Wagner_WWV086B_178.png
11,6,58,672,23,510,Wagner_WWV086B_178.png
12,6,58,719,21,510,Wagner_WWV086B_178.png
1,1,44,73,22,494,Wagner_WWV086B_179.png
2,1,44,120,21,494,Wagner_WWV086B_179.png
3,2,44,197,21,512,Wagner_WWV086B_179.png
4,2,44,251,23,512,Wagner_WWV086B_179.png
5,3,45,319,20,511,Wagner_WWV086B_179.png
6,3,45,367,23,511,Wagner_WWV086B_179.png
7,4,45,438,21,512,Wagner_WWV086B_179.png
8,4,45,482,23,512,Wagner_WWV086B_179.png
9,5,45,554,22,512,Wagner_WWV086B_179.png
10,5,45,604,21,512,Wagner_WWV086B_179.png
11,6,48,672,23,510,Wagner_WWV086B_179.png
12,6,48,718,22,510,Wagner_WWV086B_179.png
1,1,44,75,23,514,Wagner_WWV086B_180.png
2,1,44,125,22,514,Wagner_WWV086B_180.png
3,2,44,200,21,515,Wagner_WWV086B_180.png
4,2,44,250,22,515,Wagner_WWV086B_180.png
5,3,45,320,22,514,Wagner_WWV086B_180.png
6,3,45,368,22,514,Wagner_WWV086B_180.png
7,4,45,432,23,515,Wagner_WWV086B_180.png
8,4,45,482,22,515,Wagner_WWV086B_180.png
9,5,45,552,23,515,Wagner_WWV086B_180.png
10,5,45,601,24,515,Wagner_WWV086B_180.png
11,6,47,671,23,513,Wagner_WWV086B_180.png
12,6,47,721,24,513,Wagner_WWV086B_180.png
1,1,44,82,23,510,Wagner_WWV086B_181.png
2,1,44,137,23,510,Wagner_WWV086B_181.png
3,2,43,219,20,512,Wagner_WWV086B_181.png
4,2,43,276,23,512,Wagner_WWV086B_181.png
5,3,42,354,23,477,Wagner_WWV086B_181.png
6,3,42,417,20,477,Wagner_WWV086B_181.png
7,4,42,524,20,512,Wagner_WWV086B_181.png
8,4,42,580,21,512,Wagner_WWV086B_181.png
9,5,42,659,21,511,Wagner_WWV086B_181.png
10,5,42,717,23,511,Wagner_WWV086B_181.png
1,1,55,82,21,512,Wagner_WWV086B_182.png
2,1,55,135,24,512,Wagner_WWV086B_182.png
3,2,54,203,24,514,Wagner_WWV086B_182.png
4,2,54,250,24,514,Wagner_WWV086B_182.png
5,3,56,320,23,511,Wagner_WWV086B_182.png
6,3,56,366,21,511,Wagner_WWV086B_182.png
7,4,54,437,21,512,Wagner_WWV086B_182.png
8,4,54,485,23,512,Wagner_WWV086B_182.png
9,5,54,558,23,511,Wagner_WWV086B_182.png
10,5,54,606,21,511,Wagner_WWV086B_182.png
11,6,54,674,23,511,Wagner_WWV086B_182.png
12,6,54,724,22,511,Wagner_WWV086B_182.png
1,1,44,78,21,512,Wagner_WWV086B_183.png
2,1,44,124,21,512,Wagner_WWV086B_183.png
3,2,44,200,20,512,Wagner_WWV086B_183.png
4,2,44,251,21,512,Wagner_WWV086B_183.png
5,3,44,321,23,513,Wagner_WWV086B_183.png
6,3,44,374,21,513,Wagner_WWV086B_183.png
7,4,45,439,20,512,Wagner_WWV086B_183.png
8,4,45,485,21,512,Wagner_WWV086B_183.png
