StaffMeasureIndex,SystemIndex,StaffIndex,Left,Top,Height,Width,Image
17,9,5,45,335,22,194,Wagner_WWV086B_145.png
18,10,5,239,335,22,162,Wagner_WWV086B_145.png
19,11,5,403,335,22,162,Wagner_WWV086B_145.png
20,9,6,45,375,24,194,Wagner_WWV086B_145.png
21,10,6,239,375,24,162,Wagner_WWV086B_145.png
22,11,6,403,375,24,162,Wagner_WWV086B_145.png
23,12,7,42,456,20,193,Wagner_WWV086B_145.png
24,13,7,236,456,20,163,Wagner_WWV086B_145.png
25,14,7,400,456,20,164,Wagner_WWV086B_145.png
26,12,8,42,500,22,193,Wagner_WWV086B_145.png
27,13,8,236,500,22,163,Wagner_WWV086B_145.png
28,14,8,400,500,22,164,Wagner_WWV086B_145.png
29,15,9,44,585,20,190,Wagner_WWV086B_145.png
30,16,9,235,585,20,163,Wagner_WWV086B_145.png
31,17,9,399,585,20,165,Wagner_WWV086B_145.png
32,15,10,44,633,20,190,Wagner_WWV086B_145.png
33,16,10,235,633,20,163,Wagner_WWV086B_145.png
34,17,10,399,633,20,165,Wagner_WWV086B_145.png
35,18,11,43,695,21,190,Wagner_WWV086B_145.png
36,19,11,234,695,21,163,Wagner_WWV086B_145.png
37,20,11,397,695,21,165,Wagner_WWV086B_145.png
38,18,12,43,741,22,190,Wagner_WWV086B_145.png
39,19,12,234,741,22,163,Wagner_WWV086B_145.png
40,20,12,397,741,22,165,Wagner_WWV086B_145.png
1,1,1,55,83,21,190,Wagner_WWV086B_146.png
2,2,1,246,83,21,170,Wagner_WWV086B_146.png
3,3,1,417,83,21,159,Wagner_WWV086B_146.png
4,1,2,55,131,21,190,Wagner_WWV086B_146.png
5,2,2,246,131,21,170,Wagner_WWV086B_146.png
6,3,2,417,131,21,159,Wagner_WWV086B_146.png
7,4,3,55,209,20,183,Wagner_WWV086B_146.png
8,5,3,239,209,20,177,Wagner_WWV086B_146.png
9,6,3,418,209,20,157,Wagner_WWV086B_146.png
10,4,4,55,249,21,183,Wagner_WWV086B_146.png
11,5,4,239,249,21,177,Wagner_WWV086B_146.png
12,6,4,418,249,21,157,Wagner_WWV086B_146.png
13,7,5,56,340,24,190,Wagner_WWV086B_146.png
14,8,5,246,340,24,164,Wagner_WWV086B_146.png
15,9,5,410,340,24,164,Wagner_WWV086B_146.png
16,7,6,56,385,22,190,Wagner_WWV086B_146.png
17,8,6,246,385,22,164,Wagner_WWV086B_146.png
18,9,6,410,385,22,164,Wagner_WWV086B_146.png
19,10,7,54,467,25,181,Wagner_WWV086B_146.png
20,11,7,236,467,25,181,Wagner_WWV086B_146.png
21,12,7,418,467,25,156,Wagner_WWV086B_146.png
22,10,8,54,509,22,181,Wagner_WWV086B_146.png
23,11,8,236,509,22,181,Wagner_WWV086B_146.png
24,12,8,418,509,22,156,Wagner_WWV086B_146.png
25,13,9,54,586,21,198,Wagner_WWV086B_146.png
26,14,9,253,586,21,160,Wagner_WWV086B_146.png
27,15,9,414,586,21,160,Wagner_WWV086B_146.png
28,13,10,54,629,22,198,Wagner_WWV086B_146.png
29,14,10,253,629,22,160,Wagner_WWV086B_146.png
30,15,10,414,629,22,160,Wagner_WWV086B_146.png
31,16,11,51,693,23,203,Wagner_WWV086B_146.png
32,17,11,254,693,23,162,Wagner_WWV086B_146.png
33,18,11,418,693,23,155,Wagner_WWV086B_146.png
34,16,12,51,737,21,203,Wagner_WWV086B_146.png
35,17,12,254,737,21,162,Wagner_WWV086B_146.png
36,18,12,418,737,21,155,Wagner_WWV086B_146.png
1,1,1,35,87,21,198,Wagner_WWV086B_147.png
2,2,1,235,87,21,161,Wagner_WWV086B_147.png
3,3,1,397,87,21,160,Wagner_WWV086B_147.png
4,1,2,35,128,21,198,Wagner_WWV086B_147.png
5,2,2,235,128,21,161,Wagner_WWV086B_147.png
6,3,2,397,128,21,160,Wagner_WWV086B_147.png
7,4,3,33,208,22,203,Wagner_WWV086B_147.png
8,5,3,237,208,22,160,Wagner_WWV086B_147.png
9,6,3,397,208,22,158,Wagner_WWV086B_147.png
10,4,4,33,249,21,203,Wagner_WWV086B_147.png
11,5,4,237,249,21,160,Wagner_WWV086B_147.png
12,6,4,397,249,21,158,Wagner_WWV086B_147.png
13,7,5,35,337,20,198,Wagner_WWV086B_147.png
14,8,5,234,337,20,160,Wagner_WWV086B_147.png
15,9,5,395,337,20,160,Wagner_WWV086B_147.png
16,7,6,35,377,22,198,Wagner_WWV086B_147.png
17,8,6,234,377,22,160,Wagner_WWV086B_147.png
18,9,6,395,377,22,160,Wagner_WWV086B_147.png
19,10,7,35,462,20,205,Wagner_WWV086B_147.png
20,11,7,241,462,20,155,Wagner_WWV086B_147.png
21,12,7,397,462,20,157,Wagner_WWV086B_147.png
22,10,8,35,503,21,205,Wagner_WWV086B_147.png
23,11,8,241,503,21,155,Wagner_WWV086B_147.png
24,12,8,397,503,21,157,Wagner_WWV086B_147.png
25,13,9,34,581,20,168,Wagner_WWV086B_147.png
26,14,9,205,581,20,178,Wagner_WWV086B_147.png
27,15,9,384,581,20,170,Wagner_WWV086B_147.png
28,13,10,34,621,22,168,Wagner_WWV086B_147.png
29,14,10,205,621,22,178,Wagner_WWV086B_147.png
30,15,10,384,621,22,170,Wagner_WWV086B_147.png
31,16,11,35,690,20,176,Wagner_WWV086B_147.png
32,17,11,211,690,20,150,Wagner_WWV086B_147.png
33,18,11,363,690,20,192,Wagner_WWV086B_147.png
34,16,12,35,734,21,176,Wagner_WWV086B_147.png
35,17,12,211,734,21,150,Wagner_WWV086B_147.png
36,18,12,363,734,21,192,Wagner_WWV086B_147.png
1,1,1,53,70,25,160,Wagner_WWV086B_148.png
2,2,1,213,70,25,119,Wagner_WWV086B_148.png
3,3,1,334,70,25,119,Wagner_WWV086B_148.png
4,4,1,454,70,25,116,Wagner_WWV086B_148.png
5,1,2,53,116,23,160,Wagner_WWV086B_148.png
6,2,2,213,116,23,119,Wagner_WWV086B_148.png
7,3,2,334,116,23,119,Wagner_WWV086B_148.png
8,4,2,454,116,23,116,Wagner_WWV086B_148.png
9,5,3,53,197,23,170,Wagner_WWV086B_148.png
10,6,3,224,197,23,171,Wagner_WWV086B_148.png
11,7,3,396,197,23,173,Wagner_WWV086B_148.png
12,5,4,53,251,21,170,Wagner_WWV086B_148.png
13,6,4,224,251,21,171,Wagner_WWV086B_148.png
14,7,4,396,251,21,173,Wagner_WWV086B_148.png
15,8,5,54,314,24,189,Wagner_WWV086B_148.png
16,9,5,245,314,24,163,Wagner_WWV086B_148.png
17,10,5,409,314,24,163,Wagner_WWV086B_148.png
18,8,6,54,360,24,189,Wagner_WWV086B_148.png
19,9,6,245,360,24,163,Wagner_WWV086B_148.png
20,10,6,409,360,24,163,Wagner_WWV086B_148.png
21,11,7,55,435,24,171,Wagner_WWV086B_148.png
22,12,7,227,435,24,171,Wagner_WWV086B_148.png
23,13,7,399,435,24,174,Wagner_WWV086B_148.png
24,11,8,55,482,22,171,Wagner_WWV086B_148.png
25,12,8,227,482,22,171,Wagner_WWV086B_148.png
26,13,8,399,482,22,174,Wagner_WWV086B_148.png
27,14,9,55,559,25,203,Wagner_WWV086B_148.png
28,15,9,259,559,25,141,Wagner_WWV086B_148.png
29,16,9,401,559,25,173,Wagner_WWV086B_148.png
30,14,10,55,608,23,203,Wagner_WWV086B_148.png
31,15,10,259,608,23,141,Wagner_WWV086B_148.png
32,16,10,401,608,23,173,Wagner_WWV086B_148.png
33,17,11,57,679,26,166,Wagner_WWV086B_148.png
34,18,11,224,679,26,115,Wagner_WWV086B_148.png
35,19,11,340,679,26,115,Wagner_WWV086B_148.png
36,20,11,457,679,26,118,Wagner_WWV086B_148.png
37,17,12,57,724,22,166,Wagner_WWV086B_148.png
38,18,12,224,724,22,115,Wagner_WWV086B_148.png
39,19,12,340,724,22,115,Wagner_WWV086B_148.png
40,20,12,457,724,22,118,Wagner_WWV086B_148.png
1,1,1,34,70,20,179,Wagner_WWV086B_149.png
2,2,1,215,70,20,167,Wagner_WWV086B_149.png
3,3,1,385,70,20,168,Wagner_WWV086B_149.png
4,1,2,34,113,22,179,Wagner_WWV086B_149.png
5,2,2,215,113,22,167,Wagner_WWV086B_149.png
6,3,2,385,113,22,168,Wagner_WWV086B_149.png
7,4,3,32,195,22,158,Wagner_WWV086B_149.png
8,5,3,191,195,22,128,Wagner_WWV086B_149.png
9,6,3,320,195,22,112,Wagner_WWV086B_149.png
10,7,3,433,195,22,119,Wagner_WWV086B_149.png
11,4,4,32,239,21,158,Wagner_WWV086B_149.png
12,5,4,191,239,21,128,Wagner_WWV086B_149.png
13,6,4,320,239,21,112,Wagner_WWV086B_149.png
14,7,4,433,239,21,119,Wagner_WWV086B_149.png
15,8,5,34,323,22,204,Wagner_WWV086B_149.png
16,9,5,239,323,22,152,Wagner_WWV086B_149.png
17,10,5,393,323,22,160,Wagner_WWV086B_149.png
18,8,6,34,373,21,204,Wagner_WWV086B_149.png
19,9,6,239,373,21,152,Wagner_WWV086B_149.png
20,10,6,393,373,21,160,Wagner_WWV086B_149.png
21,11,7,35,440,23,183,Wagner_WWV086B_149.png
22,12,7,219,440,23,161,Wagner_WWV086B_149.png
23,13,7,380,440,23,172,Wagner_WWV086B_149.png
24,11,8,35,483,22,183,Wagner_WWV086B_149.png
25,12,8,219,483,22,161,Wagner_WWV086B_149.png
26,13,8,380,483,22,172,Wagner_WWV086B_149.png
27,14,9,35,568,22,193,Wagner_WWV086B_149.png
28,15,9,229,568,22,163,Wagner_WWV086B_149.png
29,16,9,393,568,22,160,Wagner_WWV086B_149.png
30,14,10,35,610,22,193,Wagner_WWV086B_149.png
31,15,10,229,610,22,163,Wagner_WWV086B_149.png
32,16,10,393,610,22,160,Wagner_WWV086B_149.png
33,17,11,36,676,24,204,Wagner_WWV086B_149.png
34,18,11,241,676,24,158,Wagner_WWV086B_149.png
35,19,11,400,676,24,153,Wagner_WWV086B_149.png
36,17,12,36,722,23,204,Wagner_WWV086B_149.png
37,18,12,241,722,23,158,Wagner_WWV086B_149.png
38,19,12,400,722,23,153,Wagner_WWV086B_149.png
1,1,1,51,62,22,138,Wagner_WWV086B_150.png
2,2,1,190,62,22,125,Wagner_WWV086B_150.png
3,3,1,316,62,22,117,Wagner_WWV086B_150.png
4,4,1,434,62,22,136,Wagner_WWV086B_150.png
5,1,2,51,111,23,138,Wagner_WWV086B_150.png
6,2,2,190,111,23,125,Wagner_WWV086B_150.png
7,3,2,316,111,23,117,Wagner_WWV086B_150.png
8,4,2,434,111,23,136,Wagner_WWV086B_150.png
9,5,3,51,190,21,155,Wagner_WWV086B_150.png
10,6,3,208,190,21,126,Wagner_WWV086B_150.png
11,7,3,335,190,21,112,Wagner_WWV086B_150.png
12,8,3,448,190,21,123,Wagner_WWV086B_150.png
13,5,4,51,236,21,155,Wagner_WWV086B_150.png
14,6,4,208,236,21,126,Wagner_WWV086B_150.png
15,7,4,335,236,21,112,Wagner_WWV086B_150.png
16,8,4,448,236,21,123,Wagner_WWV086B_150.png
17,9,5,50,305,22,140,Wagner_WWV086B_150.png
18,10,5,191,305,22,135,Wagner_WWV086B_150.png
19,11,5,327,305,22,113,Wagner_WWV086B_150.png
20,12,5,441,305,22,129,Wagner_WWV086B_150.png
21,9,6,50,351,21,140,Wagner_WWV086B_150.png
22,10,6,191,351,21,135,Wagner_WWV086B_150.png
23,11,6,327,351,21,113,Wagner_WWV086B_150.png
24,12,6,441,351,21,129,Wagner_WWV086B_150.png
25,13,7,51,426,21,152,Wagner_WWV086B_150.png
26,14,7,204,426,21,119,Wagner_WWV086B_150.png
27,15,7,324,426,21,116,Wagner_WWV086B_150.png
28,16,7,441,426,21,129,Wagner_WWV086B_150.png
29,13,8,51,472,21,152,Wagner_WWV086B_150.png
30,14,8,204,472,21,119,Wagner_WWV086B_150.png
31,15,8,324,472,21,116,Wagner_WWV086B_150.png
32,16,8,441,472,21,129,Wagner_WWV086B_150.png
33,17,9,47,547,20,155,Wagner_WWV086B_150.png
34,18,9,204,547,20,119,Wagner_WWV086B_150.png
35,19,9,324,547,20,129,Wagner_WWV086B_150.png
36,20,9,455,547,20,114,Wagner_WWV086B_150.png
37,17,10,47,591,21,155,Wagner_WWV086B_150.png
38,18,10,204,591,21,119,Wagner_WWV086B_150.png
39,19,10,324,591,21,129,Wagner_WWV086B_150.png
40,20,10,455,591,21,114,Wagner_WWV086B_150.png
41,21,11,50,675,24,186,Wagner_WWV086B_150.png
42,22,11,237,675,24,167,Wagner_WWV086B_150.png
43,23,11,405,675,24,164,Wagner_WWV086B_150.png
44,21,12,50,724,23,186,Wagner_WWV086B_150.png
45,22,12,237,724,23,167,Wagner_WWV086B_150.png
46,23,12,405,724,23,164,Wagner_WWV086B_150.png
1,1,1,40,56,21,189,Wagner_WWV086B_151.png
2,2,1,230,56,21,162,Wagner_WWV086B_151.png
3,3,1,393,56,21,166,Wagner_WWV086B_151.png
4,1,2,40,95,23,189,Wagner_WWV086B_151.png
5,2,2,230,95,23,162,Wagner_WWV086B_151.png
6,3,2,393,95,23,166,Wagner_WWV086B_151.png
7,4,3,40,179,24,178,Wagner_WWV086B_151.png
8,5,3,219,179,24,151,Wagner_WWV086B_151.png
9,6,3,371,179,24,188,Wagner_WWV086B_151.png
10,4,4,40,222,22,178,Wagner_WWV086B_151.png
11,5,4,219,222,22,151,Wagner_WWV086B_151.png
12,6,4,371,222,22,188,Wagner_WWV086B_151.png
13,7,5,40,295,25,195,Wagner_WWV086B_151.png
14,8,5,236,295,25,140,Wagner_WWV086B_151.png
15,9,5,377,295,25,89,Wagner_WWV086B_151.png
16,10,5,466,295,25,93,Wagner_WWV086B_151.png
17,7,6,40,338,22,195,Wagner_WWV086B_151.png
18,8,6,236,338,22,140,Wagner_WWV086B_151.png
19,9,6,377,338,22,89,Wagner_WWV086B_151.png
20,10,6,466,338,22,93,Wagner_WWV086B_151.png
21,11,7,40,423,22,103,Wagner_WWV086B_151.png
22,12,7,144,423,22,82,Wagner_WWV086B_151.png
23,13,7,226,423,22,74,Wagner_WWV086B_151.png
24,14,7,302,423,22,81,Wagner_WWV086B_151.png
25,15,7,384,423,22,81,Wagner_WWV086B_151.png
26,16,7,466,423,22,94,Wagner_WWV086B_151.png
27,11,8,40,465,23,103,Wagner_WWV086B_151.png
28,12,8,144,465,23,82,Wagner_WWV086B_151.png
29,13,8,226,465,23,74,Wagner_WWV086B_151.png
30,14,8,302,465,23,81,Wagner_WWV086B_151.png
31,15,8,384,465,23,81,Wagner_WWV086B_151.png
32,16,8,466,465,23,94,Wagner_WWV086B_151.png
33,17,9,38,548,23,110,Wagner_WWV086B_151.png
34,18,9,150,548,23,81,Wagner_WWV086B_151.png
35,19,9,232,548,23,88,Wagner_WWV086B_151.png
36,20,9,321,548,23,80,Wagner_WWV086B_151.png
37,21,9,402,548,23,72,Wagner_WWV086B_151.png
38,22,9,475,548,23,84,Wagner_WWV086B_151.png
39,17,10,38,591,22,110,Wagner_WWV086B_151.png
40,18,10,150,591,22,81,Wagner_WWV086B_151.png
41,19,10,232,591,22,88,Wagner_WWV086B_151.png
42,20,10,321,591,22,80,Wagner_WWV086B_151.png
43,21,10,402,591,22,72,Wagner_WWV086B_151.png
44,22,10,475,591,22,84,Wagner_WWV086B_151.png
45,23,11,38,676,24,109,Wagner_WWV086B_151.png
46,24,11,149,676,24,88,Wagner_WWV086B_151.png
47,25,11,238,676,24,77,Wagner_WWV086B_151.png
48,26,11,317,676,24,97,Wagner_WWV086B_151.png
49,27,11,415,676,24,72,Wagner_WWV086B_151.png
50,28,11,488,676,24,71,Wagner_WWV086B_151.png
51,23,12,38,721,23,109,Wagner_WWV086B_151.png
52,24,12,149,721,23,88,Wagner_WWV086B_151.png
53,25,12,238,721,23,77,Wagner_WWV086B_151.png
54,26,12,317,721,23,97,Wagner_WWV086B_151.png
55,27,12,415,721,23,72,Wagner_WWV086B_151.png
56,28,12,488,721,23,71,Wagner_WWV086B_151.png
1,1,1,50,77,23,125,Wagner_WWV086B_152.png
2,2,1,175,77,23,103,Wagner_WWV086B_152.png
3,3,1,279,77,23,73,Wagner_WWV086B_152.png
4,4,1,354,77,23,63,Wagner_WWV086B_152.png
5,5,1,418,77,23,73,Wagner_WWV086B_152.png
6,6,1,492,77,23,81,Wagner_WWV086B_152.png
